# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4101901
# River:                 KOBUK RIVER
# Station:               AMBLER, ALAS.
# Country:               US
# Latitude (DD):       67.0864
# Longitude (DD):      -157.8503
# Catchment area (km²):      17016.3
# Altitude (m ASL):        9.144
# Next downstream station:      4101900
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965-07 - 1978-09
# No. of years:          14
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4819
# DATA
YYYY-MM-DD;hh:mm; Value
1965-07-22;--:--;    857.999
1965-07-23;--:--;    753.227
1965-07-24;--:--;    682.435
1965-07-25;--:--;    781.544
1965-07-26;--:--;    611.643
1965-07-27;--:--;    639.960
1965-07-28;--:--;    555.009
1965-07-29;--:--;    512.534
1965-07-30;--:--;    484.217
1965-07-31;--:--;    450.237
1965-08-01;--:--;    427.584
1965-08-02;--:--;    450.237
1965-08-03;--:--;    461.564
1965-08-04;--:--;    555.009
1965-08-05;--:--;    597.484
1965-08-06;--:--;    724.910
1965-08-07;--:--;    809.860
1965-08-08;--:--;    696.593
1965-08-09;--:--;    841.009
1965-08-10;--:--;   1010.910
1965-08-11;--:--;   1243.108
1965-08-12;--:--;   1302.573
1965-08-13;--:--;   1183.642
1965-08-14;--:--;   1078.870
1965-08-15;--:--;   1010.910
1965-08-16;--:--;    976.930
1965-08-17;--:--;    942.949
1965-08-18;--:--;    891.979
1965-08-19;--:--;    824.019
1965-08-20;--:--;    767.385
1965-08-21;--:--;    724.910
1965-08-22;--:--;    639.960
1965-08-23;--:--;    569.168
1965-08-24;--:--;    795.702
1965-08-25;--:--;    841.009
1965-08-26;--:--;    781.544
1965-08-27;--:--;    739.068
1965-08-28;--:--;    809.860
1965-08-29;--:--;    611.643
1965-08-30;--:--;    583.326
1965-08-31;--:--;    583.326
1965-09-01;--:--;    625.801
1965-09-02;--:--;    696.593
1965-09-03;--:--;    724.910
1965-09-04;--:--;    710.752
1965-09-05;--:--;    682.435
1965-09-06;--:--;    668.276
1965-09-07;--:--;    824.019
1965-09-08;--:--;   1044.890
1965-09-09;--:--;   1243.108
1965-09-10;--:--;   1514.949
1965-09-11;--:--;   1514.949
1965-09-12;--:--;   1381.860
1965-09-13;--:--;   1163.820
1965-09-14;--:--;    993.920
1965-09-15;--:--;    857.999
1965-09-16;--:--;    781.544
1965-09-17;--:--;    753.227
1965-09-18;--:--;    753.227
1965-09-19;--:--;    767.385
1965-09-20;--:--;    710.752
1965-09-21;--:--;    668.276
1965-09-22;--:--;    611.643
1965-09-23;--:--;    597.484
1965-09-24;--:--;    668.276
1965-09-25;--:--;    857.999
1965-09-26;--:--;   1183.642
1965-09-27;--:--;   1362.038
1965-09-28;--:--;   1446.988
1965-09-29;--:--;   1342.216
1965-09-30;--:--;   1095.860
1965-10-01;--:--;    908.969
1965-10-02;--:--;    824.019
1965-10-03;--:--;    795.702
1965-10-04;--:--;    767.385
1965-10-05;--:--;    767.385
1965-10-06;--:--;    724.910
1965-10-07;--:--;    710.752
1965-10-08;--:--;    710.752
1965-10-09;--:--;    696.593
