# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4102740
# River:                 NUSHAGAK RIVER
# Station:               EKWOK, AK
# Country:               US
# Latitude (DD):       59.3484
# Longitude (DD):      -157.4752
# Catchment area (km²):      25511.5
# Altitude (m ASL):        27.43
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1977-10 - 1993-09
# No. of years:          17
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5844
# DATA
YYYY-MM-DD;hh:mm; Value
1977-10-01;--:--;   1529.107
1977-10-02;--:--;   1472.474
1977-10-03;--:--;   1444.157
1977-10-04;--:--;   1415.840
1977-10-05;--:--;   1387.523
1977-10-06;--:--;   1415.840
1977-10-07;--:--;   1472.474
1977-10-08;--:--;   1585.741
1977-10-09;--:--;   1755.642
1977-10-10;--:--;   2038.810
1977-10-11;--:--;   2265.344
1977-10-12;--:--;   2378.611
1977-10-13;--:--;   2265.344
1977-10-14;--:--;   2010.493
1977-10-15;--:--;   1597.068
1977-10-16;--:--;   1415.840
1977-10-17;--:--;   1302.573
1977-10-18;--:--;   1217.622
1977-10-19;--:--;   1189.306
1977-10-20;--:--;   1132.672
1977-10-21;--:--;   1104.355
1977-10-22;--:--;   1076.038
1977-10-23;--:--;   1019.405
1977-10-24;--:--;    962.771
1977-10-25;--:--;    934.454
1977-10-26;--:--;    934.454
1977-10-27;--:--;    906.138
1977-10-28;--:--;    906.138
1977-10-29;--:--;    877.821
1977-10-30;--:--;    849.504
1977-10-31;--:--;    821.187
1977-11-01;--:--;    821.187
1977-11-02;--:--;    792.870
1977-11-03;--:--;    764.554
1977-11-04;--:--;    764.554
1977-11-05;--:--;    764.554
1977-11-06;--:--;    736.237
1977-11-07;--:--;    736.237
1977-11-08;--:--;    736.237
1977-11-09;--:--;    736.237
1977-11-10;--:--;    707.920
1977-11-11;--:--;    707.920
1977-11-12;--:--;    679.603
1977-11-13;--:--;    679.603
1977-11-14;--:--;    651.286
1977-11-15;--:--;    651.286
1977-11-16;--:--;    651.286
1977-11-17;--:--;    622.970
1977-11-18;--:--;    622.970
1977-11-19;--:--;    594.653
1977-11-20;--:--;    594.653
1977-11-21;--:--;    566.336
1977-11-22;--:--;    566.336
1977-11-23;--:--;    538.019
1977-11-24;--:--;    538.019
1977-11-25;--:--;    538.019
1977-11-26;--:--;    509.702
1977-11-27;--:--;    509.702
1977-11-28;--:--;    509.702
1977-11-29;--:--;    509.702
1977-11-30;--:--;    481.386
1977-12-01;--:--;    481.386
1977-12-02;--:--;    481.386
1977-12-03;--:--;    481.386
1977-12-04;--:--;    453.069
1977-12-05;--:--;    453.069
1977-12-06;--:--;    453.069
1977-12-07;--:--;    453.069
1977-12-08;--:--;    453.069
1977-12-09;--:--;    453.069
1977-12-10;--:--;    453.069
1977-12-11;--:--;    453.069
1977-12-12;--:--;    453.069
1977-12-13;--:--;    453.069
1977-12-14;--:--;    453.069
1977-12-15;--:--;    453.069
1977-12-16;--:--;    453.069
1977-12-17;--:--;    453.069
1977-12-18;--:--;    424.752
1977-12-19;--:--;    424.752
1977-12-20;--:--;    424.752
1977-12-21;--:--;    424.752
1977-12-22;--:--;    424.752
1977-12-23;--:--;    424.752
1977-12-24;--:--;    424.752
1977-12-25;--:--;    424.752
1977-12-26;--:--;    424.752
1977-12-27;--:--;    424.752
1977-12-28;--:--;    424.752
1977-12-29;--:--;    424.752
1977-12-30;--:--;    396.435
1977-12-31;--:--;    396.435
1978-01-01;--:--;    396.435
1978-01-02;--:--;    396.435
1978-01-03;--:--;    396.435
1978-01-04;--:--;    396.435
1978-01-05;--:--;    396.435
1978-01-06;--:--;    396.435
1978-01-07;--:--;    396.435
1978-01-08;--:--;    396.435
1978-01-09;--:--;    396.435
1978-01-10;--:--;    396.435
1978-01-11;--:--;    368.118
1978-01-12;--:--;    368.118
1978-01-13;--:--;    368.118
1978-01-14;--:--;    368.118
1978-01-15;--:--;    368.118
1978-01-16;--:--;    368.118
1978-01-17;--:--;    368.118
1978-01-18;--:--;    368.118
1978-01-19;--:--;    368.118
1978-01-20;--:--;    368.118
1978-01-21;--:--;    368.118
1978-01-22;--:--;    368.118
1978-01-23;--:--;    368.118
1978-01-24;--:--;    368.118
1978-01-25;--:--;    368.118
1978-01-26;--:--;    368.118
1978-01-27;--:--;    368.118
1978-01-28;--:--;    339.802
1978-01-29;--:--;    339.802
1978-01-30;--:--;    339.802
1978-01-31;--:--;    339.802
1978-02-01;--:--;    339.802
1978-02-02;--:--;    339.802
1978-02-03;--:--;    339.802
1978-02-04;--:--;    339.802
1978-02-05;--:--;    339.802
1978-02-06;--:--;    339.802
1978-02-07;--:--;    339.802
1978-02-08;--:--;    339.802
1978-02-09;--:--;    339.802
1978-02-10;--:--;    339.802
1978-02-11;--:--;    311.485
1978-02-12;--:--;    311.485
1978-02-13;--:--;    311.485
1978-02-14;--:--;    311.485
1978-02-15;--:--;    311.485
1978-02-16;--:--;    311.485
1978-02-17;--:--;    311.485
1978-02-18;--:--;    311.485
1978-02-19;--:--;    311.485
1978-02-20;--:--;    311.485
1978-02-21;--:--;    311.485
1978-02-22;--:--;    311.485
1978-02-23;--:--;    311.485
1978-02-24;--:--;    311.485
1978-02-25;--:--;    311.485
1978-02-26;--:--;    283.168
1978-02-27;--:--;    283.168
1978-02-28;--:--;    283.168
1978-03-01;--:--;    283.168
1978-03-02;--:--;    283.168
1978-03-03;--:--;    283.168
1978-03-04;--:--;    283.168
1978-03-05;--:--;    283.168
1978-03-06;--:--;    283.168
1978-03-07;--:--;    283.168
1978-03-08;--:--;    283.168
1978-03-09;--:--;    283.168
1978-03-10;--:--;    283.168
1978-03-11;--:--;    283.168
1978-03-12;--:--;    283.168
1978-03-13;--:--;    283.168
1978-03-14;--:--;    283.168
1978-03-15;--:--;    283.168
1978-03-16;--:--;    283.168
1978-03-17;--:--;    283.168
1978-03-18;--:--;    283.168
1978-03-19;--:--;    283.168
1978-03-20;--:--;    283.168
1978-03-21;--:--;    283.168
1978-03-22;--:--;    283.168
1978-03-23;--:--;    283.168
1978-03-24;--:--;    283.168
1978-03-25;--:--;    283.168
1978-03-26;--:--;    269.010
1978-03-27;--:--;    269.010
1978-03-28;--:--;    269.010
1978-03-29;--:--;    269.010
1978-03-30;--:--;    269.010
1978-03-31;--:--;    269.010
1978-04-01;--:--;    269.010
1978-04-02;--:--;    269.010
1978-04-03;--:--;    269.010
1978-04-04;--:--;    269.010
1978-04-05;--:--;    269.010
1978-04-06;--:--;    269.010
1978-04-07;--:--;    269.010
1978-04-08;--:--;    269.010
1978-04-09;--:--;    269.010
1978-04-10;--:--;    283.168
1978-04-11;--:--;    283.168
1978-04-12;--:--;    283.168
1978-04-13;--:--;    294.495
1978-04-14;--:--;    297.326
1978-04-15;--:--;    297.326
1978-04-16;--:--;    297.326
1978-04-17;--:--;    297.326
1978-04-18;--:--;    297.326
1978-04-19;--:--;    297.326
1978-04-20;--:--;    311.485
1978-04-21;--:--;    311.485
1978-04-22;--:--;    311.485
1978-04-23;--:--;    311.485
1978-04-24;--:--;    311.485
1978-04-25;--:--;    311.485
1978-04-26;--:--;    311.485
1978-04-27;--:--;    339.802
1978-04-28;--:--;    339.802
1978-04-29;--:--;    368.118
1978-04-30;--:--;    368.118
1978-05-01;--:--;    396.435
1978-05-02;--:--;    396.435
1978-05-03;--:--;    396.435
1978-05-04;--:--;    396.435
1978-05-05;--:--;    396.435
1978-05-06;--:--;    424.752
1978-05-07;--:--;    424.752
1978-05-08;--:--;    453.069
1978-05-09;--:--;    509.702
1978-05-10;--:--;    566.336
1978-05-11;--:--;    651.286
1978-05-12;--:--;    736.237
1978-05-13;--:--;    849.504
1978-05-14;--:--;    991.088
1978-05-15;--:--;   1076.038
1978-05-16;--:--;   1104.355
1978-05-17;--:--;   1132.672
1978-05-18;--:--;   1160.989
1978-05-19;--:--;   1217.622
1978-05-20;--:--;   1302.573
1978-05-21;--:--;   1330.890
1978-05-22;--:--;   1387.523
1978-05-23;--:--;   1359.206
1978-05-24;--:--;   1359.206
1978-05-25;--:--;   1359.206
1978-05-26;--:--;   1302.573
1978-05-27;--:--;   1245.939
1978-05-28;--:--;   1189.306
1978-05-29;--:--;   1132.672
1978-05-30;--:--;   1076.038
1978-05-31;--:--;   1047.722
1978-06-01;--:--;   1019.405
1978-06-02;--:--;   1047.722
1978-06-03;--:--;   1076.038
1978-06-04;--:--;   1076.038
1978-06-05;--:--;   1047.722
1978-06-06;--:--;   1019.405
1978-06-07;--:--;    962.771
1978-06-08;--:--;    906.138
1978-06-09;--:--;    877.821
1978-06-10;--:--;    906.138
1978-06-11;--:--;    877.821
1978-06-12;--:--;    849.504
1978-06-13;--:--;    877.821
1978-06-14;--:--;    906.138
1978-06-15;--:--;    962.771
1978-06-16;--:--;   1047.722
1978-06-17;--:--;   1076.038
1978-06-18;--:--;   1076.038
1978-06-19;--:--;   1047.722
1978-06-20;--:--;    996.751
1978-06-21;--:--;    951.444
1978-06-22;--:--;    954.276
1978-06-23;--:--;    982.593
1978-06-24;--:--;   1019.405
1978-06-25;--:--;    988.256
1978-06-26;--:--;    982.593
1978-06-27;--:--;    965.603
1978-06-28;--:--;    931.623
1978-06-29;--:--;    877.821
1978-06-30;--:--;    869.326
1978-07-01;--:--;    826.851
1978-07-02;--:--;    818.356
1978-07-03;--:--;    824.019
1978-07-04;--:--;    863.662
1978-07-05;--:--;   1050.553
1978-07-06;--:--;   1061.880
1978-07-07;--:--;   1008.078
1978-07-08;--:--;    959.940
1978-07-09;--:--;    934.454
1978-07-10;--:--;    903.306
1978-07-11;--:--;    928.791
1978-07-12;--:--;    931.623
1978-07-13;--:--;    959.940
1978-07-14;--:--;   1019.405
