# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4102750
# River:                 NEWHALEN RIVER
# Station:               NEAR ILIAMNA, AK
# Country:               US
# Latitude (DD):       59.8588
# Longitude (DD):      -154.8755
# Catchment area (km²):      9008.0
# Altitude (m ASL):        64.01
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951-07 - 1986-09
# No. of years:          36
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 12876
# DATA
YYYY-MM-DD;hh:mm; Value
1951-07-01;--:--;    509.702
1951-07-02;--:--;    521.029
1951-07-03;--:--;    523.861
1951-07-04;--:--;    526.692
1951-07-05;--:--;    535.188
1951-07-06;--:--;    552.178
1951-07-07;--:--;    580.494
1951-07-08;--:--;    600.316
1951-07-09;--:--;    625.801
1951-07-10;--:--;    642.791
1951-07-11;--:--;    654.118
1951-07-12;--:--;    671.108
1951-07-13;--:--;    693.762
1951-07-14;--:--;    707.920
1951-07-15;--:--;    719.247
1951-07-16;--:--;    724.910
1951-07-17;--:--;    733.405
1951-07-18;--:--;    736.237
1951-07-19;--:--;    730.573
1951-07-20;--:--;    722.078
1951-07-21;--:--;    710.752
1951-07-22;--:--;    693.762
1951-07-23;--:--;    656.950
1951-07-24;--:--;    673.940
1951-07-25;--:--;    659.781
1951-07-26;--:--;    648.455
1951-07-27;--:--;    634.296
1951-07-28;--:--;    625.801
1951-07-29;--:--;    611.643
1951-07-30;--:--;    594.653
1951-07-31;--:--;    566.336
1951-08-01;--:--;    563.504
1951-08-02;--:--;    543.683
1951-08-03;--:--;    535.188
1951-08-04;--:--;    529.524
1951-08-05;--:--;    523.861
1951-08-06;--:--;    521.029
1951-08-07;--:--;    523.861
1951-08-08;--:--;    515.366
1951-08-09;--:--;    518.197
1951-08-10;--:--;    512.534
1951-08-11;--:--;    509.702
1951-08-12;--:--;    518.197
1951-08-13;--:--;    529.524
1951-08-14;--:--;    540.851
1951-08-15;--:--;    555.009
1951-08-16;--:--;    563.504
1951-08-17;--:--;    569.168
1951-08-18;--:--;    571.999
1951-08-19;--:--;    569.168
1951-08-20;--:--;    560.673
1951-08-21;--:--;    555.009
1951-08-22;--:--;    549.346
1951-08-23;--:--;    546.514
1951-08-24;--:--;    546.514
1951-08-25;--:--;    549.346
1951-08-26;--:--;    555.009
1951-08-27;--:--;    560.673
1951-08-28;--:--;    588.989
1951-08-29;--:--;    622.970
1951-08-30;--:--;    656.950
1951-08-31;--:--;    679.603
1951-09-01;--:--;    685.267
1951-09-02;--:--;    702.257
1951-09-03;--:--;    713.583
1951-09-04;--:--;    727.742
1951-09-05;--:--;    741.900
1951-09-06;--:--;    741.900
1951-09-07;--:--;    736.237
1951-09-08;--:--;    727.742
1951-09-09;--:--;    716.415
1951-09-10;--:--;    705.088
1951-09-11;--:--;    688.098
1951-09-12;--:--;    679.603
1951-09-13;--:--;    671.108
1951-09-14;--:--;    656.950
1951-09-15;--:--;    648.455
1951-09-16;--:--;    639.960
1951-09-17;--:--;    625.801
1951-09-18;--:--;    620.138
1951-09-19;--:--;    631.465
1951-09-20;--:--;    639.960
1951-09-21;--:--;    645.623
1951-09-22;--:--;    654.118
1951-09-23;--:--;    656.950
1951-09-24;--:--;    654.118
1951-09-25;--:--;    642.791
1951-09-26;--:--;    637.128
1951-09-27;--:--;    628.633
1951-09-28;--:--;    614.475
1951-09-29;--:--;    594.653
1951-09-30;--:--;    577.663
1951-10-01;--:--;    560.673
1951-10-02;--:--;    546.514
1951-10-03;--:--;    535.188
1951-10-04;--:--;    532.356
1951-10-05;--:--;    515.366
1951-10-06;--:--;    495.544
1951-10-07;--:--;    484.217
1951-10-08;--:--;    467.227
1951-10-09;--:--;    450.237
1951-10-10;--:--;    430.415
1951-10-11;--:--;    419.089
1951-10-12;--:--;    404.930
1951-10-13;--:--;    387.940
1951-10-14;--:--;    370.950
1951-10-15;--:--;    359.623
1951-10-16;--:--;    342.633
1951-10-17;--:--;    331.307
1951-10-18;--:--;    322.812
1951-10-19;--:--;    311.485
1951-10-20;--:--;    300.158
1951-10-21;--:--;    291.663
1951-10-22;--:--;    281.752
1951-10-23;--:--;    273.257
1951-10-24;--:--;    270.992
1951-10-25;--:--;    266.744
1951-10-26;--:--;    260.231
1951-10-27;--:--;    257.117
1951-10-28;--:--;    251.736
1951-10-29;--:--;    246.356
1951-10-30;--:--;    240.976
1951-10-31;--:--;    244.091
1951-11-01;--:--;    236.445
1951-11-02;--:--;    224.269
1951-11-03;--:--;    221.154
1951-11-04;--:--;    216.057
1951-11-05;--:--;    214.075
1951-11-06;--:--;    206.713
1951-11-07;--:--;    199.633
1951-11-08;--:--;    196.519
1951-11-09;--:--;    193.687
1951-11-10;--:--;    192.554
1951-11-11;--:--;    192.554
1951-11-12;--:--;    191.705
1951-11-13;--:--;    190.572
1951-11-14;--:--;    189.723
1951-11-15;--:--;    187.740
1951-11-16;--:--;    187.740
1951-11-17;--:--;    185.758
1951-11-18;--:--;    182.077
1951-11-19;--:--;    177.263
1951-11-20;--:--;    178.113
1951-11-21;--:--;    178.113
1951-11-22;--:--;    176.130
1951-11-23;--:--;    173.299
1951-11-24;--:--;    173.299
1951-11-25;--:--;    169.334
1951-11-26;--:--;    167.635
1951-11-27;--:--;    164.521
1951-11-28;--:--;    161.406
1951-11-29;--:--;    158.574
1951-11-30;--:--;    155.742
1951-12-01;--:--;    152.911
1951-12-02;--:--;    150.079
1951-12-03;--:--;    144.416
1951-12-04;--:--;    138.752
1951-12-05;--:--;    135.921
1951-12-06;--:--;    130.257
1951-12-07;--:--;    124.594
1951-12-08;--:--;    118.931
1951-12-09;--:--;    113.267
1951-12-10;--:--;    110.436
1951-12-11;--:--;    107.604
1951-12-12;--:--;    104.772
1951-12-13;--:--;    101.940
1951-12-14;--:--;     99.109
1951-12-15;--:--;     96.277
1951-12-16;--:--;     93.445
1951-12-17;--:--;     93.445
1951-12-18;--:--;     90.614
1951-12-19;--:--;     87.782
1951-12-20;--:--;     82.119
1951-12-21;--:--;     79.287
1951-12-22;--:--;     79.287
1951-12-23;--:--;     79.287
1951-12-24;--:--;     79.287
1951-12-25;--:--;     79.287
1951-12-26;--:--;     79.287
1951-12-27;--:--;     79.287
1951-12-28;--:--;     79.287
1951-12-29;--:--;     79.287
1951-12-30;--:--;     79.287
1951-12-31;--:--;     79.287
1952-01-01;--:--;     70.792
1952-01-02;--:--;     70.792
1952-01-03;--:--;     70.792
1952-01-04;--:--;     70.792
1952-01-05;--:--;     70.792
1952-01-06;--:--;     70.792
1952-01-07;--:--;     70.792
1952-01-08;--:--;     70.792
1952-01-09;--:--;     70.792
1952-01-10;--:--;     70.792
1952-01-11;--:--;     70.792
1952-01-12;--:--;     70.792
1952-01-13;--:--;     70.792
1952-01-14;--:--;     70.792
1952-01-15;--:--;     70.792
1952-01-16;--:--;     56.634
1952-01-17;--:--;     56.634
1952-01-18;--:--;     56.634
1952-01-19;--:--;     56.634
1952-01-20;--:--;     56.634
1952-01-21;--:--;     56.634
1952-01-22;--:--;     56.634
1952-01-23;--:--;     56.634
1952-01-24;--:--;     56.634
1952-01-25;--:--;     56.634
1952-01-26;--:--;     56.634
1952-01-27;--:--;     56.634
1952-01-28;--:--;     56.634
1952-01-29;--:--;     56.634
1952-01-30;--:--;     56.634
1952-01-31;--:--;     56.634
1952-02-01;--:--;     45.307
1952-02-02;--:--;     45.307
1952-02-03;--:--;     45.307
1952-02-04;--:--;     45.307
1952-02-05;--:--;     45.307
1952-02-06;--:--;     45.307
1952-02-07;--:--;     45.307
1952-02-08;--:--;     45.307
1952-02-09;--:--;     45.307
1952-02-10;--:--;     45.307
1952-02-11;--:--;     45.307
