# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103450
# River:                 YUKON RIVER
# Station:               RUBY, ALAS.
# Country:               US
# Latitude (DD):       64.7405
# Longitude (DD):      -155.4919
# Catchment area (km²):      670810.0
# Altitude (m ASL):        45.72
# Next downstream station:      4103300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956-10 - 1978-09
# No. of years:          23
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 8035
# DATA
YYYY-MM-DD;hh:mm; Value
1956-10-01;--:--;   6994.250
1956-10-02;--:--;   6824.349
1956-10-03;--:--;   6682.765
1956-10-04;--:--;   6229.696
1956-10-05;--:--;   5663.360
1956-10-06;--:--;   5380.192
1956-10-07;--:--;   5097.024
1956-10-08;--:--;   4813.856
1956-10-09;--:--;   4530.688
1956-10-10;--:--;   4247.520
1956-10-11;--:--;   4247.520
1956-10-12;--:--;   3964.352
1956-10-13;--:--;   3681.184
1956-10-14;--:--;   3398.016
1956-10-15;--:--;   3398.016
1956-10-16;--:--;   3114.848
1956-10-17;--:--;   3114.848
1956-10-18;--:--;   2831.680
1956-10-19;--:--;   2718.413
1956-10-20;--:--;   2633.462
1956-10-21;--:--;   2491.878
1956-10-22;--:--;   2435.245
1956-10-23;--:--;   2321.978
1956-10-24;--:--;   2237.027
1956-10-25;--:--;   2180.394
1956-10-26;--:--;   2123.760
1956-10-27;--:--;   2067.126
1956-10-28;--:--;   2010.493
1956-10-29;--:--;   1982.176
1956-10-30;--:--;   1982.176
1956-10-31;--:--;   1953.859
1956-11-01;--:--;   1614.058
1956-11-02;--:--;   1614.058
1956-11-03;--:--;   1614.058
1956-11-04;--:--;   1614.058
1956-11-05;--:--;   1614.058
1956-11-06;--:--;   1614.058
1956-11-07;--:--;   1614.058
1956-11-08;--:--;   1614.058
1956-11-09;--:--;   1614.058
1956-11-10;--:--;   1614.058
1956-11-11;--:--;   1614.058
1956-11-12;--:--;   1614.058
1956-11-13;--:--;   1614.058
1956-11-14;--:--;   1614.058
1956-11-15;--:--;   1614.058
1956-11-16;--:--;   1614.058
1956-11-17;--:--;   1614.058
1956-11-18;--:--;   1614.058
1956-11-19;--:--;   1614.058
1956-11-20;--:--;   1614.058
1956-11-21;--:--;   1614.058
1956-11-22;--:--;   1614.058
1956-11-23;--:--;   1614.058
1956-11-24;--:--;   1614.058
1956-11-25;--:--;   1614.058
1956-11-26;--:--;   1614.058
1956-11-27;--:--;   1614.058
1956-11-28;--:--;   1614.058
1956-11-29;--:--;   1614.058
1956-11-30;--:--;   1614.058
1956-12-01;--:--;   1274.256
1956-12-02;--:--;   1274.256
1956-12-03;--:--;   1274.256
1956-12-04;--:--;   1274.256
1956-12-05;--:--;   1274.256
1956-12-06;--:--;   1274.256
1956-12-07;--:--;   1274.256
1956-12-08;--:--;   1274.256
1956-12-09;--:--;   1274.256
1956-12-10;--:--;   1274.256
1956-12-11;--:--;   1274.256
1956-12-12;--:--;   1274.256
1956-12-13;--:--;   1274.256
1956-12-14;--:--;   1274.256
1956-12-15;--:--;   1274.256
1956-12-16;--:--;   1274.256
1956-12-17;--:--;   1274.256
1956-12-18;--:--;   1274.256
1956-12-19;--:--;   1274.256
1956-12-20;--:--;   1274.256
1956-12-21;--:--;   1274.256
1956-12-22;--:--;   1274.256
1956-12-23;--:--;   1274.256
1956-12-24;--:--;   1274.256
1956-12-25;--:--;   1274.256
1956-12-26;--:--;   1274.256
1956-12-27;--:--;   1274.256
1956-12-28;--:--;   1274.256
1956-12-29;--:--;   1274.256
1956-12-30;--:--;   1274.256
1956-12-31;--:--;   1274.256
1957-01-01;--:--;   1019.405
1957-01-02;--:--;   1019.405
1957-01-03;--:--;   1019.405
1957-01-04;--:--;   1019.405
1957-01-05;--:--;   1019.405
1957-01-06;--:--;   1019.405
1957-01-07;--:--;   1019.405
1957-01-08;--:--;   1019.405
1957-01-09;--:--;   1019.405
1957-01-10;--:--;   1019.405
1957-01-11;--:--;   1019.405
1957-01-12;--:--;   1019.405
1957-01-13;--:--;   1019.405
1957-01-14;--:--;   1019.405
1957-01-15;--:--;   1019.405
1957-01-16;--:--;   1019.405
1957-01-17;--:--;   1019.405
1957-01-18;--:--;   1019.405
1957-01-19;--:--;   1019.405
1957-01-20;--:--;   1019.405
1957-01-21;--:--;   1019.405
1957-01-22;--:--;   1019.405
1957-01-23;--:--;   1019.405
1957-01-24;--:--;   1019.405
1957-01-25;--:--;   1019.405
1957-01-26;--:--;   1019.405
1957-01-27;--:--;   1019.405
1957-01-28;--:--;   1019.405
1957-01-29;--:--;   1019.405
1957-01-30;--:--;   1019.405
1957-01-31;--:--;   1019.405
1957-02-01;--:--;    849.504
1957-02-02;--:--;    849.504
1957-02-03;--:--;    849.504
1957-02-04;--:--;    849.504
1957-02-05;--:--;    849.504
1957-02-06;--:--;    849.504
1957-02-07;--:--;    849.504
1957-02-08;--:--;    849.504
1957-02-09;--:--;    849.504
1957-02-10;--:--;    849.504
1957-02-11;--:--;    849.504
1957-02-12;--:--;    849.504
1957-02-13;--:--;    849.504
1957-02-14;--:--;    849.504
1957-02-15;--:--;    849.504
1957-02-16;--:--;    849.504
1957-02-17;--:--;    849.504
1957-02-18;--:--;    849.504
1957-02-19;--:--;    849.504
1957-02-20;--:--;    849.504
1957-02-21;--:--;    849.504
1957-02-22;--:--;    849.504
1957-02-23;--:--;    849.504
1957-02-24;--:--;    849.504
1957-02-25;--:--;    849.504
1957-02-26;--:--;    849.504
