# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103451
# River:                 MELOZITNA RIVER
# Station:               NEAR RUBY, ALAS.
# Country:               US
# Latitude (DD):       64.7922
# Longitude (DD):      -155.5633
# Catchment area (km²):      6974.87
# Altitude (m ASL):        57.91
# Next downstream station:      4103300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961-08 - 1973-09
# No. of years:          13
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4435
# DATA
YYYY-MM-DD;hh:mm; Value
1961-08-10;--:--;     51.820
1961-08-11;--:--;   -999.000
1961-08-12;--:--;   -999.000
1961-08-13;--:--;   -999.000
1961-08-14;--:--;   -999.000
1961-08-15;--:--;   -999.000
1961-08-16;--:--;     39.927
1961-08-17;--:--;     34.830
1961-08-18;--:--;     35.113
1961-08-19;--:--;     37.661
1961-08-20;--:--;     59.748
1961-08-21;--:--;    103.073
1961-08-22;--:--;    124.594
1961-08-23;--:--;    120.913
1961-08-24;--:--;    111.851
1961-08-25;--:--;    102.224
1961-08-26;--:--;    102.224
1961-08-27;--:--;    105.622
1961-08-28;--:--;    112.701
1961-08-29;--:--;    120.913
1961-08-30;--:--;    114.683
1961-08-31;--:--;     98.826
1961-09-01;--:--;     78.721
1961-09-02;--:--;     70.226
1961-09-03;--:--;     57.200
1961-09-04;--:--;     44.174
1961-09-05;--:--;     58.616
1961-09-06;--:--;    109.303
1961-09-07;--:--;    150.362
1961-09-08;--:--;    107.321
1961-09-09;--:--;     87.216
1961-09-10;--:--;     91.746
1961-09-11;--:--;    104.772
1961-09-12;--:--;    114.683
1961-09-13;--:--;    110.152
1961-09-14;--:--;    106.471
1961-09-15;--:--;    103.923
1961-09-16;--:--;     90.897
1961-09-17;--:--;     80.703
1961-09-18;--:--;     84.950
1961-09-19;--:--;     84.950
1961-09-20;--:--;     82.685
1961-09-21;--:--;     90.047
1961-09-22;--:--;    107.321
1961-09-23;--:--;    147.247
1961-09-24;--:--;    159.990
1961-09-25;--:--;    173.582
1961-09-26;--:--;    198.501
1961-09-27;--:--;    249.188
1961-09-28;--:--;    261.930
1961-09-29;--:--;    239.277
1961-09-30;--:--;    216.340
1961-10-01;--:--;    179.529
1961-10-02;--:--;    161.406
1961-10-03;--:--;    144.133
1961-10-04;--:--;    127.142
1961-10-05;--:--;    111.002
1961-10-06;--:--;     98.259
1961-10-07;--:--;     84.101
1961-10-08;--:--;     73.907
1961-10-09;--:--;     55.501
1961-10-10;--:--;     37.661
1961-10-11;--:--;     29.449
1961-10-12;--:--;     28.600
1961-10-13;--:--;     25.768
1961-10-14;--:--;     25.768
1961-10-15;--:--;     25.768
1961-10-16;--:--;     25.768
1961-10-17;--:--;     25.768
1961-10-18;--:--;     25.768
1961-10-19;--:--;     25.768
1961-10-20;--:--;     25.768
1961-10-21;--:--;     25.768
1961-10-22;--:--;     25.768
1961-10-23;--:--;     25.768
1961-10-24;--:--;     25.768
1961-10-25;--:--;     25.768
1961-10-26;--:--;     25.768
1961-10-27;--:--;     25.768
1961-10-28;--:--;     25.768
1961-10-29;--:--;     25.768
1961-10-30;--:--;     25.768
1961-10-31;--:--;     25.768
1961-11-01;--:--;     13.875
1961-11-02;--:--;     13.875
1961-11-03;--:--;     13.875
1961-11-04;--:--;     13.875
1961-11-05;--:--;     13.875
1961-11-06;--:--;     13.875
1961-11-07;--:--;     13.875
1961-11-08;--:--;     13.875
1961-11-09;--:--;     13.875
1961-11-10;--:--;     13.875
1961-11-11;--:--;     13.875
1961-11-12;--:--;     13.875
1961-11-13;--:--;     13.875
1961-11-14;--:--;     13.875
1961-11-15;--:--;     13.875
1961-11-16;--:--;     13.875
1961-11-17;--:--;     13.875
1961-11-18;--:--;     13.875
1961-11-19;--:--;     13.875
1961-11-20;--:--;     13.875
1961-11-21;--:--;     13.875
1961-11-22;--:--;     13.875
1961-11-23;--:--;     13.875
1961-11-24;--:--;     13.875
1961-11-25;--:--;     13.875
1961-11-26;--:--;     13.875
1961-11-27;--:--;     13.875
1961-11-28;--:--;     13.875
1961-11-29;--:--;     13.875
1961-11-30;--:--;     13.875
1961-12-01;--:--;      9.628
1961-12-02;--:--;      9.628
1961-12-03;--:--;      9.628
1961-12-04;--:--;      9.628
1961-12-05;--:--;      9.628
1961-12-06;--:--;      9.628
1961-12-07;--:--;      9.628
1961-12-08;--:--;      9.628
1961-12-09;--:--;      9.628
1961-12-10;--:--;      9.628
1961-12-11;--:--;      9.628
1961-12-12;--:--;      9.628
1961-12-13;--:--;      9.628
1961-12-14;--:--;      9.628
1961-12-15;--:--;      9.628
1961-12-16;--:--;      9.628
1961-12-17;--:--;      9.628
1961-12-18;--:--;      9.628
1961-12-19;--:--;      9.628
1961-12-20;--:--;      9.628
1961-12-21;--:--;      9.628
1961-12-22;--:--;      9.628
1961-12-23;--:--;      9.628
1961-12-24;--:--;      9.628
1961-12-25;--:--;      9.628
1961-12-26;--:--;      9.628
1961-12-27;--:--;      9.628
1961-12-28;--:--;      9.628
1961-12-29;--:--;      9.628
1961-12-30;--:--;      9.628
1961-12-31;--:--;      9.628
1962-01-01;--:--;      6.796
1962-01-02;--:--;      6.796
1962-01-03;--:--;      6.796
1962-01-04;--:--;      6.796
1962-01-05;--:--;      6.796
1962-01-06;--:--;      6.796
1962-01-07;--:--;      6.796
1962-01-08;--:--;      6.796
1962-01-09;--:--;      6.796
1962-01-10;--:--;      6.796
1962-01-11;--:--;      6.796
1962-01-12;--:--;      6.796
1962-01-13;--:--;      6.796
1962-01-14;--:--;      6.796
1962-01-15;--:--;      6.796
1962-01-16;--:--;      6.796
1962-01-17;--:--;      6.796
1962-01-18;--:--;      6.796
1962-01-19;--:--;      6.796
1962-01-20;--:--;      6.796
1962-01-21;--:--;      6.796
1962-01-22;--:--;      6.796
1962-01-23;--:--;      6.796
1962-01-24;--:--;      6.796
1962-01-25;--:--;      6.796
1962-01-26;--:--;      6.796
1962-01-27;--:--;      6.796
1962-01-28;--:--;      6.796
1962-01-29;--:--;      6.796
1962-01-30;--:--;      6.796
1962-01-31;--:--;      6.796
1962-02-01;--:--;      4.814
1962-02-02;--:--;      4.814
1962-02-03;--:--;      4.814
1962-02-04;--:--;      4.814
1962-02-05;--:--;      4.814
1962-02-06;--:--;      4.814
1962-02-07;--:--;      4.814
1962-02-08;--:--;      4.814
1962-02-09;--:--;      4.814
1962-02-10;--:--;      4.814
1962-02-11;--:--;      4.814
1962-02-12;--:--;      4.814
1962-02-13;--:--;      4.814
1962-02-14;--:--;      4.814
1962-02-15;--:--;      4.814
1962-02-16;--:--;      4.814
1962-02-17;--:--;      4.814
1962-02-18;--:--;      4.814
1962-02-19;--:--;      4.814
1962-02-20;--:--;      4.814
1962-02-21;--:--;      4.814
1962-02-22;--:--;      4.814
1962-02-23;--:--;      4.814
1962-02-24;--:--;      4.814
1962-02-25;--:--;      4.814
1962-02-26;--:--;      4.814
1962-02-27;--:--;      4.814
1962-02-28;--:--;      4.814
1962-03-01;--:--;      3.398
1962-03-02;--:--;      3.398
1962-03-03;--:--;      3.398
1962-03-04;--:--;      3.398
1962-03-05;--:--;      3.398
1962-03-06;--:--;      3.398
1962-03-07;--:--;      3.398
1962-03-08;--:--;      3.398
1962-03-09;--:--;      3.398
1962-03-10;--:--;      3.398
1962-03-11;--:--;      3.398
1962-03-12;--:--;      3.398
1962-03-13;--:--;      3.398
1962-03-14;--:--;      3.398
1962-03-15;--:--;      3.398
1962-03-16;--:--;      3.398
1962-03-17;--:--;      3.398
1962-03-18;--:--;      3.398
1962-03-19;--:--;      3.398
1962-03-20;--:--;      3.398
1962-03-21;--:--;      3.398
1962-03-22;--:--;      3.398
1962-03-23;--:--;      3.398
1962-03-24;--:--;      3.398
1962-03-25;--:--;      3.398
1962-03-26;--:--;      3.398
1962-03-27;--:--;      3.398
1962-03-28;--:--;      3.398
1962-03-29;--:--;      3.398
1962-03-30;--:--;      3.398
1962-03-31;--:--;      3.398
1962-04-01;--:--;      3.681
1962-04-02;--:--;      3.681
1962-04-03;--:--;      3.681
1962-04-04;--:--;      3.681
1962-04-05;--:--;      3.681
1962-04-06;--:--;      3.681
1962-04-07;--:--;      3.681
