# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103620
# River:                 NENANA RIVER
# Station:               NEAR REX, ALAS.
# Country:               US
# Latitude (DD):       64.2176
# Longitude (DD):      -149.2801
# Catchment area (km²):      6345.5
# Altitude (m ASL):        210.31
# Next downstream station:      4103600
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-10 - 1968-09
# No. of years:          5
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1964-10-01;--:--;    113.267
1964-10-02;--:--;    113.267
1964-10-03;--:--;    113.267
1964-10-04;--:--;    113.267
1964-10-05;--:--;    113.267
1964-10-06;--:--;    113.267
1964-10-07;--:--;    113.267
1964-10-08;--:--;    113.267
1964-10-09;--:--;    113.267
1964-10-10;--:--;    113.267
1964-10-11;--:--;    113.267
1964-10-12;--:--;    113.267
1964-10-13;--:--;    113.267
1964-10-14;--:--;    113.267
1964-10-15;--:--;    113.267
1964-10-16;--:--;    113.267
1964-10-17;--:--;    113.267
1964-10-18;--:--;    113.267
1964-10-19;--:--;    113.267
1964-10-20;--:--;    113.267
1964-10-21;--:--;     79.287
1964-10-22;--:--;     79.287
1964-10-23;--:--;     79.287
1964-10-24;--:--;     79.287
1964-10-25;--:--;     79.287
1964-10-26;--:--;     79.287
1964-10-27;--:--;     79.287
1964-10-28;--:--;     79.287
1964-10-29;--:--;     79.287
1964-10-30;--:--;     79.287
1964-10-31;--:--;     79.287
1964-11-01;--:--;     42.475
1964-11-02;--:--;     42.475
1964-11-03;--:--;     42.475
1964-11-04;--:--;     42.475
1964-11-05;--:--;     42.475
1964-11-06;--:--;     42.475
1964-11-07;--:--;     42.475
1964-11-08;--:--;     42.475
1964-11-09;--:--;     42.475
1964-11-10;--:--;     42.475
1964-11-11;--:--;     42.475
1964-11-12;--:--;     42.475
1964-11-13;--:--;     42.475
1964-11-14;--:--;     42.475
1964-11-15;--:--;     42.475
1964-11-16;--:--;     42.475
1964-11-17;--:--;     42.475
1964-11-18;--:--;     42.475
1964-11-19;--:--;     42.475
1964-11-20;--:--;     42.475
1964-11-21;--:--;     42.475
1964-11-22;--:--;     42.475
1964-11-23;--:--;     42.475
1964-11-24;--:--;     42.475
1964-11-25;--:--;     42.475
1964-11-26;--:--;     42.475
1964-11-27;--:--;     42.475
1964-11-28;--:--;     42.475
1964-11-29;--:--;     42.475
1964-11-30;--:--;     42.475
1964-12-01;--:--;     26.618
1964-12-02;--:--;     26.618
1964-12-03;--:--;     26.618
1964-12-04;--:--;     26.618
1964-12-05;--:--;     26.618
1964-12-06;--:--;     26.618
1964-12-07;--:--;     26.618
1964-12-08;--:--;     26.618
1964-12-09;--:--;     26.618
1964-12-10;--:--;     26.618
1964-12-11;--:--;     26.618
1964-12-12;--:--;     26.618
1964-12-13;--:--;     26.618
1964-12-14;--:--;     26.618
1964-12-15;--:--;     26.618
1964-12-16;--:--;     26.618
1964-12-17;--:--;     26.618
1964-12-18;--:--;     26.618
1964-12-19;--:--;     26.618
1964-12-20;--:--;     26.618
1964-12-21;--:--;     26.618
1964-12-22;--:--;     26.618
1964-12-23;--:--;     26.618
1964-12-24;--:--;     26.618
1964-12-25;--:--;     26.618
1964-12-26;--:--;     26.618
1964-12-27;--:--;     26.618
1964-12-28;--:--;     26.618
1964-12-29;--:--;     26.618
1964-12-30;--:--;     26.618
1964-12-31;--:--;     26.618
1965-01-01;--:--;     18.972
1965-01-02;--:--;     18.972
1965-01-03;--:--;     18.972
1965-01-04;--:--;     18.972
1965-01-05;--:--;     18.972
1965-01-06;--:--;     18.972
1965-01-07;--:--;     18.972
1965-01-08;--:--;     18.972
1965-01-09;--:--;     18.972
1965-01-10;--:--;     18.972
1965-01-11;--:--;     18.972
1965-01-12;--:--;     18.972
1965-01-13;--:--;     18.972
1965-01-14;--:--;     18.972
1965-01-15;--:--;     18.972
1965-01-16;--:--;     18.972
1965-01-17;--:--;     18.972
1965-01-18;--:--;     18.972
1965-01-19;--:--;     18.972
1965-01-20;--:--;     18.972
1965-01-21;--:--;     18.972
1965-01-22;--:--;     18.972
1965-01-23;--:--;     18.972
1965-01-24;--:--;     18.972
1965-01-25;--:--;     18.972
1965-01-26;--:--;     18.972
1965-01-27;--:--;     18.972
1965-01-28;--:--;     18.972
1965-01-29;--:--;     18.972
1965-01-30;--:--;     18.972
1965-01-31;--:--;     18.972
1965-02-01;--:--;     17.273
1965-02-02;--:--;     17.273
1965-02-03;--:--;     17.273
1965-02-04;--:--;     17.273
1965-02-05;--:--;     17.273
1965-02-06;--:--;     17.273
1965-02-07;--:--;     17.273
1965-02-08;--:--;     17.273
1965-02-09;--:--;     17.273
1965-02-10;--:--;     17.273
1965-02-11;--:--;     17.273
1965-02-12;--:--;     17.273
1965-02-13;--:--;     17.273
1965-02-14;--:--;     17.273
1965-02-15;--:--;     17.273
1965-02-16;--:--;     17.273
1965-02-17;--:--;     17.273
1965-02-18;--:--;     17.273
1965-02-19;--:--;     17.273
1965-02-20;--:--;     17.273
1965-02-21;--:--;     17.160
1965-02-22;--:--;     16.707
1965-02-23;--:--;     16.707
1965-02-24;--:--;     16.707
1965-02-25;--:--;     16.707
1965-02-26;--:--;     16.707
1965-02-27;--:--;     16.707
1965-02-28;--:--;     16.707
1965-03-01;--:--;     15.574
1965-03-02;--:--;     15.574
1965-03-03;--:--;     15.574
1965-03-04;--:--;     15.574
1965-03-05;--:--;     15.574
1965-03-06;--:--;     15.574
1965-03-07;--:--;     15.574
1965-03-08;--:--;     15.574
1965-03-09;--:--;     15.574
1965-03-10;--:--;     15.574
1965-03-11;--:--;     15.574
1965-03-12;--:--;     15.574
1965-03-13;--:--;     15.574
1965-03-14;--:--;     15.574
1965-03-15;--:--;     15.574
1965-03-16;--:--;     15.574
1965-03-17;--:--;     15.574
1965-03-18;--:--;     15.574
1965-03-19;--:--;     15.574
1965-03-20;--:--;     15.574
1965-03-21;--:--;     15.574
1965-03-22;--:--;     15.574
1965-03-23;--:--;     15.574
1965-03-24;--:--;     15.574
1965-03-25;--:--;     15.574
1965-03-26;--:--;     15.574
1965-03-27;--:--;     15.574
1965-03-28;--:--;     15.574
1965-03-29;--:--;     15.574
1965-03-30;--:--;     15.574
1965-03-31;--:--;     15.574
1965-04-01;--:--;     17.840
1965-04-02;--:--;     17.840
1965-04-03;--:--;     17.840
1965-04-04;--:--;     17.840
1965-04-05;--:--;     17.840
1965-04-06;--:--;     17.840
1965-04-07;--:--;     17.840
1965-04-08;--:--;     17.840
1965-04-09;--:--;     17.840
1965-04-10;--:--;     17.840
1965-04-11;--:--;     17.840
1965-04-12;--:--;     17.840
1965-04-13;--:--;     17.840
1965-04-14;--:--;     17.840
1965-04-15;--:--;     17.840
1965-04-16;--:--;     25.768
1965-04-17;--:--;     25.768
1965-04-18;--:--;     25.768
1965-04-19;--:--;     25.768
1965-04-20;--:--;     25.768
1965-04-21;--:--;     25.768
