# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103632
# River:                 CHENA RIVER
# Station:               NEAR N POLE, ALAS.
# Country:               US
# Latitude (DD):       64.796
# Longitude (DD):      -147.2013
# Catchment area (km²):      3742.55
# Altitude (m ASL):        145.72
# Next downstream station:      4103631
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-05 - 1980-09
# No. of years:          9
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3075
# DATA
YYYY-MM-DD;hh:mm; Value
1972-05-01;--:--;      5.947
1972-05-02;--:--;      6.513
1972-05-03;--:--;      7.079
1972-05-04;--:--;      7.646
1972-05-05;--:--;     11.327
1972-05-06;--:--;     19.822
1972-05-07;--:--;     36.812
1972-05-08;--:--;     84.950
1972-05-09;--:--;    164.237
1972-05-10;--:--;    254.851
1972-05-11;--:--;    198.218
1972-05-12;--:--;    146.964
1972-05-13;--:--;    115.816
1972-05-14;--:--;    112.701
1972-05-15;--:--;    110.436
1972-05-16;--:--;    102.507
1972-05-17;--:--;     77.305
1972-05-18;--:--;     73.341
1972-05-19;--:--;     86.083
1972-05-20;--:--;    113.267
1972-05-21;--:--;    154.327
1972-05-22;--:--;    175.564
1972-05-23;--:--;    171.317
1972-05-24;--:--;    163.671
1972-05-25;--:--;    152.061
1972-05-26;--:--;    167.069
1972-05-27;--:--;    186.891
1972-05-28;--:--;    209.544
1972-05-29;--:--;    190.289
1972-05-30;--:--;    160.556
1972-05-31;--:--;    159.140
1972-06-01;--:--;    154.327
1972-06-02;--:--;    127.426
1972-06-03;--:--;    103.923
1972-06-04;--:--;     85.800
1972-06-05;--:--;    111.568
1972-06-06;--:--;    117.232
1972-06-07;--:--;     96.277
1972-06-08;--:--;    187.457
1972-06-09;--:--;    213.792
1972-06-10;--:--;    122.045
1972-06-11;--:--;     99.675
1972-06-12;--:--;     84.950
1972-06-13;--:--;     77.022
1972-06-14;--:--;     74.756
1972-06-15;--:--;     71.642
1972-06-16;--:--;     66.261
1972-06-17;--:--;     59.465
1972-06-18;--:--;     54.651
1972-06-19;--:--;     51.537
1972-06-20;--:--;     50.970
1972-06-21;--:--;     47.289
1972-06-22;--:--;     43.891
1972-06-23;--:--;     41.626
1972-06-24;--:--;     39.360
1972-06-25;--:--;     38.228
1972-06-26;--:--;     36.812
1972-06-27;--:--;     35.679
1972-06-28;--:--;     33.697
1972-06-29;--:--;     32.564
1972-06-30;--:--;     31.715
1972-07-01;--:--;     31.715
1972-07-02;--:--;     31.148
1972-07-03;--:--;     30.299
1972-07-04;--:--;     28.317
1972-07-05;--:--;     27.524
1972-07-06;--:--;     26.165
1972-07-07;--:--;     25.485
1972-07-08;--:--;     23.899
1972-07-09;--:--;     22.540
1972-07-10;--:--;     22.087
1972-07-11;--:--;     21.408
1972-07-12;--:--;     21.408
1972-07-13;--:--;     21.181
1972-07-14;--:--;     20.728
1972-07-15;--:--;     19.822
1972-07-16;--:--;     21.181
1972-07-17;--:--;     39.644
1972-07-18;--:--;    115.533
1972-07-19;--:--;    128.558
1972-07-20;--:--;     71.075
1972-07-21;--:--;     59.748
1972-07-22;--:--;     56.067
1972-07-23;--:--;     51.537
1972-07-24;--:--;     46.723
1972-07-25;--:--;     42.475
1972-07-26;--:--;     39.360
1972-07-27;--:--;     36.246
1972-07-28;--:--;     34.263
1972-07-29;--:--;     33.414
1972-07-30;--:--;     32.564
1972-07-31;--:--;     31.432
1972-08-01;--:--;     30.299
1972-08-02;--:--;     28.600
1972-08-03;--:--;     27.524
1972-08-04;--:--;     26.391
1972-08-05;--:--;     25.259
1972-08-06;--:--;     24.579
1972-08-07;--:--;     25.032
1972-08-08;--:--;     29.449
1972-08-09;--:--;     41.059
1972-08-10;--:--;     52.386
1972-08-11;--:--;     52.669
1972-08-12;--:--;     50.121
1972-08-13;--:--;     46.723
1972-08-14;--:--;     43.608
1972-08-15;--:--;     41.059
1972-08-16;--:--;     39.077
1972-08-17;--:--;     36.812
1972-08-18;--:--;     35.113
1972-08-19;--:--;     34.830
1972-08-20;--:--;     33.697
1972-08-21;--:--;     33.131
1972-08-22;--:--;     32.281
1972-08-23;--:--;     31.148
1972-08-24;--:--;     31.998
1972-08-25;--:--;     34.263
1972-08-26;--:--;     34.263
1972-08-27;--:--;     33.414
1972-08-28;--:--;     33.980
1972-08-29;--:--;     35.113
1972-08-30;--:--;     34.263
1972-08-31;--:--;     32.847
1972-09-01;--:--;     32.564
1972-09-02;--:--;     38.511
1972-09-03;--:--;     45.873
1972-09-04;--:--;     46.723
1972-09-05;--:--;     47.572
1972-09-06;--:--;     50.687
1972-09-07;--:--;     48.422
1972-09-08;--:--;     45.307
1972-09-09;--:--;     42.758
1972-09-10;--:--;     41.909
1972-09-11;--:--;     44.741
1972-09-12;--:--;     50.404
1972-09-13;--:--;     52.669
1972-09-14;--:--;     77.305
1972-09-15;--:--;    105.338
1972-09-16;--:--;    102.224
1972-09-17;--:--;    100.241
1972-09-18;--:--;     85.517
1972-09-19;--:--;     75.323
1972-09-20;--:--;     67.111
1972-09-21;--:--;     60.881
1972-09-22;--:--;     55.501
1972-09-23;--:--;     50.970
1972-09-24;--:--;     47.572
