# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103750
# River:                 TANANA RIVER
# Station:               NEAR TANACROSS, ALAS.
# Country:               US
# Latitude (DD):       63.388
# Longitude (DD):      -143.7486
# Catchment area (km²):      22144.5
# Altitude (m ASL):        454.024
# Next downstream station:      4103610
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-02 - 1990-09
# No. of years:          38
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 13740
# DATA
YYYY-MM-DD;hh:mm; Value
1953-02-17;--:--;     57.766
1953-02-18;--:--;   -999.000
1953-02-19;--:--;   -999.000
1953-02-20;--:--;   -999.000
1953-02-21;--:--;   -999.000
1953-02-22;--:--;   -999.000
1953-02-23;--:--;   -999.000
1953-02-24;--:--;   -999.000
1953-02-25;--:--;   -999.000
1953-02-26;--:--;   -999.000
1953-02-27;--:--;   -999.000
1953-02-28;--:--;   -999.000
1953-03-01;--:--;   -999.000
1953-03-02;--:--;   -999.000
1953-03-03;--:--;   -999.000
1953-03-04;--:--;   -999.000
1953-03-05;--:--;   -999.000
1953-03-06;--:--;   -999.000
1953-03-07;--:--;   -999.000
1953-03-08;--:--;   -999.000
1953-03-09;--:--;   -999.000
1953-03-10;--:--;   -999.000
1953-03-11;--:--;   -999.000
1953-03-12;--:--;   -999.000
1953-03-13;--:--;   -999.000
1953-03-14;--:--;   -999.000
1953-03-15;--:--;   -999.000
1953-03-16;--:--;   -999.000
1953-03-17;--:--;   -999.000
1953-03-18;--:--;   -999.000
1953-03-19;--:--;   -999.000
1953-03-20;--:--;   -999.000
1953-03-21;--:--;   -999.000
1953-03-22;--:--;   -999.000
1953-03-23;--:--;   -999.000
1953-03-24;--:--;   -999.000
1953-03-25;--:--;   -999.000
1953-03-26;--:--;   -999.000
1953-03-27;--:--;   -999.000
1953-03-28;--:--;   -999.000
1953-03-29;--:--;   -999.000
1953-03-30;--:--;   -999.000
1953-03-31;--:--;   -999.000
1953-04-01;--:--;   -999.000
1953-04-02;--:--;   -999.000
1953-04-03;--:--;   -999.000
1953-04-04;--:--;   -999.000
