# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4115221
# River:                 JOHN DAY RIVER
# Station:               MCDONALD FERRY, OREG
# Country:               US
# Latitude (DD):       45.5876
# Longitude (DD):      -120.4095
# Catchment area (km²):      19632.2
# Altitude (m ASL):        119.56
# Next downstream station:      4115200
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1904-12 - 2018-11
# No. of years:          115
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 41636
# DATA
YYYY-MM-DD;hh:mm; Value
1904-12-01;--:--;     14.611
1904-12-02;--:--;     14.611
1904-12-03;--:--;     14.611
1904-12-04;--:--;     14.611
1904-12-05;--:--;     14.611
1904-12-06;--:--;     13.422
1904-12-07;--:--;     11.213
1904-12-08;--:--;      9.231
1904-12-09;--:--;      9.231
1904-12-10;--:--;     11.213
1904-12-11;--:--;     13.422
1904-12-12;--:--;     14.611
1904-12-13;--:--;     16.112
1904-12-14;--:--;     15.857
1904-12-15;--:--;     15.857
1904-12-16;--:--;     14.611
1904-12-17;--:--;     15.857
1904-12-18;--:--;     15.857
1904-12-19;--:--;     14.611
1904-12-20;--:--;     13.422
1904-12-21;--:--;     14.611
1904-12-22;--:--;     15.857
1904-12-23;--:--;     15.857
1904-12-24;--:--;     15.857
1904-12-25;--:--;     15.857
1904-12-26;--:--;     15.857
1904-12-27;--:--;     12.289
1904-12-28;--:--;     11.213
1904-12-29;--:--;      8.353
1904-12-30;--:--;     12.318
1904-12-31;--:--;     13.422
1905-01-01;--:--;     30.299
1905-01-02;--:--;     41.909
1905-01-03;--:--;     30.299
1905-01-04;--:--;     24.126
1905-01-05;--:--;     24.126
1905-01-06;--:--;     22.653
1905-01-07;--:--;     21.238
