# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4116187
# River:                 SNAKE RIVER
# Station:               KING HILL, ID
# Country:               US
# Latitude (DD):       43.0021
# Longitude (DD):      -115.2026
# Catchment area (km²):      92722.0
# Altitude (m ASL):        759.65
# Next downstream station:      4116186
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1909-06 - 2019-06
# No. of years:          111
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 40200
# DATA
YYYY-MM-DD;hh:mm; Value
1909-06-01;--:--;    942.949
1909-06-02;--:--;   1129.840
1909-06-03;--:--;    897.643
1909-06-04;--:--;    880.652
1909-06-05;--:--;    903.306
1909-06-06;--:--;    937.286
1909-06-07;--:--;    948.613
1909-06-08;--:--;   1016.573
1909-06-09;--:--;   1061.880
1909-06-10;--:--;   1135.504
1909-06-11;--:--;   1163.820
1909-06-12;--:--;   1186.474
1909-06-13;--:--;   1186.474
1909-06-14;--:--;   1118.514
1909-06-15;--:--;   1027.900
1909-06-16;--:--;   1005.246
1909-06-17;--:--;    976.930
1909-06-18;--:--;    948.613
1909-06-19;--:--;    925.959
1909-06-20;--:--;    976.930
1909-06-21;--:--;   1039.227
1909-06-22;--:--;   1061.880
1909-06-23;--:--;   1124.177
1909-06-24;--:--;   1141.167
1909-06-25;--:--;   1163.820
1909-06-26;--:--;   1141.167
1909-06-27;--:--;   1129.840
1909-06-28;--:--;   1095.860
1909-06-29;--:--;   1078.870
1909-06-30;--:--;   1061.880
1909-07-01;--:--;   1039.227
1909-07-02;--:--;   1039.227
1909-07-03;--:--;   1039.227
1909-07-04;--:--;   1050.553
1909-07-05;--:--;   1061.880
1909-07-06;--:--;   1050.553
1909-07-07;--:--;   1039.227
1909-07-08;--:--;   1027.900
1909-07-09;--:--;   1027.900
1909-07-10;--:--;   1022.236
1909-07-11;--:--;    835.346
1909-07-12;--:--;    693.762
1909-07-13;--:--;    620.138
1909-07-14;--:--;    566.336
1909-07-15;--:--;    501.207
1909-07-16;--:--;    470.059
1909-07-17;--:--;    447.405
1909-07-18;--:--;    427.584
1909-07-19;--:--;    396.435
1909-07-20;--:--;    385.108
1909-07-21;--:--;    351.128
1909-07-22;--:--;    334.138
1909-07-23;--:--;    325.643
1909-07-24;--:--;    317.148
1909-07-25;--:--;    305.821
1909-07-26;--:--;    297.326
1909-07-27;--:--;    291.663
1909-07-28;--:--;    288.831
1909-07-29;--:--;    279.204
1909-07-30;--:--;    270.142
1909-07-31;--:--;    274.673
1909-08-01;--:--;    252.020
1909-08-02;--:--;    224.835
1909-08-03;--:--;    224.835
1909-08-04;--:--;    215.774
1909-08-05;--:--;    224.835
1909-08-06;--:--;    224.835
1909-08-07;--:--;    256.550
1909-08-08;--:--;    274.673
1909-08-09;--:--;    279.204
1909-08-10;--:--;    279.204
1909-08-11;--:--;    279.204
1909-08-12;--:--;    274.673
1909-08-13;--:--;    270.142
1909-08-14;--:--;    265.612
1909-08-15;--:--;    270.142
1909-08-16;--:--;    279.204
1909-08-17;--:--;    274.673
1909-08-18;--:--;    261.081
1909-08-19;--:--;    256.550
1909-08-20;--:--;    252.020
1909-08-21;--:--;    252.020
1909-08-22;--:--;    242.958
1909-08-23;--:--;    224.835
1909-08-24;--:--;    215.774
1909-08-25;--:--;    206.713
1909-08-26;--:--;    189.439
1909-08-27;--:--;    591.821
1909-08-28;--:--;    436.079
1909-08-29;--:--;    297.326
1909-08-30;--:--;    297.326
1909-08-31;--:--;    297.326
1909-09-01;--:--;    297.326
1909-09-02;--:--;    396.435
1909-09-03;--:--;    370.950
1909-09-04;--:--;    334.138
1909-09-05;--:--;    325.643
1909-09-06;--:--;    334.138
1909-09-07;--:--;    334.138
1909-09-08;--:--;    339.802
1909-09-09;--:--;    351.128
1909-09-10;--:--;    351.128
1909-09-11;--:--;    441.742
1909-09-12;--:--;    396.435
1909-09-13;--:--;    396.435
1909-09-14;--:--;    339.802
1909-09-15;--:--;    396.435
1909-09-16;--:--;    396.435
1909-09-17;--:--;    436.079
1909-09-18;--:--;    416.257
1909-09-19;--:--;    396.435
1909-09-20;--:--;    319.980
1909-09-21;--:--;    319.980
1909-09-22;--:--;    305.821
1909-09-23;--:--;    305.821
1909-09-24;--:--;    345.465
1909-09-25;--:--;    385.108
