# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4120331
# River:                 JEFFERSON RIVER
# Station:               NEAR TWIN BRIDGES, MT
# Country:               US
# Latitude (DD):       45.6138
# Longitude (DD):      -112.33
# Catchment area (km²):      19766.9
# Altitude (m ASL):        1389.89
# Next downstream station:      4120330
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-08 - 2018-10
# No. of years:          79
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 28552
# DATA
YYYY-MM-DD;hh:mm; Value
1940-08-01;--:--;      8.495
1940-08-02;--:--;      8.212
1940-08-03;--:--;      7.929
1940-08-04;--:--;      7.646
1940-08-05;--:--;      7.646
1940-08-06;--:--;      7.362
1940-08-07;--:--;      7.362
1940-08-08;--:--;      7.079
1940-08-09;--:--;      7.079
1940-08-10;--:--;      6.796
1940-08-11;--:--;      6.796
1940-08-12;--:--;      6.513
1940-08-13;--:--;      6.513
1940-08-14;--:--;      6.230
1940-08-15;--:--;      5.947
1940-08-16;--:--;      5.947
1940-08-17;--:--;      6.230
1940-08-18;--:--;      6.513
1940-08-19;--:--;      6.513
1940-08-20;--:--;      7.023
1940-08-21;--:--;      7.079
1940-08-22;--:--;      7.079
1940-08-23;--:--;      7.079
1940-08-24;--:--;      7.504
1940-08-25;--:--;      7.929
1940-08-26;--:--;      7.929
1940-08-27;--:--;      7.504
1940-08-28;--:--;      7.504
1940-08-29;--:--;      7.079
1940-08-30;--:--;      6.654
1940-08-31;--:--;      6.286
1940-09-01;--:--;      6.654
1940-09-02;--:--;      6.286
1940-09-03;--:--;      7.504
1940-09-04;--:--;      9.203
1940-09-05;--:--;      9.203
1940-09-06;--:--;      8.778
1940-09-07;--:--;      9.203
1940-09-08;--:--;      9.684
1940-09-09;--:--;      9.684
1940-09-10;--:--;      9.684
1940-09-11;--:--;      9.684
1940-09-12;--:--;      9.684
1940-09-13;--:--;      9.684
1940-09-14;--:--;     10.194
1940-09-15;--:--;     10.760
1940-09-16;--:--;     11.327
1940-09-17;--:--;     11.327
1940-09-18;--:--;     13.252
1940-09-19;--:--;     15.291
1940-09-20;--:--;     16.707
1940-09-21;--:--;     18.123
1940-09-22;--:--;     21.096
1940-09-23;--:--;     21.096
1940-09-24;--:--;     19.539
1940-09-25;--:--;     21.096
1940-09-26;--:--;     21.096
1940-09-27;--:--;     21.096
1940-09-28;--:--;     27.892
1940-09-29;--:--;     49.271
1940-09-30;--:--;     66.544
1940-10-01;--:--;     69.659
1940-10-02;--:--;     60.598
1940-10-03;--:--;     49.271
1940-10-04;--:--;     52.103
1940-10-05;--:--;     52.103
1940-10-06;--:--;     43.891
1940-10-07;--:--;     43.891
1940-10-08;--:--;     43.891
1940-10-09;--:--;     41.343
1940-10-10;--:--;     38.794
1940-10-11;--:--;     38.794
1940-10-12;--:--;     36.529
1940-10-13;--:--;     36.529
1940-10-14;--:--;     34.263
1940-10-15;--:--;     34.263
1940-10-16;--:--;     34.263
1940-10-17;--:--;     34.263
1940-10-18;--:--;     31.998
1940-10-19;--:--;     34.263
1940-10-20;--:--;     34.263
1940-10-21;--:--;     31.998
1940-10-22;--:--;     31.998
1940-10-23;--:--;     31.998
1940-10-24;--:--;     31.998
1940-10-25;--:--;     34.263
1940-10-26;--:--;     36.529
1940-10-27;--:--;     38.794
1940-10-28;--:--;     41.343
1940-10-29;--:--;     41.343
1940-10-30;--:--;     41.343
1940-10-31;--:--;     38.794
1940-11-01;--:--;     36.812
1940-11-02;--:--;     36.812
1940-11-03;--:--;     36.812
1940-11-04;--:--;     36.812
1940-11-05;--:--;     36.812
1940-11-06;--:--;     36.812
1940-11-07;--:--;     36.812
1940-11-08;--:--;     36.812
1940-11-09;--:--;     36.812
1940-11-10;--:--;     36.812
1940-11-11;--:--;     36.812
1940-11-12;--:--;     36.812
1940-11-13;--:--;     36.812
1940-11-14;--:--;     36.812
1940-11-15;--:--;     36.812
1940-11-16;--:--;     36.812
1940-11-17;--:--;     36.812
1940-11-18;--:--;     36.812
1940-11-19;--:--;     36.812
1940-11-20;--:--;     36.812
1940-11-21;--:--;     36.812
1940-11-22;--:--;     36.812
1940-11-23;--:--;     36.812
1940-11-24;--:--;     36.812
1940-11-25;--:--;     36.812
1940-11-26;--:--;     36.812
1940-11-27;--:--;     36.812
1940-11-28;--:--;     36.812
1940-11-29;--:--;     36.812
1940-11-30;--:--;     36.812
1940-12-01;--:--;     31.148
1940-12-02;--:--;     31.148
1940-12-03;--:--;     31.148
1940-12-04;--:--;     31.148
1940-12-05;--:--;     31.148
1940-12-06;--:--;     31.148
1940-12-07;--:--;     31.148
1940-12-08;--:--;     31.148
1940-12-09;--:--;     31.148
1940-12-10;--:--;     31.148
1940-12-11;--:--;     31.148
1940-12-12;--:--;     31.148
1940-12-13;--:--;     31.148
1940-12-14;--:--;     31.148
1940-12-15;--:--;     31.148
1940-12-16;--:--;     31.148
1940-12-17;--:--;     31.148
1940-12-18;--:--;     31.148
1940-12-19;--:--;     31.148
1940-12-20;--:--;     31.148
1940-12-21;--:--;     31.148
1940-12-22;--:--;     31.148
1940-12-23;--:--;     31.148
1940-12-24;--:--;     31.148
1940-12-25;--:--;     31.148
1940-12-26;--:--;     31.148
1940-12-27;--:--;     31.148
1940-12-28;--:--;     31.148
1940-12-29;--:--;     31.148
1940-12-30;--:--;     31.148
1940-12-31;--:--;     31.148
1941-01-01;--:--;     26.901
1941-01-02;--:--;     26.901
1941-01-03;--:--;     26.901
1941-01-04;--:--;     26.901
1941-01-05;--:--;     26.901
1941-01-06;--:--;     26.901
1941-01-07;--:--;     26.901
1941-01-08;--:--;     26.901
1941-01-09;--:--;     26.901
1941-01-10;--:--;     26.901
1941-01-11;--:--;     26.901
1941-01-12;--:--;     26.901
1941-01-13;--:--;     26.901
1941-01-14;--:--;     26.901
1941-01-15;--:--;     26.901
1941-01-16;--:--;     26.901
1941-01-17;--:--;     26.901
1941-01-18;--:--;     26.901
1941-01-19;--:--;     26.901
1941-01-20;--:--;     26.901
1941-01-21;--:--;     26.901
1941-01-22;--:--;     26.901
1941-01-23;--:--;     26.901
1941-01-24;--:--;     26.901
1941-01-25;--:--;     26.901
1941-01-26;--:--;     26.901
1941-01-27;--:--;     26.901
1941-01-28;--:--;     26.901
1941-01-29;--:--;     26.901
1941-01-30;--:--;     26.901
1941-01-31;--:--;     26.901
1941-02-01;--:--;     25.485
1941-02-02;--:--;     25.485
1941-02-03;--:--;     25.485
1941-02-04;--:--;     25.485
1941-02-05;--:--;     25.485
1941-02-06;--:--;     25.485
1941-02-07;--:--;     25.485
1941-02-08;--:--;     25.485
1941-02-09;--:--;     25.485
1941-02-10;--:--;     25.485
1941-02-11;--:--;     25.485
1941-02-12;--:--;     25.485
1941-02-13;--:--;     25.485
1941-02-14;--:--;     25.485
1941-02-15;--:--;     25.485
1941-02-16;--:--;     25.485
1941-02-17;--:--;     25.485
1941-02-18;--:--;     25.485
1941-02-19;--:--;     25.485
1941-02-20;--:--;     25.485
1941-02-21;--:--;     25.485
1941-02-22;--:--;     25.485
1941-02-23;--:--;     25.485
1941-02-24;--:--;     25.485
1941-02-25;--:--;     25.485
1941-02-26;--:--;     25.485
1941-02-27;--:--;     25.485
1941-02-28;--:--;     25.485
1941-03-01;--:--;     33.980
1941-03-02;--:--;     33.980
1941-03-03;--:--;     33.980
1941-03-04;--:--;     33.980
1941-03-05;--:--;     33.980
1941-03-06;--:--;     33.980
1941-03-07;--:--;     33.980
1941-03-08;--:--;     33.980
1941-03-09;--:--;     33.980
1941-03-10;--:--;     33.980
1941-03-11;--:--;     33.980
1941-03-12;--:--;     33.980
1941-03-13;--:--;     33.980
1941-03-14;--:--;     33.980
1941-03-15;--:--;     33.980
1941-03-16;--:--;     33.980
1941-03-17;--:--;     33.980
1941-03-18;--:--;     33.980
1941-03-19;--:--;     33.980
1941-03-20;--:--;     33.980
1941-03-21;--:--;     33.980
1941-03-22;--:--;     33.980
1941-03-23;--:--;     33.980
1941-03-24;--:--;     33.980
1941-03-25;--:--;     33.980
1941-03-26;--:--;     33.980
1941-03-27;--:--;     33.980
1941-03-28;--:--;     33.980
1941-03-29;--:--;     33.980
1941-03-30;--:--;     33.980
1941-03-31;--:--;     33.980
1941-04-01;--:--;     39.644
1941-04-02;--:--;     39.644
1941-04-03;--:--;     39.644
1941-04-04;--:--;     39.644
1941-04-05;--:--;     39.644
1941-04-06;--:--;     39.644
1941-04-07;--:--;     39.644
1941-04-08;--:--;     39.644
1941-04-09;--:--;     39.644
1941-04-10;--:--;     39.644
1941-04-11;--:--;     39.644
1941-04-12;--:--;     39.644
1941-04-13;--:--;     39.644
1941-04-14;--:--;     39.644
1941-04-15;--:--;     39.644
1941-04-16;--:--;     39.644
1941-04-17;--:--;     39.644
1941-04-18;--:--;     39.644
1941-04-19;--:--;     39.644
1941-04-20;--:--;     39.644
1941-04-21;--:--;     39.644
1941-04-22;--:--;     39.644
1941-04-23;--:--;     39.644
1941-04-24;--:--;     39.644
1941-04-25;--:--;     39.644
1941-04-26;--:--;     39.644
1941-04-27;--:--;     39.644
1941-04-28;--:--;     39.644
1941-04-29;--:--;     39.644
1941-04-30;--:--;     39.644
1941-05-01;--:--;     56.634
1941-05-02;--:--;     56.634
1941-05-03;--:--;     56.634
1941-05-04;--:--;     56.634
1941-05-05;--:--;     56.634
1941-05-06;--:--;     56.634
1941-05-07;--:--;     56.634
1941-05-08;--:--;     56.634
1941-05-09;--:--;     56.634
1941-05-10;--:--;     56.634
1941-05-11;--:--;     56.634
1941-05-12;--:--;     56.634
1941-05-13;--:--;     56.634
1941-05-14;--:--;     56.634
1941-05-15;--:--;     56.634
1941-05-16;--:--;     56.634
1941-05-17;--:--;     56.634
1941-05-18;--:--;     56.634
1941-05-19;--:--;     56.634
1941-05-20;--:--;     56.634
1941-05-21;--:--;     56.634
1941-05-22;--:--;     56.634
1941-05-23;--:--;     56.634
1941-05-24;--:--;     56.634
1941-05-25;--:--;     56.634
1941-05-26;--:--;     56.634
1941-05-27;--:--;     56.634
1941-05-28;--:--;     56.634
1941-05-29;--:--;     56.634
1941-05-30;--:--;     56.634
1941-05-31;--:--;     56.634
1941-06-01;--:--;     96.277
1941-06-02;--:--;     96.277
1941-06-03;--:--;     96.277
1941-06-04;--:--;     96.277
1941-06-05;--:--;     96.277
1941-06-06;--:--;     96.277
1941-06-07;--:--;     96.277
1941-06-08;--:--;     96.277
1941-06-09;--:--;     96.277
1941-06-10;--:--;     96.277
1941-06-11;--:--;     96.277
1941-06-12;--:--;     96.277
1941-06-13;--:--;     96.277
1941-06-14;--:--;     96.277
1941-06-15;--:--;     96.277
1941-06-16;--:--;     96.277
1941-06-17;--:--;     96.277
1941-06-18;--:--;     96.277
1941-06-19;--:--;     96.277
1941-06-20;--:--;     96.277
1941-06-21;--:--;     96.277
1941-06-22;--:--;     96.277
1941-06-23;--:--;     96.277
1941-06-24;--:--;     96.277
1941-06-25;--:--;     96.277
1941-06-26;--:--;     96.277
1941-06-27;--:--;     96.277
1941-06-28;--:--;     96.277
1941-06-29;--:--;     96.277
1941-06-30;--:--;     96.277
1941-07-01;--:--;     34.830
1941-07-02;--:--;     34.830
1941-07-03;--:--;     34.830
1941-07-04;--:--;     34.830
1941-07-05;--:--;     34.830
1941-07-06;--:--;     32.847
1941-07-07;--:--;     32.847
1941-07-08;--:--;     32.847
1941-07-09;--:--;     32.847
1941-07-10;--:--;     32.847
1941-07-11;--:--;     27.467
1941-07-12;--:--;     27.467
1941-07-13;--:--;     27.467
1941-07-14;--:--;     27.467
1941-07-15;--:--;     27.467
1941-07-16;--:--;     27.467
1941-07-17;--:--;     24.352
1941-07-18;--:--;     22.030
1941-07-19;--:--;     19.737
1941-07-20;--:--;     17.415
1941-07-21;--:--;     21.096
1941-07-22;--:--;     21.096
1941-07-23;--:--;     17.415
1941-07-24;--:--;     16.707
1941-07-25;--:--;     15.291
1941-07-26;--:--;     15.999
1941-07-27;--:--;     18.123
1941-07-28;--:--;     19.539
1941-07-29;--:--;     21.096
1941-07-30;--:--;     24.352
1941-07-31;--:--;     24.352
1941-08-01;--:--;     26.051
1941-08-02;--:--;     26.051
1941-08-03;--:--;     26.051
1941-08-04;--:--;     22.653
1941-08-05;--:--;     22.653
1941-08-06;--:--;     19.539
1941-08-07;--:--;     17.415
1941-08-08;--:--;     15.291
1941-08-09;--:--;     15.291
1941-08-10;--:--;     16.707
1941-08-11;--:--;     16.707
1941-08-12;--:--;     16.707
1941-08-13;--:--;     18.123
1941-08-14;--:--;     24.352
1941-08-15;--:--;     24.352
1941-08-16;--:--;     24.352
1941-08-17;--:--;     22.653
1941-08-18;--:--;     22.653
1941-08-19;--:--;     22.653
1941-08-20;--:--;     21.096
1941-08-21;--:--;     21.096
1941-08-22;--:--;     21.096
1941-08-23;--:--;     21.096
1941-08-24;--:--;     21.096
1941-08-25;--:--;     22.653
1941-08-26;--:--;     26.051
1941-08-27;--:--;     27.892
1941-08-28;--:--;     34.263
1941-08-29;--:--;     34.263
1941-08-30;--:--;     34.263
1941-08-31;--:--;     31.998
1941-09-01;--:--;     34.263
1941-09-02;--:--;     34.263
1941-09-03;--:--;     34.263
1941-09-04;--:--;     34.263
1941-09-05;--:--;     31.998
1941-09-06;--:--;     31.998
1941-09-07;--:--;     34.263
1941-09-08;--:--;     36.529
1941-09-09;--:--;     38.794
1941-09-10;--:--;     38.794
1941-09-11;--:--;     38.794
1941-09-12;--:--;     41.343
1941-09-13;--:--;     41.343
1941-09-14;--:--;     41.343
1941-09-15;--:--;     41.343
1941-09-16;--:--;     41.343
1941-09-17;--:--;     25.485
1941-09-18;--:--;     25.485
1941-09-19;--:--;     25.485
1941-09-20;--:--;     25.485
1941-09-21;--:--;     25.485
1941-09-22;--:--;     25.485
1941-09-23;--:--;     25.485
1941-09-24;--:--;     25.485
1941-09-25;--:--;     52.103
1941-09-26;--:--;     52.103
1941-09-27;--:--;     52.103
1941-09-28;--:--;     52.103
1941-09-29;--:--;     49.271
1941-09-30;--:--;     49.271
1941-10-01;--:--;     50.121
1941-10-02;--:--;     50.121
1941-10-03;--:--;     52.952
1941-10-04;--:--;     52.952
1941-10-05;--:--;     58.899
1941-10-06;--:--;     62.014
1941-10-07;--:--;     62.014
1941-10-08;--:--;     58.899
1941-10-09;--:--;     58.899
1941-10-10;--:--;     58.899
1941-10-11;--:--;     58.899
1941-10-12;--:--;     55.784
1941-10-13;--:--;     55.784
1941-10-14;--:--;     55.784
1941-10-15;--:--;     52.952
1941-10-16;--:--;     52.952
1941-10-17;--:--;     52.952
1941-10-18;--:--;     52.952
1941-10-19;--:--;     52.952
1941-10-20;--:--;     52.952
1941-10-21;--:--;     52.952
1941-10-22;--:--;     52.952
1941-10-23;--:--;     52.952
1941-10-24;--:--;     52.952
1941-10-25;--:--;     52.952
1941-10-26;--:--;     50.121
1941-10-27;--:--;     50.121
1941-10-28;--:--;     50.121
1941-10-29;--:--;     50.121
1941-10-30;--:--;     50.121
1941-10-31;--:--;     50.121
1941-11-01;--:--;     50.121
1941-11-02;--:--;     50.121
1941-11-03;--:--;     52.952
1941-11-04;--:--;     52.952
1941-11-05;--:--;     52.952
1941-11-06;--:--;     52.952
1941-11-07;--:--;     52.952
1941-11-08;--:--;     52.952
1941-11-09;--:--;     52.952
1941-11-10;--:--;     50.121
1941-11-11;--:--;     50.121
1941-11-12;--:--;     50.121
1941-11-13;--:--;     50.121
1941-11-14;--:--;     50.121
1941-11-15;--:--;     57.766
1941-11-16;--:--;     65.412
1941-11-17;--:--;     75.606
1941-11-18;--:--;     72.208
1941-11-19;--:--;     68.810
1941-11-20;--:--;     58.899
1941-11-21;--:--;     47.289
1941-11-22;--:--;     41.626
1941-11-23;--:--;     41.626
1941-11-24;--:--;     41.626
1941-11-25;--:--;     44.457
1941-11-26;--:--;     52.952
1941-11-27;--:--;     52.952
1941-11-28;--:--;     52.952
1941-11-29;--:--;     52.952
1941-11-30;--:--;     52.952
1941-12-01;--:--;     55.784
1941-12-02;--:--;     55.784
1941-12-03;--:--;     58.899
1941-12-04;--:--;     62.014
1941-12-05;--:--;     58.899
1941-12-06;--:--;     55.784
1941-12-07;--:--;     52.952
1941-12-08;--:--;     52.952
1941-12-09;--:--;     47.289
1941-12-10;--:--;     44.457
1941-12-11;--:--;     44.457
1941-12-12;--:--;     44.457
1941-12-13;--:--;     39.077
1941-12-14;--:--;     39.077
1941-12-15;--:--;     41.626
1941-12-16;--:--;     44.457
1941-12-17;--:--;     47.289
1941-12-18;--:--;     47.289
1941-12-19;--:--;     47.289
1941-12-20;--:--;     50.121
1941-12-21;--:--;     50.121
1941-12-22;--:--;     47.289
1941-12-23;--:--;     47.289
1941-12-24;--:--;     47.289
1941-12-25;--:--;     44.457
1941-12-26;--:--;     31.998
1941-12-27;--:--;     27.892
1941-12-28;--:--;     24.352
1941-12-29;--:--;     31.998
1941-12-30;--:--;     30.016
1941-12-31;--:--;     30.016
1942-01-01;--:--;     30.016
1942-01-02;--:--;     30.016
1942-01-03;--:--;     29.733
1942-01-04;--:--;     29.733
1942-01-05;--:--;     29.733
1942-01-06;--:--;     29.733
1942-01-07;--:--;     29.733
1942-01-08;--:--;     29.733
1942-01-09;--:--;     30.016
1942-01-10;--:--;     30.582
1942-01-11;--:--;     31.715
1942-01-12;--:--;     31.148
1942-01-13;--:--;     30.016
1942-01-14;--:--;     29.166
1942-01-15;--:--;     29.733
1942-01-16;--:--;     31.148
1942-01-17;--:--;     31.148
1942-01-18;--:--;     31.148
1942-01-19;--:--;     31.148
1942-01-20;--:--;     31.148
1942-01-21;--:--;     33.980
1942-01-22;--:--;     33.980
1942-01-23;--:--;     33.980
1942-01-24;--:--;     33.980
1942-01-25;--:--;     33.980
1942-01-26;--:--;     35.396
1942-01-27;--:--;     35.396
1942-01-28;--:--;     35.396
1942-01-29;--:--;     35.396
1942-01-30;--:--;     35.396
1942-01-31;--:--;     35.396
1942-02-01;--:--;     35.679
1942-02-02;--:--;     35.962
1942-02-03;--:--;     36.246
1942-02-04;--:--;     36.812
1942-02-05;--:--;     38.228
1942-02-06;--:--;     39.360
1942-02-07;--:--;     39.644
1942-02-08;--:--;     39.644
1942-02-09;--:--;     39.360
1942-02-10;--:--;     38.511
1942-02-11;--:--;     37.661
1942-02-12;--:--;     36.529
1942-02-13;--:--;     34.263
1942-02-14;--:--;     34.263
1942-02-15;--:--;     34.263
1942-02-16;--:--;     34.263
1942-02-17;--:--;     32.847
1942-02-18;--:--;     31.148
1942-02-19;--:--;     32.281
1942-02-20;--:--;     35.113
1942-02-21;--:--;     36.812
1942-02-22;--:--;     36.812
1942-02-23;--:--;     36.812
1942-02-24;--:--;     36.812
1942-02-25;--:--;     36.812
1942-02-26;--:--;     38.511
1942-02-27;--:--;     39.360
1942-02-28;--:--;     39.927
1942-03-01;--:--;     41.343
1942-03-02;--:--;     42.475
1942-03-03;--:--;     44.457
1942-03-04;--:--;     41.626
1942-03-05;--:--;     39.077
1942-03-06;--:--;     36.529
1942-03-07;--:--;     36.529
1942-03-08;--:--;     39.077
1942-03-09;--:--;     39.077
1942-03-10;--:--;     44.457
1942-03-11;--:--;     50.121
1942-03-12;--:--;     52.952
1942-03-13;--:--;     52.952
1942-03-14;--:--;     50.121
1942-03-15;--:--;     47.289
1942-03-16;--:--;     44.457
1942-03-17;--:--;     44.457
1942-03-18;--:--;     41.626
1942-03-19;--:--;     41.626
1942-03-20;--:--;     44.457
1942-03-21;--:--;     44.457
1942-03-22;--:--;     45.873
1942-03-23;--:--;     47.289
1942-03-24;--:--;     47.289
1942-03-25;--:--;     47.289
1942-03-26;--:--;     50.121
1942-03-27;--:--;     47.289
1942-03-28;--:--;     50.121
1942-03-29;--:--;     50.121
1942-03-30;--:--;     47.289
1942-03-31;--:--;     47.289
1942-04-01;--:--;     52.952
1942-04-02;--:--;     58.899
1942-04-03;--:--;     62.014
1942-04-04;--:--;     68.810
1942-04-05;--:--;     82.968
1942-04-06;--:--;     82.968
1942-04-07;--:--;     82.968
1942-04-08;--:--;     95.428
1942-04-09;--:--;    104.206
1942-04-10;--:--;    123.744
1942-04-11;--:--;    208.412
1942-04-12;--:--;    237.012
1942-04-13;--:--;    252.303
1942-04-14;--:--;    229.649
1942-04-15;--:--;    208.412
1942-04-16;--:--;    181.794
1942-04-17;--:--;    151.212
1942-04-18;--:--;    134.222
1942-04-19;--:--;    123.744
1942-04-20;--:--;    118.647
1942-04-21;--:--;    118.647
1942-04-22;--:--;    134.222
1942-04-23;--:--;    139.602
1942-04-24;--:--;    139.602
1942-04-25;--:--;    128.841
1942-04-26;--:--;    118.647
1942-04-27;--:--;    113.834
1942-04-28;--:--;    104.206
1942-04-29;--:--;     99.675
1942-04-30;--:--;     99.675
1942-05-01;--:--;     99.675
1942-05-02;--:--;    104.206
1942-05-03;--:--;     99.675
1942-05-04;--:--;     95.428
1942-05-05;--:--;     95.428
1942-05-06;--:--;     91.180
1942-05-07;--:--;     86.933
1942-05-08;--:--;     86.933
1942-05-09;--:--;     82.968
1942-05-10;--:--;     91.180
1942-05-11;--:--;     95.428
1942-05-12;--:--;    113.834
1942-05-13;--:--;    123.744
1942-05-14;--:--;    123.744
1942-05-15;--:--;    123.744
1942-05-16;--:--;    123.744
1942-05-17;--:--;    118.647
1942-05-18;--:--;    113.834
1942-05-19;--:--;    104.206
1942-05-20;--:--;     95.428
1942-05-21;--:--;     95.428
1942-05-22;--:--;     99.675
1942-05-23;--:--;    123.744
1942-05-24;--:--;    145.265
1942-05-25;--:--;    181.794
1942-05-26;--:--;    208.412
1942-05-27;--:--;    305.821
1942-05-28;--:--;    356.792
1942-05-29;--:--;    339.802
1942-05-30;--:--;    305.821
1942-05-31;--:--;    283.168
1942-06-01;--:--;    267.594
1942-06-02;--:--;    237.012
1942-06-03;--:--;    222.570
1942-06-04;--:--;    229.649
1942-06-05;--:--;    252.303
1942-06-06;--:--;    267.594
1942-06-07;--:--;    283.168
1942-06-08;--:--;    300.158
1942-06-09;--:--;    331.307
1942-06-10;--:--;    348.297
1942-06-11;--:--;    356.792
1942-06-12;--:--;    339.802
1942-06-13;--:--;    300.158
1942-06-14;--:--;    267.594
1942-06-15;--:--;    252.303
1942-06-16;--:--;    222.570
1942-06-17;--:--;    222.570
1942-06-18;--:--;    208.412
1942-06-19;--:--;    194.820
1942-06-20;--:--;    175.281
1942-06-21;--:--;    157.158
1942-06-22;--:--;    151.212
1942-06-23;--:--;    128.841
1942-06-24;--:--;    123.744
1942-06-25;--:--;    113.834
1942-06-26;--:--;    118.647
1942-06-27;--:--;    129.125
1942-06-28;--:--;    139.602
1942-06-29;--:--;    134.222
1942-06-30;--:--;    123.744
1942-07-01;--:--;    118.647
1942-07-02;--:--;    109.020
1942-07-03;--:--;    104.206
1942-07-04;--:--;     99.675
1942-07-05;--:--;     95.428
1942-07-06;--:--;     91.180
1942-07-07;--:--;     91.180
1942-07-08;--:--;     86.933
1942-07-09;--:--;     82.968
1942-07-10;--:--;     79.287
1942-07-11;--:--;     79.287
1942-07-12;--:--;     72.208
1942-07-13;--:--;     65.412
1942-07-14;--:--;     62.014
1942-07-15;--:--;     58.899
1942-07-16;--:--;     58.899
1942-07-17;--:--;     52.952
1942-07-18;--:--;     52.952
1942-07-19;--:--;     50.121
1942-07-20;--:--;     50.121
1942-07-21;--:--;     44.457
1942-07-22;--:--;     44.457
1942-07-23;--:--;     41.626
1942-07-24;--:--;     36.529
1942-07-25;--:--;     36.529
1942-07-26;--:--;     31.998
1942-07-27;--:--;     31.998
1942-07-28;--:--;     31.998
1942-07-29;--:--;     30.016
1942-07-30;--:--;     31.998
1942-07-31;--:--;     31.998
1942-08-01;--:--;     30.016
1942-08-02;--:--;     27.892
1942-08-03;--:--;     27.892
1942-08-04;--:--;     26.051
1942-08-05;--:--;     24.352
1942-08-06;--:--;     24.352
1942-08-07;--:--;     22.653
1942-08-08;--:--;     22.653
1942-08-09;--:--;     21.096
1942-08-10;--:--;     21.096
1942-08-11;--:--;     18.123
1942-08-12;--:--;     18.123
1942-08-13;--:--;     17.415
1942-08-14;--:--;     16.707
