# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4121800
# River:                 MISSOURI RIVER
# Station:               YANKTON, S.D.
# Country:               US
# Latitude (DD):       42.8661
# Longitude (DD):      -97.3939
# Catchment area (km²):      723905.0
# Altitude (m ASL):        347.37
# Next downstream station:      4121801
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930-10 - 1995-09
# No. of years:          66
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23741
# DATA
YYYY-MM-DD;hh:mm; Value
1930-10-01;--:--;    455.900
1930-10-02;--:--;    455.900
1930-10-03;--:--;    455.900
1930-10-04;--:--;    455.900
1930-10-05;--:--;    455.900
1930-10-06;--:--;    455.900
1930-10-07;--:--;    455.900
1930-10-08;--:--;    455.900
1930-10-09;--:--;    455.900
1930-10-10;--:--;    455.900
1930-10-11;--:--;    455.900
1930-10-12;--:--;    455.900
1930-10-13;--:--;    455.900
1930-10-14;--:--;    455.900
1930-10-15;--:--;    455.900
1930-10-16;--:--;    455.900
1930-10-17;--:--;    455.900
1930-10-18;--:--;    455.900
1930-10-19;--:--;    455.900
1930-10-20;--:--;    455.900
1930-10-21;--:--;    455.900
1930-10-22;--:--;    455.900
1930-10-23;--:--;    455.900
1930-10-24;--:--;    455.900
1930-10-25;--:--;    455.900
1930-10-26;--:--;    455.900
1930-10-27;--:--;    455.900
1930-10-28;--:--;    455.900
1930-10-29;--:--;    455.900
1930-10-30;--:--;    455.900
1930-10-31;--:--;    455.900
1930-11-01;--:--;    441.742
1930-11-02;--:--;    424.752
1930-11-03;--:--;    424.752
1930-11-04;--:--;    407.762
1930-11-05;--:--;    407.762
1930-11-06;--:--;    407.762
1930-11-07;--:--;    416.257
1930-11-08;--:--;    407.762
1930-11-09;--:--;    416.257
1930-11-10;--:--;    416.257
1930-11-11;--:--;    438.910
1930-11-12;--:--;    464.396
1930-11-13;--:--;    464.396
1930-11-14;--:--;    470.059
1930-11-15;--:--;    453.069
1930-11-16;--:--;    444.574
1930-11-17;--:--;    436.079
1930-11-18;--:--;    430.415
1930-11-19;--:--;    436.079
1930-11-20;--:--;    475.722
1930-11-21;--:--;    521.029
1930-11-22;--:--;    470.059
1930-11-23;--:--;    433.247
1930-11-24;--:--;    424.752
1930-11-25;--:--;    382.277
1930-11-26;--:--;    339.802
1930-11-27;--:--;    209.544
1930-11-28;--:--;    209.544
1930-11-29;--:--;    169.901
1930-11-30;--:--;    167.069
1930-12-01;--:--;    223.703
1930-12-02;--:--;    223.703
1930-12-03;--:--;    223.703
1930-12-04;--:--;    223.703
1930-12-05;--:--;    223.703
1930-12-06;--:--;    223.703
1930-12-07;--:--;    223.703
1930-12-08;--:--;    223.703
1930-12-09;--:--;    223.703
1930-12-10;--:--;    223.703
1930-12-11;--:--;    223.703
1930-12-12;--:--;    223.703
1930-12-13;--:--;    223.703
1930-12-14;--:--;    223.703
1930-12-15;--:--;    223.703
1930-12-16;--:--;    223.703
1930-12-17;--:--;    223.703
1930-12-18;--:--;    223.703
1930-12-19;--:--;    223.703
1930-12-20;--:--;    223.703
1930-12-21;--:--;    223.703
1930-12-22;--:--;    223.703
1930-12-23;--:--;    223.703
1930-12-24;--:--;    223.703
1930-12-25;--:--;    223.703
1930-12-26;--:--;    223.703
1930-12-27;--:--;    223.703
1930-12-28;--:--;    223.703
1930-12-29;--:--;    223.703
1930-12-30;--:--;    223.703
1930-12-31;--:--;    223.703
1931-01-01;--:--;    240.693
1931-01-02;--:--;    240.693
1931-01-03;--:--;    240.693
1931-01-04;--:--;    240.693
1931-01-05;--:--;    240.693
