# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122110
# River:                 DISMAL RIVER
# Station:               DUNNING, NE
# Country:               US
# Latitude (DD):       41.8231
# Longitude (DD):      -100.1018
# Catchment area (km²):      5283.6
# Altitude (m ASL):        794.4
# Next downstream station:      4122637
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1932-03 - 1995-09
# No. of years:          64
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23209
# DATA
YYYY-MM-DD;hh:mm; Value
1932-03-16;--:--;     11.525
1932-03-17;--:--;      9.345
1932-03-18;--:--;      9.968
1932-03-19;--:--;      9.798
1932-03-20;--:--;      9.798
1932-03-21;--:--;     10.421
1932-03-22;--:--;      9.883
1932-03-23;--:--;     10.336
1932-03-24;--:--;     10.109
1932-03-25;--:--;     10.194
1932-03-26;--:--;     10.109
1932-03-27;--:--;     10.251
1932-03-28;--:--;      9.968
1932-03-29;--:--;     10.421
1932-03-30;--:--;     10.336
1932-03-31;--:--;     10.336
1932-04-01;--:--;      9.968
1932-04-02;--:--;      9.968
1932-04-03;--:--;      9.713
1932-04-04;--:--;     10.109
1932-04-05;--:--;      9.968
1932-04-06;--:--;      9.656
1932-04-07;--:--;      9.146
1932-04-08;--:--;      9.571
1932-04-09;--:--;      9.514
1932-04-10;--:--;     10.194
1932-04-11;--:--;      9.713
1932-04-12;--:--;      9.798
1932-04-13;--:--;      9.798
1932-04-14;--:--;     10.024
1932-04-15;--:--;      9.656
1932-04-16;--:--;      9.514
1932-04-17;--:--;      9.656
1932-04-18;--:--;     10.421
1932-04-19;--:--;     11.270
1932-04-20;--:--;     11.015
1932-04-21;--:--;      9.968
1932-04-22;--:--;     10.024
1932-04-23;--:--;     10.506
1932-04-24;--:--;     11.525
1932-04-25;--:--;     10.590
1932-04-26;--:--;      9.798
1932-04-27;--:--;      9.571
1932-04-28;--:--;     11.185
1932-04-29;--:--;     10.930
1932-04-30;--:--;     10.590
1932-05-01;--:--;      9.968
1932-05-02;--:--;      9.798
1932-05-03;--:--;      9.968
1932-05-04;--:--;     10.760
1932-05-05;--:--;     10.590
1932-05-06;--:--;     10.845
1932-05-07;--:--;      9.514
1932-05-08;--:--;      9.061
1932-05-09;--:--;      9.146
1932-05-10;--:--;      9.345
1932-05-11;--:--;      9.146
1932-05-12;--:--;      9.231
1932-05-13;--:--;      9.429
1932-05-14;--:--;     10.109
1932-05-15;--:--;      9.968
1932-05-16;--:--;      9.713
1932-05-17;--:--;      9.429
1932-05-18;--:--;      9.345
1932-05-19;--:--;      9.061
1932-05-20;--:--;      8.948
1932-05-21;--:--;      9.231
1932-05-22;--:--;      8.863
1932-05-23;--:--;      8.722
1932-05-24;--:--;      8.552
1932-05-25;--:--;      9.514
1932-05-26;--:--;      9.231
1932-05-27;--:--;      8.410
1932-05-28;--:--;      8.155
1932-05-29;--:--;      8.608
1932-05-30;--:--;      8.608
1932-05-31;--:--;      9.713
1932-06-01;--:--;      8.807
1932-06-02;--:--;      8.863
1932-06-03;--:--;      8.863
1932-06-04;--:--;      9.231
1932-06-05;--:--;      9.514
1932-06-06;--:--;      9.288
1932-06-07;--:--;      9.429
1932-06-08;--:--;      9.656
1932-06-09;--:--;      9.514
1932-06-10;--:--;      9.429
1932-06-11;--:--;     16.112
1932-06-12;--:--;      9.514
1932-06-13;--:--;      9.005
1932-06-14;--:--;      8.863
1932-06-15;--:--;      8.863
1932-06-16;--:--;     10.760
1932-06-17;--:--;     11.185
1932-06-18;--:--;      9.146
1932-06-19;--:--;     10.024
1932-06-20;--:--;      9.061
1932-06-21;--:--;      8.608
1932-06-22;--:--;      8.948
1932-06-23;--:--;      9.061
1932-06-24;--:--;      9.571
1932-06-25;--:--;      9.288
1932-06-26;--:--;      9.656
1932-06-27;--:--;      9.288
1932-06-28;--:--;      9.005
1932-06-29;--:--;      8.863
1932-06-30;--:--;   -999.000
1932-07-01;--:--;   -999.000
1932-07-02;--:--;   -999.000
1932-07-03;--:--;   -999.000
1932-07-04;--:--;   -999.000
1932-07-05;--:--;   -999.000
1932-07-06;--:--;   -999.000
1932-07-07;--:--;   -999.000
1932-07-08;--:--;   -999.000
1932-07-09;--:--;   -999.000
1932-07-10;--:--;   -999.000
1932-07-11;--:--;   -999.000
1932-07-12;--:--;   -999.000
1932-07-13;--:--;   -999.000
1932-07-14;--:--;   -999.000
1932-07-15;--:--;   -999.000
1932-07-16;--:--;   -999.000
1932-07-17;--:--;   -999.000
1932-07-18;--:--;   -999.000
1932-07-19;--:--;   -999.000
1932-07-20;--:--;   -999.000
1932-07-21;--:--;   -999.000
1932-07-22;--:--;   -999.000
1932-07-23;--:--;   -999.000
1932-07-24;--:--;   -999.000
1932-07-25;--:--;   -999.000
1932-07-26;--:--;   -999.000
1932-07-27;--:--;   -999.000
1932-07-28;--:--;   -999.000
1932-07-29;--:--;   -999.000
1932-07-30;--:--;   -999.000
1932-07-31;--:--;   -999.000
1932-08-01;--:--;   -999.000
1932-08-02;--:--;   -999.000
1932-08-03;--:--;   -999.000
1932-08-04;--:--;   -999.000
1932-08-05;--:--;   -999.000
1932-08-06;--:--;   -999.000
1932-08-07;--:--;   -999.000
1932-08-08;--:--;   -999.000
1932-08-09;--:--;   -999.000
1932-08-10;--:--;   -999.000
1932-08-11;--:--;   -999.000
1932-08-12;--:--;   -999.000
1932-08-13;--:--;   -999.000
1932-08-14;--:--;   -999.000
1932-08-15;--:--;   -999.000
1932-08-16;--:--;   -999.000
1932-08-17;--:--;   -999.000
1932-08-18;--:--;   -999.000
1932-08-19;--:--;   -999.000
1932-08-20;--:--;   -999.000
1932-08-21;--:--;   -999.000
1932-08-22;--:--;   -999.000
1932-08-23;--:--;   -999.000
1932-08-24;--:--;   -999.000
1932-08-25;--:--;   -999.000
1932-08-26;--:--;   -999.000
1932-08-27;--:--;   -999.000
1932-08-28;--:--;   -999.000
1932-08-29;--:--;   -999.000
1932-08-30;--:--;   -999.000
1932-08-31;--:--;   -999.000
1932-09-01;--:--;   -999.000
1932-09-02;--:--;   -999.000
1932-09-03;--:--;   -999.000
1932-09-04;--:--;   -999.000
1932-09-05;--:--;   -999.000
1932-09-06;--:--;   -999.000
1932-09-07;--:--;   -999.000
1932-09-08;--:--;   -999.000
1932-09-09;--:--;   -999.000
1932-09-10;--:--;   -999.000
1932-09-11;--:--;   -999.000
1932-09-12;--:--;   -999.000
1932-09-13;--:--;   -999.000
1932-09-14;--:--;   -999.000
1932-09-15;--:--;   -999.000
1932-09-16;--:--;   -999.000
1932-09-17;--:--;   -999.000
1932-09-18;--:--;   -999.000
1932-09-19;--:--;   -999.000
1932-09-20;--:--;   -999.000
1932-09-21;--:--;   -999.000
1932-09-22;--:--;   -999.000
1932-09-23;--:--;   -999.000
1932-09-24;--:--;   -999.000
1932-09-25;--:--;   -999.000
1932-09-26;--:--;   -999.000
1932-09-27;--:--;   -999.000
1932-09-28;--:--;   -999.000
1932-09-29;--:--;   -999.000
1932-09-30;--:--;   -999.000
1932-10-01;--:--;   -999.000
1932-10-02;--:--;   -999.000
1932-10-03;--:--;   -999.000
1932-10-04;--:--;   -999.000
1932-10-05;--:--;   -999.000
1932-10-06;--:--;   -999.000
1932-10-07;--:--;   -999.000
1932-10-08;--:--;   -999.000
1932-10-09;--:--;   -999.000
1932-10-10;--:--;   -999.000
1932-10-11;--:--;   -999.000
1932-10-12;--:--;   -999.000
1932-10-13;--:--;   -999.000
1932-10-14;--:--;   -999.000
1932-10-15;--:--;   -999.000
1932-10-16;--:--;   -999.000
1932-10-17;--:--;   -999.000
1932-10-18;--:--;   -999.000
1932-10-19;--:--;   -999.000
1932-10-20;--:--;   -999.000
1932-10-21;--:--;   -999.000
1932-10-22;--:--;   -999.000
1932-10-23;--:--;   -999.000
1932-10-24;--:--;   -999.000
1932-10-25;--:--;   -999.000
1932-10-26;--:--;   -999.000
1932-10-27;--:--;   -999.000
1932-10-28;--:--;   -999.000
1932-10-29;--:--;   -999.000
1932-10-30;--:--;   -999.000
1932-10-31;--:--;   -999.000
1932-11-01;--:--;   -999.000
1932-11-02;--:--;   -999.000
1932-11-03;--:--;   -999.000
1932-11-04;--:--;   -999.000
1932-11-05;--:--;   -999.000
1932-11-06;--:--;   -999.000
1932-11-07;--:--;   -999.000
1932-11-08;--:--;   -999.000
1932-11-09;--:--;   -999.000
1932-11-10;--:--;   -999.000
1932-11-11;--:--;   -999.000
1932-11-12;--:--;   -999.000
1932-11-13;--:--;   -999.000
1932-11-14;--:--;   -999.000
1932-11-15;--:--;   -999.000
1932-11-16;--:--;   -999.000
1932-11-17;--:--;   -999.000
1932-11-18;--:--;   -999.000
1932-11-19;--:--;   -999.000
1932-11-20;--:--;   -999.000
1932-11-21;--:--;   -999.000
1932-11-22;--:--;   -999.000
1932-11-23;--:--;   -999.000
1932-11-24;--:--;   -999.000
1932-11-25;--:--;   -999.000
1932-11-26;--:--;   -999.000
1932-11-27;--:--;   -999.000
1932-11-28;--:--;   -999.000
1932-11-29;--:--;   -999.000
1932-11-30;--:--;   -999.000
1932-12-01;--:--;   -999.000
1932-12-02;--:--;   -999.000
1932-12-03;--:--;   -999.000
1932-12-04;--:--;   -999.000
1932-12-05;--:--;   -999.000
1932-12-06;--:--;   -999.000
1932-12-07;--:--;   -999.000
1932-12-08;--:--;   -999.000
1932-12-09;--:--;   -999.000
1932-12-10;--:--;   -999.000
1932-12-11;--:--;   -999.000
1932-12-12;--:--;   -999.000
1932-12-13;--:--;   -999.000
1932-12-14;--:--;   -999.000
1932-12-15;--:--;   -999.000
1932-12-16;--:--;   -999.000
1932-12-17;--:--;   -999.000
1932-12-18;--:--;   -999.000
1932-12-19;--:--;   -999.000
1932-12-20;--:--;   -999.000
1932-12-21;--:--;   -999.000
1932-12-22;--:--;   -999.000
1932-12-23;--:--;   -999.000
1932-12-24;--:--;   -999.000
1932-12-25;--:--;   -999.000
1932-12-26;--:--;   -999.000
1932-12-27;--:--;   -999.000
1932-12-28;--:--;   -999.000
1932-12-29;--:--;   -999.000
1932-12-30;--:--;   -999.000
1932-12-31;--:--;   -999.000
1933-01-01;--:--;   -999.000
1933-01-02;--:--;   -999.000
1933-01-03;--:--;   -999.000
1933-01-04;--:--;   -999.000
1933-01-05;--:--;   -999.000
1933-01-06;--:--;   -999.000
1933-01-07;--:--;   -999.000
1933-01-08;--:--;   -999.000
1933-01-09;--:--;   -999.000
1933-01-10;--:--;   -999.000
1933-01-11;--:--;   -999.000
1933-01-12;--:--;   -999.000
1933-01-13;--:--;   -999.000
1933-01-14;--:--;   -999.000
1933-01-15;--:--;   -999.000
1933-01-16;--:--;   -999.000
1933-01-17;--:--;   -999.000
