# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122251
# River:                 GRAND RIVER
# Station:               NEAR SUMNER, MO
# Country:               US
# Latitude (DD):       39.6403
# Longitude (DD):      -93.2738
# Catchment area (km²):      17819.2
# Altitude (m ASL):        192.38
# Next downstream station:      4122901
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924-10 - 2018-12
# No. of years:          95
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 34405
# DATA
YYYY-MM-DD;hh:mm; Value
1924-10-01;--:--;     40.210
1924-10-02;--:--;     28.034
1924-10-03;--:--;     20.954
1924-10-04;--:--;     18.406
1924-10-05;--:--;     15.291
1924-10-06;--:--;     13.026
1924-10-07;--:--;     13.026
1924-10-08;--:--;     13.026
1924-10-09;--:--;     13.026
1924-10-10;--:--;     14.158
1924-10-11;--:--;     14.158
1924-10-12;--:--;     11.893
1924-10-13;--:--;     11.327
1924-10-14;--:--;     10.194
1924-10-15;--:--;      9.684
1924-10-16;--:--;      9.203
1924-10-17;--:--;      9.203
1924-10-18;--:--;      8.778
1924-10-19;--:--;      8.353
1924-10-20;--:--;      7.929
1924-10-21;--:--;      7.504
1924-10-22;--:--;      7.136
1924-10-23;--:--;      7.136
1924-10-24;--:--;      7.136
1924-10-25;--:--;      7.136
1924-10-26;--:--;      7.136
1924-10-27;--:--;      7.136
1924-10-28;--:--;      7.136
1924-10-29;--:--;      7.136
1924-10-30;--:--;      7.136
1924-10-31;--:--;      7.136
1924-11-01;--:--;      6.739
1924-11-02;--:--;      6.739
1924-11-03;--:--;      6.739
1924-11-04;--:--;      6.739
1924-11-05;--:--;      6.739
1924-11-06;--:--;      7.136
1924-11-07;--:--;      7.504
1924-11-08;--:--;      7.136
1924-11-09;--:--;     11.327
1924-11-10;--:--;     17.132
1924-11-11;--:--;     15.291
1924-11-12;--:--;      9.203
1924-11-13;--:--;      9.203
1924-11-14;--:--;      8.778
1924-11-15;--:--;      8.353
1924-11-16;--:--;      9.203
1924-11-17;--:--;     10.760
1924-11-18;--:--;      9.684
1924-11-19;--:--;      9.203
1924-11-20;--:--;      8.353
1924-11-21;--:--;      7.929
1924-11-22;--:--;      7.929
