# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122260
# River:                 BLACKWATER RIVER
# Station:               BLUE LICK, MO
# Country:               US
# Latitude (DD):       38.9922
# Longitude (DD):      -93.1969
# Catchment area (km²):      2900.8
# Altitude (m ASL):        180.99
# Next downstream station:      4122901
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1922-06 - 2019-07
# No. of years:          98
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35446
# DATA
YYYY-MM-DD;hh:mm; Value
1922-06-22;--:--;      0.283
1922-06-23;--:--;      0.227
1922-06-24;--:--;      0.227
1922-06-25;--:--;      0.170
1922-06-26;--:--;      0.283
1922-06-27;--:--;      0.283
1922-06-28;--:--;      0.283
1922-06-29;--:--;      0.396
1922-06-30;--:--;      0.368
1922-07-01;--:--;      1.189
1922-07-02;--:--;      3.738
1922-07-03;--:--;      1.869
1922-07-04;--:--;      1.189
1922-07-05;--:--;      1.076
1922-07-06;--:--;      0.850
1922-07-07;--:--;      0.765
1922-07-08;--:--;      0.708
1922-07-09;--:--;      1.218
1922-07-10;--:--;      1.189
1922-07-11;--:--;      1.472
1922-07-12;--:--;      8.070
1922-07-13;--:--;      8.920
1922-07-14;--:--;      5.267
1922-07-15;--:--;      2.917
1922-07-16;--:--;      1.501
1922-07-17;--:--;      1.076
1922-07-18;--:--;      6.456
1922-07-19;--:--;     16.820
1922-07-20;--:--;      4.248
1922-07-21;--:--;      2.435
1922-07-22;--:--;      1.869
1922-07-23;--:--;      5.777
1922-07-24;--:--;      5.267
1922-07-25;--:--;      3.568
1922-07-26;--:--;      2.492
1922-07-27;--:--;      8.070
1922-07-28;--:--;      3.738
1922-07-29;--:--;      1.642
1922-07-30;--:--;      1.614
1922-07-31;--:--;      2.633
1922-08-01;--:--;      4.078
1922-08-02;--:--;      1.586
1922-08-03;--:--;      1.416
1922-08-04;--:--;      1.529
1922-08-05;--:--;      0.934
1922-08-06;--:--;     16.820
1922-08-07;--:--;     29.166
1922-08-08;--:--;     27.043
1922-08-09;--:--;      5.097
1922-08-10;--:--;      2.124
1922-08-11;--:--;      2.775
1922-08-12;--:--;      1.727
1922-08-13;--:--;      1.104
1922-08-14;--:--;      0.623
