# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122635
# River:                 NORTH LOUP RIVER
# Station:               NEAR ST. PAUL, NEBR.
# Country:               US
# Latitude (DD):       41.2633
# Longitude (DD):      -98.4492
# Catchment area (km²):      11142.2
# Altitude (m ASL):        536.23
# Next downstream station:      4122630
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1928-09 - 2018-10
# No. of years:          91
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32930
# DATA
YYYY-MM-DD;hh:mm; Value
1928-09-01;--:--;     23.503
1928-09-02;--:--;     23.786
1928-09-03;--:--;     21.408
1928-09-04;--:--;     20.388
1928-09-05;--:--;     20.388
1928-09-06;--:--;     20.388
1928-09-07;--:--;     19.539
1928-09-08;--:--;     19.114
1928-09-09;--:--;     19.539
1928-09-10;--:--;     19.963
1928-09-11;--:--;     23.786
1928-09-12;--:--;     26.108
1928-09-13;--:--;     24.636
1928-09-14;--:--;     27.071
1928-09-15;--:--;     24.919
1928-09-16;--:--;     23.786
1928-09-17;--:--;     20.162
1928-09-18;--:--;     18.689
1928-09-19;--:--;     19.539
1928-09-20;--:--;     23.220
1928-09-21;--:--;     24.636
1928-09-22;--:--;     23.220
1928-09-23;--:--;     23.786
1928-09-24;--:--;     23.220
1928-09-25;--:--;     23.503
1928-09-26;--:--;     23.503
1928-09-27;--:--;     22.682
1928-09-28;--:--;     21.153
1928-09-29;--:--;     21.408
1928-09-30;--:--;     23.503
1928-10-01;--:--;     22.937
1928-10-02;--:--;     21.917
1928-10-03;--:--;     21.408
1928-10-04;--:--;     20.643
1928-10-05;--:--;     21.917
1928-10-06;--:--;     23.786
1928-10-07;--:--;     23.220
1928-10-08;--:--;     23.503
1928-10-09;--:--;     24.636
1928-10-10;--:--;     24.352
1928-10-11;--:--;     25.202
1928-10-12;--:--;     27.071
1928-10-13;--:--;     27.071
1928-10-14;--:--;     28.883
1928-10-15;--:--;     32.847
1928-10-16;--:--;     31.432
1928-10-17;--:--;     30.582
1928-10-18;--:--;     28.883
1928-10-19;--:--;     28.317
1928-10-20;--:--;     26.731
1928-10-21;--:--;     28.034
1928-10-22;--:--;     27.411
1928-10-23;--:--;     27.071
1928-10-24;--:--;     26.420
1928-10-25;--:--;     27.071
1928-10-26;--:--;     26.731
1928-10-27;--:--;     26.108
1928-10-28;--:--;     27.411
1928-10-29;--:--;     28.600
1928-10-30;--:--;     29.449
1928-10-31;--:--;     29.733
1928-11-01;--:--;     31.998
1928-11-02;--:--;     35.679
1928-11-03;--:--;     33.980
1928-11-04;--:--;     29.449
1928-11-05;--:--;     28.600
1928-11-06;--:--;     31.148
1928-11-07;--:--;     32.281
1928-11-08;--:--;     34.546
1928-11-09;--:--;     36.812
1928-11-10;--:--;     37.378
1928-11-11;--:--;     33.980
1928-11-12;--:--;     31.998
1928-11-13;--:--;     31.148
1928-11-14;--:--;     32.847
1928-11-15;--:--;     34.546
1928-11-16;--:--;     33.697
1928-11-17;--:--;     31.715
1928-11-18;--:--;     28.119
1928-11-19;--:--;     26.108
1928-11-20;--:--;     28.883
1928-11-21;--:--;     28.600
1928-11-22;--:--;     29.166
1928-11-23;--:--;     29.166
1928-11-24;--:--;     28.883
1928-11-25;--:--;     28.600
1928-11-26;--:--;     28.119
1928-11-27;--:--;     27.411
1928-11-28;--:--;     28.119
1928-11-29;--:--;     28.883
1928-11-30;--:--;     29.166
1928-12-01;--:--;     19.822
1928-12-02;--:--;     19.822
1928-12-03;--:--;     19.822
1928-12-04;--:--;     19.822
1928-12-05;--:--;     19.822
1928-12-06;--:--;     19.822
1928-12-07;--:--;     19.822
1928-12-08;--:--;     19.822
1928-12-09;--:--;     19.822
1928-12-10;--:--;     19.822
1928-12-11;--:--;     19.822
1928-12-12;--:--;     19.822
1928-12-13;--:--;     19.822
1928-12-14;--:--;     19.822
1928-12-15;--:--;     19.822
1928-12-16;--:--;     19.822
1928-12-17;--:--;     19.822
1928-12-18;--:--;     19.822
1928-12-19;--:--;     19.822
1928-12-20;--:--;     19.822
1928-12-21;--:--;     19.822
1928-12-22;--:--;     19.822
1928-12-23;--:--;     19.822
1928-12-24;--:--;     19.822
1928-12-25;--:--;     19.822
1928-12-26;--:--;     19.822
1928-12-27;--:--;     19.822
1928-12-28;--:--;     19.822
1928-12-29;--:--;     19.822
1928-12-30;--:--;     19.822
1928-12-31;--:--;     19.822
1929-01-01;--:--;     19.822
1929-01-02;--:--;     19.822
1929-01-03;--:--;     19.822
1929-01-04;--:--;     19.822
1929-01-05;--:--;     19.822
1929-01-06;--:--;     19.822
1929-01-07;--:--;     19.822
1929-01-08;--:--;     19.822
1929-01-09;--:--;     19.822
1929-01-10;--:--;     19.822
1929-01-11;--:--;     19.822
1929-01-12;--:--;     19.822
1929-01-13;--:--;     19.822
1929-01-14;--:--;     19.822
1929-01-15;--:--;     19.822
1929-01-16;--:--;     19.822
1929-01-17;--:--;     19.822
1929-01-18;--:--;     19.822
1929-01-19;--:--;     19.822
1929-01-20;--:--;     19.822
1929-01-21;--:--;     19.822
1929-01-22;--:--;     19.822
1929-01-23;--:--;     19.822
1929-01-24;--:--;     19.822
1929-01-25;--:--;     19.822
1929-01-26;--:--;     19.822
1929-01-27;--:--;     19.822
1929-01-28;--:--;     19.822
1929-01-29;--:--;     19.822
1929-01-30;--:--;     19.822
1929-01-31;--:--;     19.822
1929-02-01;--:--;     21.238
1929-02-02;--:--;     21.238
1929-02-03;--:--;     21.238
1929-02-04;--:--;     21.238
1929-02-05;--:--;     21.238
1929-02-06;--:--;     21.238
1929-02-07;--:--;     21.238
1929-02-08;--:--;     21.238
1929-02-09;--:--;     21.238
1929-02-10;--:--;     21.238
1929-02-11;--:--;     21.238
1929-02-12;--:--;     21.238
1929-02-13;--:--;     21.238
1929-02-14;--:--;     21.238
1929-02-15;--:--;     21.238
1929-02-16;--:--;     21.238
1929-02-17;--:--;     21.238
1929-02-18;--:--;     21.238
1929-02-19;--:--;     21.238
1929-02-20;--:--;     21.238
1929-02-21;--:--;     21.238
1929-02-22;--:--;     21.238
1929-02-23;--:--;     21.238
1929-02-24;--:--;     21.238
1929-02-25;--:--;     21.238
1929-02-26;--:--;     21.238
1929-02-27;--:--;     21.238
1929-02-28;--:--;     21.238
1929-03-01;--:--;     53.802
1929-03-02;--:--;     53.802
1929-03-03;--:--;     53.802
1929-03-04;--:--;     53.802
1929-03-05;--:--;     53.802
1929-03-06;--:--;     53.802
1929-03-07;--:--;     53.802
1929-03-08;--:--;     53.802
1929-03-09;--:--;     53.802
1929-03-10;--:--;     53.802
1929-03-11;--:--;    185.192
1929-03-12;--:--;    107.038
1929-03-13;--:--;     86.933
1929-03-14;--:--;     47.572
1929-03-15;--:--;     37.378
1929-03-16;--:--;     35.113
1929-03-17;--:--;     30.865
1929-03-18;--:--;     28.883
1929-03-19;--:--;     28.883
1929-03-20;--:--;     27.043
1929-03-21;--:--;     27.043
1929-03-22;--:--;     27.043
1929-03-23;--:--;     28.883
1929-03-24;--:--;     32.847
1929-03-25;--:--;     37.378
1929-03-26;--:--;     32.847
1929-03-27;--:--;     30.865
1929-03-28;--:--;     28.883
1929-03-29;--:--;     28.883
1929-03-30;--:--;     28.883
1929-03-31;--:--;     28.883
1929-04-01;--:--;     30.865
1929-04-02;--:--;     32.847
1929-04-03;--:--;     35.113
1929-04-04;--:--;     35.113
1929-04-05;--:--;     35.113
1929-04-06;--:--;     35.113
1929-04-07;--:--;     35.113
1929-04-08;--:--;     37.378
1929-04-09;--:--;     37.378
1929-04-10;--:--;     35.113
1929-04-11;--:--;     32.847
1929-04-12;--:--;     35.113
1929-04-13;--:--;     35.113
1929-04-14;--:--;     32.847
1929-04-15;--:--;     30.865
1929-04-16;--:--;     28.883
1929-04-17;--:--;     30.865
1929-04-18;--:--;     30.865
1929-04-19;--:--;     35.113
1929-04-20;--:--;     35.113
1929-04-21;--:--;     35.113
1929-04-22;--:--;     30.865
1929-04-23;--:--;     37.378
1929-04-24;--:--;     65.129
1929-04-25;--:--;     47.572
1929-04-26;--:--;     40.776
1929-04-27;--:--;     37.378
1929-04-28;--:--;     35.113
1929-04-29;--:--;     32.847
1929-04-30;--:--;     30.865
1929-05-01;--:--;     40.776
1929-05-02;--:--;     37.378
1929-05-03;--:--;     32.847
1929-05-04;--:--;     32.847
1929-05-05;--:--;     30.865
1929-05-06;--:--;     30.865
1929-05-07;--:--;     30.865
1929-05-08;--:--;     30.865
1929-05-09;--:--;     32.847
1929-05-10;--:--;     30.865
1929-05-11;--:--;     51.253
1929-05-12;--:--;     40.776
1929-05-13;--:--;     40.776
1929-05-14;--:--;     37.378
1929-05-15;--:--;     37.378
1929-05-16;--:--;     35.113
1929-05-17;--:--;     32.847
1929-05-18;--:--;     30.865
1929-05-19;--:--;     25.202
1929-05-20;--:--;     25.202
1929-05-21;--:--;     25.202
1929-05-22;--:--;     25.202
1929-05-23;--:--;     27.043
1929-05-24;--:--;     27.043
1929-05-25;--:--;     27.043
1929-05-26;--:--;     27.043
1929-05-27;--:--;     27.043
1929-05-28;--:--;     28.883
1929-05-29;--:--;    138.186
1929-05-30;--:--;     51.253
1929-05-31;--:--;     37.378
1929-06-01;--:--;     30.865
1929-06-02;--:--;     30.865
1929-06-03;--:--;     47.572
1929-06-04;--:--;     40.776
1929-06-05;--:--;     43.891
1929-06-06;--:--;     69.942
1929-06-07;--:--;     51.253
1929-06-08;--:--;     43.891
1929-06-09;--:--;     37.378
1929-06-10;--:--;     32.847
1929-06-11;--:--;     32.847
1929-06-12;--:--;     30.865
1929-06-13;--:--;     32.847
1929-06-14;--:--;     30.865
1929-06-15;--:--;     30.865
1929-06-16;--:--;     27.043
1929-06-17;--:--;     25.202
1929-06-18;--:--;    152.911
1929-06-19;--:--;     22.087
1929-06-20;--:--;     16.990
1929-06-21;--:--;     15.999
1929-06-22;--:--;     15.008
1929-06-23;--:--;     15.008
1929-06-24;--:--;     15.008
1929-06-25;--:--;     15.008
1929-06-26;--:--;     15.999
1929-06-27;--:--;     22.087
1929-06-28;--:--;     19.255
1929-06-29;--:--;     19.255
