# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122637
# River:                 MIDDLE LOUP RIVER
# Station:               ST.PAUL, NEBR.
# Country:               US
# Latitude (DD):       41.2036
# Longitude (DD):      -98.4465
# Catchment area (km²):      20914.3
# Altitude (m ASL):        541.51
# Next downstream station:      4122630
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1928-09 - 2018-10
# No. of years:          91
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32930
# DATA
YYYY-MM-DD;hh:mm; Value
1928-09-01;--:--;     27.184
1928-09-02;--:--;     26.335
1928-09-03;--:--;     28.034
1928-09-04;--:--;     25.485
1928-09-05;--:--;     25.485
1928-09-06;--:--;     24.211
1928-09-07;--:--;     26.335
1928-09-08;--:--;     23.786
1928-09-09;--:--;     23.361
1928-09-10;--:--;     21.662
1928-09-11;--:--;     29.449
1928-09-12;--:--;     27.609
1928-09-13;--:--;     31.998
1928-09-14;--:--;     29.733
1928-09-15;--:--;     31.715
1928-09-16;--:--;     27.184
1928-09-17;--:--;     22.937
1928-09-18;--:--;     23.786
1928-09-19;--:--;     22.937
1928-09-20;--:--;     25.485
1928-09-21;--:--;     29.733
1928-09-22;--:--;     29.733
1928-09-23;--:--;     26.759
1928-09-24;--:--;     28.034
1928-09-25;--:--;     31.715
1928-09-26;--:--;     28.034
1928-09-27;--:--;     29.449
1928-09-28;--:--;     27.184
1928-09-29;--:--;     24.636
1928-09-30;--:--;     23.786
1928-10-01;--:--;     31.148
1928-10-02;--:--;     28.317
1928-10-03;--:--;     26.618
1928-10-04;--:--;     25.485
1928-10-05;--:--;     28.317
1928-10-06;--:--;     31.148
1928-10-07;--:--;     31.148
1928-10-08;--:--;     25.485
1928-10-09;--:--;     28.034
1928-10-10;--:--;     28.883
1928-10-11;--:--;     32.564
1928-10-12;--:--;     35.679
1928-10-13;--:--;     31.715
1928-10-14;--:--;     31.715
1928-10-15;--:--;     30.582
1928-10-16;--:--;     42.475
1928-10-17;--:--;     42.192
1928-10-18;--:--;     30.582
1928-10-19;--:--;     25.910
1928-10-20;--:--;     31.148
1928-10-21;--:--;     25.910
1928-10-22;--:--;     31.715
1928-10-23;--:--;     32.847
1928-10-24;--:--;     30.582
1928-10-25;--:--;     31.998
1928-10-26;--:--;     31.998
1928-10-27;--:--;     35.396
1928-10-28;--:--;     37.378
1928-10-29;--:--;     41.059
1928-10-30;--:--;     40.210
1928-10-31;--:--;     42.192
1928-11-01;--:--;     59.182
1928-11-02;--:--;     40.210
1928-11-03;--:--;     35.679
1928-11-04;--:--;     42.192
1928-11-05;--:--;     51.253
1928-11-06;--:--;     50.687
1928-11-07;--:--;     50.687
1928-11-08;--:--;     46.156
1928-11-09;--:--;     44.457
1928-11-10;--:--;     45.024
1928-11-11;--:--;     41.626
1928-11-12;--:--;     43.042
1928-11-13;--:--;     39.077
1928-11-14;--:--;     42.475
1928-11-15;--:--;     45.590
1928-11-16;--:--;     51.820
1928-11-17;--:--;     43.608
1928-11-18;--:--;     38.228
1928-11-19;--:--;     33.414
1928-11-20;--:--;     33.414
1928-11-21;--:--;     28.034
1928-11-22;--:--;     26.759
1928-11-23;--:--;     28.034
1928-11-24;--:--;     28.034
1928-11-25;--:--;     27.750
1928-11-26;--:--;     27.609
1928-11-27;--:--;     30.582
1928-11-28;--:--;     29.449
1928-11-29;--:--;     31.998
1928-11-30;--:--;     23.361
1928-12-01;--:--;     17.471
1928-12-02;--:--;     17.471
1928-12-03;--:--;     17.471
1928-12-04;--:--;     17.471
1928-12-05;--:--;     16.820
1928-12-06;--:--;      8.552
1928-12-07;--:--;     10.534
1928-12-08;--:--;     10.534
1928-12-09;--:--;     10.534
1928-12-10;--:--;     10.534
1928-12-11;--:--;     12.459
1928-12-12;--:--;     12.459
1928-12-13;--:--;     12.459
1928-12-14;--:--;     12.459
1928-12-15;--:--;     12.459
1928-12-16;--:--;     11.327
1928-12-17;--:--;     11.327
1928-12-18;--:--;     11.327
1928-12-19;--:--;     11.327
1928-12-20;--:--;     10.760
1928-12-21;--:--;     14.045
1928-12-22;--:--;     10.760
1928-12-23;--:--;     12.120
1928-12-24;--:--;     15.801
1928-12-25;--:--;     15.801
1928-12-26;--:--;     15.801
1928-12-27;--:--;     15.801
1928-12-28;--:--;     15.801
1928-12-29;--:--;     15.801
1928-12-30;--:--;     19.992
1928-12-31;--:--;     19.822
1929-01-01;--:--;     15.574
1929-01-02;--:--;     15.574
1929-01-03;--:--;     15.574
1929-01-04;--:--;     15.574
1929-01-05;--:--;     15.574
1929-01-06;--:--;     15.574
1929-01-07;--:--;     15.574
1929-01-08;--:--;     15.574
1929-01-09;--:--;     15.574
1929-01-10;--:--;     15.574
1929-01-11;--:--;     15.574
1929-01-12;--:--;     15.574
1929-01-13;--:--;     15.574
1929-01-14;--:--;     15.574
1929-01-15;--:--;     15.574
1929-01-16;--:--;     15.574
1929-01-17;--:--;     15.574
1929-01-18;--:--;     15.574
1929-01-19;--:--;     15.574
1929-01-20;--:--;     15.574
1929-01-21;--:--;     15.574
1929-01-22;--:--;     15.574
1929-01-23;--:--;     15.574
1929-01-24;--:--;     15.574
1929-01-25;--:--;     15.574
1929-01-26;--:--;     15.574
1929-01-27;--:--;     15.574
1929-01-28;--:--;     15.574
1929-01-29;--:--;     15.574
1929-01-30;--:--;     15.574
1929-01-31;--:--;     15.574
1929-02-01;--:--;     15.857
1929-02-02;--:--;     15.857
1929-02-03;--:--;     15.857
1929-02-04;--:--;     15.857
1929-02-05;--:--;     15.857
1929-02-06;--:--;     15.857
1929-02-07;--:--;     15.857
1929-02-08;--:--;     22.427
1929-02-09;--:--;     22.427
1929-02-10;--:--;     22.427
1929-02-11;--:--;     22.427
1929-02-12;--:--;     22.427
1929-02-13;--:--;     22.908
1929-02-14;--:--;     19.510
1929-02-15;--:--;     19.510
1929-02-16;--:--;     19.510
1929-02-17;--:--;     19.510
1929-02-18;--:--;     19.510
1929-02-19;--:--;     19.510
1929-02-20;--:--;     19.510
1929-02-21;--:--;     25.768
1929-02-22;--:--;     25.768
1929-02-23;--:--;     25.768
1929-02-24;--:--;     25.768
1929-02-25;--:--;     25.768
1929-02-26;--:--;     25.768
1929-02-27;--:--;     25.768
1929-02-28;--:--;     25.768
1929-03-01;--:--;     42.475
1929-03-02;--:--;     42.475
1929-03-03;--:--;     42.475
1929-03-04;--:--;     42.475
1929-03-05;--:--;     42.475
1929-03-06;--:--;     42.475
1929-03-07;--:--;     42.475
1929-03-08;--:--;     42.475
1929-03-09;--:--;     75.040
1929-03-10;--:--;    184.059
1929-03-11;--:--;    266.178
1929-03-12;--:--;    208.978
1929-03-13;--:--;    151.495
1929-03-14;--:--;     68.527
1929-03-15;--:--;     35.679
1929-03-16;--:--;     23.786
1929-03-17;--:--;     25.910
1929-03-18;--:--;     23.786
1929-03-19;--:--;     28.034
1929-03-20;--:--;     28.034
1929-03-21;--:--;     30.582
1929-03-22;--:--;     32.847
1929-03-23;--:--;     38.228
1929-03-24;--:--;     38.228
1929-03-25;--:--;     35.679
1929-03-26;--:--;     32.847
1929-03-27;--:--;     35.679
1929-03-28;--:--;     30.582
1929-03-29;--:--;     30.582
1929-03-30;--:--;     30.582
1929-03-31;--:--;     32.847
1929-04-01;--:--;     28.034
1929-04-02;--:--;     30.582
1929-04-03;--:--;     28.034
1929-04-04;--:--;     25.910
1929-04-05;--:--;     28.034
1929-04-06;--:--;     28.034
1929-04-07;--:--;     38.228
1929-04-08;--:--;     32.847
1929-04-09;--:--;     30.582
1929-04-10;--:--;     30.582
1929-04-11;--:--;     35.679
1929-04-12;--:--;     38.228
1929-04-13;--:--;     30.582
1929-04-14;--:--;     30.582
1929-04-15;--:--;     28.034
1929-04-16;--:--;     35.679
1929-04-17;--:--;     32.847
1929-04-18;--:--;     32.847
1929-04-19;--:--;     32.847
1929-04-20;--:--;     35.679
1929-04-21;--:--;     38.228
1929-04-22;--:--;     32.847
1929-04-23;--:--;     32.847
1929-04-24;--:--;     88.915
1929-04-25;--:--;    164.237
1929-04-26;--:--;    138.752
1929-04-27;--:--;     63.996
1929-04-28;--:--;     35.679
1929-04-29;--:--;     35.679
1929-04-30;--:--;     32.847
1929-05-01;--:--;     41.343
1929-05-02;--:--;     44.457
1929-05-03;--:--;     44.457
1929-05-04;--:--;     44.457
1929-05-05;--:--;     44.457
1929-05-06;--:--;     55.501
1929-05-07;--:--;     59.748
1929-05-08;--:--;     59.748
1929-05-09;--:--;     55.501
1929-05-10;--:--;     63.996
1929-05-11;--:--;    100.808
1929-05-12;--:--;     73.341
1929-05-13;--:--;     59.748
1929-05-14;--:--;     55.501
1929-05-15;--:--;     48.139
1929-05-16;--:--;     48.139
1929-05-17;--:--;     44.457
1929-05-18;--:--;     48.139
1929-05-19;--:--;     41.343
1929-05-20;--:--;     41.343
1929-05-21;--:--;     38.228
1929-05-22;--:--;     35.679
1929-05-23;--:--;     35.679
1929-05-24;--:--;     38.228
1929-05-25;--:--;     38.228
1929-05-26;--:--;     48.139
1929-05-27;--:--;     44.457
1929-05-28;--:--;     51.537
1929-05-29;--:--;    164.237
1929-05-30;--:--;    144.982
1929-05-31;--:--;    100.808
1929-06-01;--:--;     44.457
1929-06-02;--:--;     35.679
1929-06-03;--:--;     63.996
1929-06-04;--:--;     73.341
1929-06-05;--:--;     63.996
1929-06-06;--:--;     59.748
1929-06-07;--:--;    183.493
1929-06-08;--:--;    144.982
1929-06-09;--:--;     83.535
1929-06-10;--:--;     48.139
1929-06-11;--:--;     44.457
1929-06-12;--:--;     35.679
1929-06-13;--:--;     35.679
1929-06-14;--:--;     28.034
1929-06-15;--:--;     25.910
1929-06-16;--:--;     21.804
1929-06-17;--:--;     23.786
1929-06-18;--:--;     32.847
1929-06-19;--:--;     32.847
1929-06-20;--:--;     30.582
1929-06-21;--:--;     25.910
1929-06-22;--:--;     28.034
1929-06-23;--:--;     32.847
1929-06-24;--:--;     35.679
