# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4123082
# River:                 CUMBERLAND RIVER
# Station:               WILLIAMSBURG, KY
# Country:               US
# Latitude (DD):       36.744
# Longitude (DD):      -84.1583
# Catchment area (km²):      4162.1
# Altitude (m ASL):        271.74
# Next downstream station:      4123081
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-10 - 2019-02
# No. of years:          70
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 24974
# DATA
YYYY-MM-DD;hh:mm; Value
1950-10-01;--:--;      5.663
1950-10-02;--:--;      5.663
1950-10-03;--:--;      5.663
1950-10-04;--:--;      4.814
1950-10-05;--:--;      3.964
1950-10-06;--:--;      3.964
1950-10-07;--:--;      3.964
1950-10-08;--:--;      3.115
1950-10-09;--:--;      3.115
1950-10-10;--:--;      4.814
1950-10-11;--:--;      7.646
1950-10-12;--:--;      7.646
1950-10-13;--:--;      6.513
1950-10-14;--:--;      5.663
1950-10-15;--:--;      5.663
1950-10-16;--:--;      4.814
1950-10-17;--:--;      3.964
1950-10-18;--:--;      3.115
1950-10-19;--:--;      2.265
1950-10-20;--:--;      2.265
1950-10-21;--:--;      2.265
1950-10-22;--:--;      1.586
1950-10-23;--:--;      3.115
1950-10-24;--:--;      3.964
1950-10-25;--:--;      3.115
1950-10-26;--:--;      4.814
1950-10-27;--:--;      5.663
1950-10-28;--:--;      5.663
1950-10-29;--:--;      4.814
1950-10-30;--:--;      3.964
1950-10-31;--:--;      3.115
1950-11-01;--:--;      3.115
1950-11-02;--:--;      3.115
1950-11-03;--:--;      4.814
1950-11-04;--:--;      9.911
1950-11-05;--:--;     22.653
1950-11-06;--:--;     33.980
1950-11-07;--:--;     31.148
1950-11-08;--:--;     22.653
1950-11-09;--:--;     17.556
1950-11-10;--:--;     19.255
1950-11-11;--:--;     20.954
1950-11-12;--:--;     17.556
1950-11-13;--:--;     12.743
1950-11-14;--:--;     11.327
1950-11-15;--:--;      9.911
1950-11-16;--:--;     11.327
1950-11-17;--:--;     14.158
1950-11-18;--:--;     14.158
1950-11-19;--:--;     12.743
1950-11-20;--:--;     37.945
1950-11-21;--:--;    193.404
1950-11-22;--:--;    168.485
1950-11-23;--:--;    104.772
1950-11-24;--:--;     70.792
1950-11-25;--:--;     42.475
1950-11-26;--:--;     33.980
1950-11-27;--:--;     33.980
1950-11-28;--:--;     30.016
1950-11-29;--:--;     33.980
1950-11-30;--:--;     35.962
1950-12-01;--:--;     39.927
1950-12-02;--:--;     50.404
1950-12-03;--:--;    150.645
1950-12-04;--:--;    393.604
1950-12-05;--:--;    455.900
1950-12-06;--:--;    328.475
1950-12-07;--:--;    228.800
1950-12-08;--:--;    416.257
1950-12-09;--:--;    419.089
1950-12-10;--:--;    297.326
1950-12-11;--:--;    137.336
1950-12-12;--:--;     88.632
1950-12-13;--:--;     68.527
1950-12-14;--:--;     59.465
1950-12-15;--:--;     48.139
1950-12-16;--:--;     41.909
1950-12-17;--:--;     37.945
1950-12-18;--:--;     33.980
1950-12-19;--:--;     30.016
1950-12-20;--:--;     26.051
1950-12-21;--:--;     24.352
1950-12-22;--:--;     24.352
1950-12-23;--:--;     22.653
1950-12-24;--:--;     20.954
1950-12-25;--:--;     19.255
1950-12-26;--:--;     19.255
1950-12-27;--:--;     15.857
1950-12-28;--:--;     15.857
1950-12-29;--:--;     15.857
1950-12-30;--:--;     20.954
1950-12-31;--:--;     22.653
1951-01-01;--:--;     19.255
1951-01-02;--:--;     18.406
1951-01-03;--:--;     18.406
1951-01-04;--:--;     43.891
1951-01-05;--:--;    102.507
1951-01-06;--:--;    108.737
1951-01-07;--:--;     87.216
1951-01-08;--:--;     77.022
1951-01-09;--:--;     63.996
1951-01-10;--:--;     52.669
1951-01-11;--:--;     49.271
1951-01-12;--:--;     50.404
1951-01-13;--:--;     48.988
1951-01-14;--:--;     94.295
1951-01-15;--:--;    271.841
1951-01-16;--:--;    410.594
1951-01-17;--:--;    396.435
1951-01-18;--:--;    245.507
1951-01-19;--:--;    143.566
1951-01-20;--:--;    109.303
1951-01-21;--:--;     93.729
1951-01-22;--:--;     78.438
1951-01-23;--:--;     65.129
1951-01-24;--:--;     61.164
1951-01-25;--:--;     60.032
1951-01-26;--:--;     55.501
1951-01-27;--:--;     53.236
1951-01-28;--:--;     50.404
1951-01-29;--:--;     66.261
1951-01-30;--:--;    150.645
1951-01-31;--:--;    230.499
1951-02-01;--:--;    741.900
1951-02-02;--:--;   1033.563
1951-02-03;--:--;   1042.058
1951-02-04;--:--;    891.979
1951-02-05;--:--;    671.108
1951-02-06;--:--;    339.802
1951-02-07;--:--;    177.830
1951-02-08;--:--;    262.780
1951-02-09;--:--;    248.905
1951-02-10;--:--;    166.503
1951-02-11;--:--;    115.533
1951-02-12;--:--;     89.198
1951-02-13;--:--;     78.438
1951-02-14;--:--;     69.659
1951-02-15;--:--;     62.297
1951-02-16;--:--;     54.368
1951-02-17;--:--;     54.935
1951-02-18;--:--;     62.297
1951-02-19;--:--;     92.596
1951-02-20;--:--;    264.196
1951-02-21;--:--;    526.692
1951-02-22;--:--;    642.791
1951-02-23;--:--;    569.168
1951-02-24;--:--;    387.940
1951-02-25;--:--;    192.837
1951-02-26;--:--;    109.020
1951-02-27;--:--;    112.135
1951-02-28;--:--;    123.744
1951-03-01;--:--;    116.099
1951-03-02;--:--;    107.604
1951-03-03;--:--;     93.729
1951-03-04;--:--;    107.604
1951-03-05;--:--;    193.970
1951-03-06;--:--;    262.214
1951-03-07;--:--;    270.709
1951-03-08;--:--;    266.744
1951-03-09;--:--;    248.622
1951-03-10;--:--;    199.067
1951-03-11;--:--;    162.255
1951-03-12;--:--;    176.697
1951-03-13;--:--;    203.598
1951-03-14;--:--;    238.994
1951-03-15;--:--;    220.871
1951-03-16;--:--;    176.130
1951-03-17;--:--;    138.469
1951-03-18;--:--;    131.107
1951-03-19;--:--;    131.107
1951-03-20;--:--;    183.493
1951-03-21;--:--;    223.703
1951-03-22;--:--;    195.952
1951-03-23;--:--;    158.574
1951-03-24;--:--;    102.507
1951-03-25;--:--;     99.392
1951-03-26;--:--;     90.047
1951-03-27;--:--;     83.535
1951-03-28;--:--;     84.384
1951-03-29;--:--;    174.715
1951-03-30;--:--;    302.990
1951-03-31;--:--;    348.297
1951-04-01;--:--;    262.214
1951-04-02;--:--;    213.226
1951-04-03;--:--;    319.980
1951-04-04;--:--;    334.138
1951-04-05;--:--;    252.020
1951-04-06;--:--;    161.689
1951-04-07;--:--;    120.913
1951-04-08;--:--;    140.168
1951-04-09;--:--;    147.531
1951-04-10;--:--;    124.594
1951-04-11;--:--;    107.038
1951-04-12;--:--;    128.558
1951-04-13;--:--;    214.358
