# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4123207
# River:                 WHITE RIVER
# Station:               SHOALS, IN (EAST FORK)
# Country:               US
# Latitude (DD):       38.6673
# Longitude (DD):      -86.7922
# Catchment area (km²):      12760.9
# Altitude (m ASL):        134.8
# Next downstream station:      4123202
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1903-10 - 2019-08
# No. of years:          117
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 42323
# DATA
YYYY-MM-DD;hh:mm; Value
1903-10-01;--:--;     14.725
1903-10-02;--:--;     14.725
1903-10-03;--:--;     14.725
1903-10-04;--:--;     17.132
1903-10-05;--:--;     17.132
1903-10-06;--:--;     17.132
1903-10-07;--:--;     20.105
1903-10-08;--:--;     23.503
1903-10-09;--:--;     26.901
1903-10-10;--:--;     30.582
1903-10-11;--:--;     30.582
1903-10-12;--:--;     30.582
1903-10-13;--:--;     34.263
1903-10-14;--:--;     34.263
1903-10-15;--:--;     30.582
1903-10-16;--:--;     30.582
1903-10-17;--:--;     26.901
1903-10-18;--:--;     23.503
1903-10-19;--:--;     23.503
1903-10-20;--:--;     20.105
1903-10-21;--:--;     20.105
1903-10-22;--:--;     17.132
1903-10-23;--:--;     17.132
1903-10-24;--:--;     17.132
1903-10-25;--:--;     17.132
1903-10-26;--:--;     17.132
1903-10-27;--:--;     17.132
1903-10-28;--:--;     17.132
1903-10-29;--:--;     17.132
1903-10-30;--:--;     17.132
1903-10-31;--:--;     17.132
1903-11-01;--:--;     17.132
1903-11-02;--:--;     17.132
1903-11-03;--:--;     17.132
1903-11-04;--:--;     17.132
1903-11-05;--:--;     17.132
1903-11-06;--:--;     17.132
1903-11-07;--:--;     17.132
1903-11-08;--:--;     17.132
1903-11-09;--:--;     17.132
1903-11-10;--:--;     17.132
1903-11-11;--:--;     17.132
1903-11-12;--:--;     17.132
1903-11-13;--:--;     17.132
1903-11-14;--:--;     17.132
1903-11-15;--:--;     17.132
1903-11-16;--:--;     17.132
1903-11-17;--:--;     17.132
1903-11-18;--:--;     23.503
1903-11-19;--:--;     23.503
1903-11-20;--:--;     23.503
1903-11-21;--:--;     26.901
1903-11-22;--:--;     30.582
1903-11-23;--:--;     34.263
1903-11-24;--:--;     30.582
1903-11-25;--:--;     26.901
1903-11-26;--:--;     23.503
1903-11-27;--:--;     23.503
1903-11-28;--:--;     20.105
1903-11-29;--:--;     20.105
1903-11-30;--:--;     23.503
1903-12-01;--:--;     23.503
1903-12-02;--:--;     23.503
1903-12-03;--:--;     23.503
1903-12-04;--:--;     20.105
1903-12-05;--:--;     20.105
1903-12-06;--:--;     17.132
1903-12-07;--:--;     17.132
1903-12-08;--:--;     17.132
1903-12-09;--:--;     20.105
1903-12-10;--:--;     20.105
1903-12-11;--:--;     17.132
1903-12-12;--:--;     17.132
1903-12-13;--:--;     17.132
1903-12-14;--:--;     17.132
1903-12-15;--:--;     17.132
1903-12-16;--:--;     17.132
1903-12-17;--:--;     17.132
1903-12-18;--:--;     17.132
1903-12-19;--:--;     17.132
1903-12-20;--:--;     20.105
1903-12-21;--:--;     38.228
1903-12-22;--:--;     42.192
1903-12-23;--:--;     42.192
1903-12-24;--:--;     56.634
1903-12-25;--:--;     62.297
1903-12-26;--:--;     79.287
1903-12-27;--:--;     99.109
1903-12-28;--:--;     84.950
1903-12-29;--:--;     84.950
1903-12-30;--:--;     73.624
1903-12-31;--:--;     62.297
1904-01-01;--:--;     62.297
1904-01-02;--:--;     56.634
1904-01-03;--:--;     47.006
1904-01-04;--:--;     42.192
1904-01-05;--:--;     38.228
1904-01-06;--:--;     38.228
1904-01-07;--:--;     38.228
1904-01-08;--:--;     34.263
1904-01-09;--:--;     34.263
1904-01-10;--:--;     34.263
1904-01-11;--:--;     34.263
1904-01-12;--:--;     34.263
1904-01-13;--:--;     34.263
1904-01-14;--:--;     34.263
1904-01-15;--:--;     34.263
1904-01-16;--:--;     34.263
1904-01-17;--:--;     34.263
1904-01-18;--:--;     34.263
1904-01-19;--:--;     38.228
1904-01-20;--:--;     38.228
1904-01-21;--:--;     62.297
1904-01-22;--:--;    359.623
1904-01-23;--:--;    538.019
1904-01-24;--:--;    543.683
1904-01-25;--:--;    574.831
1904-01-26;--:--;    588.989
1904-01-27;--:--;    600.316
1904-01-28;--:--;    608.811
1904-01-29;--:--;    489.881
1904-01-30;--:--;    274.673
1904-01-31;--:--;    198.784
1904-02-01;--:--;    180.095
1904-02-02;--:--;    123.461
1904-02-03;--:--;     99.109
1904-02-04;--:--;     79.287
1904-02-05;--:--;     73.624
1904-02-06;--:--;    311.485
1904-02-07;--:--;    458.732
1904-02-08;--:--;    515.366
1904-02-09;--:--;    577.663
1904-02-10;--:--;    656.950
1904-02-11;--:--;    693.762
1904-02-12;--:--;    651.286
1904-02-13;--:--;    504.039
1904-02-14;--:--;    311.485
1904-02-15;--:--;    198.784
1904-02-16;--:--;    165.936
1904-02-17;--:--;    158.008
1904-02-18;--:--;    132.239
1904-02-19;--:--;    114.683
1904-02-20;--:--;     99.109
1904-02-21;--:--;     92.030
1904-02-22;--:--;    246.356
1904-02-23;--:--;    300.158
1904-02-24;--:--;    368.118
1904-02-25;--:--;    430.415
1904-02-26;--:--;    419.089
1904-02-27;--:--;    359.623
1904-02-28;--:--;    286.000
1904-02-29;--:--;    246.356
1904-03-01;--:--;    263.346
1904-03-02;--:--;    291.663
1904-03-03;--:--;    297.326
1904-03-04;--:--;    322.812
1904-03-05;--:--;    317.148
1904-03-06;--:--;    342.633
1904-03-07;--:--;    492.712
1904-03-08;--:--;    521.029
1904-03-09;--:--;    458.732
1904-03-10;--:--;    404.930
1904-03-11;--:--;    413.425
1904-03-12;--:--;    379.445
1904-03-13;--:--;    342.633
1904-03-14;--:--;    334.138
1904-03-15;--:--;    322.812
1904-03-16;--:--;    286.000
1904-03-17;--:--;    263.346
1904-03-18;--:--;    257.683
1904-03-19;--:--;    263.346
1904-03-20;--:--;    269.010
1904-03-21;--:--;    269.010
1904-03-22;--:--;    286.000
1904-03-23;--:--;    583.326
1904-03-24;--:--;    617.306
1904-03-25;--:--;    753.227
1904-03-26;--:--;   1166.652
1904-03-27;--:--;   1209.127
1904-03-28;--:--;   1783.958
1904-03-29;--:--;   2211.542
1904-03-30;--:--;   2188.889
1904-03-31;--:--;   1888.731
1904-04-01;--:--;   1529.107
1904-04-02;--:--;   1299.741
1904-04-03;--:--;   1175.147
1904-04-04;--:--;   1076.038
1904-04-05;--:--;   1010.910
1904-04-06;--:--;    965.603
1904-04-07;--:--;    829.682
1904-04-08;--:--;    532.356
1904-04-09;--:--;    305.821
1904-04-10;--:--;    269.010
1904-04-11;--:--;    257.683
1904-04-12;--:--;    246.356
1904-04-13;--:--;    229.366
1904-04-14;--:--;    217.473
1904-04-15;--:--;    198.784
1904-04-16;--:--;    180.095
1904-04-17;--:--;    165.936
1904-04-18;--:--;    149.513
1904-04-19;--:--;    132.239
1904-04-20;--:--;    114.683
1904-04-21;--:--;    106.188
1904-04-22;--:--;     99.109
1904-04-23;--:--;     92.030
1904-04-24;--:--;     92.030
1904-04-25;--:--;     99.109
1904-04-26;--:--;    198.784
1904-04-27;--:--;    257.683
1904-04-28;--:--;    317.148
1904-04-29;--:--;    305.821
1904-04-30;--:--;    274.673
1904-05-01;--:--;    229.366
1904-05-02;--:--;    198.784
1904-05-03;--:--;    158.008
1904-05-04;--:--;    132.239
1904-05-05;--:--;    114.683
1904-05-06;--:--;    106.188
1904-05-07;--:--;     92.030
1904-05-08;--:--;     84.950
1904-05-09;--:--;     79.287
1904-05-10;--:--;     73.624
1904-05-11;--:--;     67.960
1904-05-12;--:--;     67.960
1904-05-13;--:--;     67.960
1904-05-14;--:--;     62.297
1904-05-15;--:--;     62.297
1904-05-16;--:--;     56.634
1904-05-17;--:--;     56.634
1904-05-18;--:--;    198.784
1904-05-19;--:--;    198.784
1904-05-20;--:--;     56.634
1904-05-21;--:--;     56.634
1904-05-22;--:--;     56.634
1904-05-23;--:--;     62.297
1904-05-24;--:--;     67.960
1904-05-25;--:--;     62.297
1904-05-26;--:--;     62.297
1904-05-27;--:--;     73.624
1904-05-28;--:--;     62.297
