# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4123850
# River:                 LITTLE COAL RIVER
# Station:               DANVILLE, W.VA.
# Country:               US
# Latitude (DD):       38.0798
# Longitude (DD):      -81.8362
# Catchment area (km²):      696.7
# Altitude (m ASL):        201.51
# Next downstream station:      4123300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930-06 - 1984-09
# No. of years:          55
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19846
# DATA
YYYY-MM-DD;hh:mm; Value
1930-06-01;--:--;      0.651
1930-06-02;--:--;      0.396
1930-06-03;--:--;      0.275
1930-06-04;--:--;      0.275
1930-06-05;--:--;      0.425
1930-06-06;--:--;      0.396
1930-06-07;--:--;      0.340
1930-06-08;--:--;      0.368
1930-06-09;--:--;      0.311
1930-06-10;--:--;      0.241
1930-06-11;--:--;      0.184
1930-06-12;--:--;      0.340
1930-06-13;--:--;      0.340
1930-06-14;--:--;      0.538
1930-06-15;--:--;      0.595
1930-06-16;--:--;      2.209
1930-06-17;--:--;      2.067
1930-06-18;--:--;      0.878
1930-06-19;--:--;      0.538
1930-06-20;--:--;      0.396
1930-06-21;--:--;      0.311
1930-06-22;--:--;      0.184
1930-06-23;--:--;      0.133
1930-06-24;--:--;      0.133
1930-06-25;--:--;      0.102
1930-06-26;--:--;      0.102
1930-06-27;--:--;      0.093
1930-06-28;--:--;      0.065
1930-06-29;--:--;      0.040
1930-06-30;--:--;      0.017
1930-07-01;--:--;      0.040
1930-07-02;--:--;      0.065
1930-07-03;--:--;      0.017
1930-07-04;--:--;      0.023
1930-07-05;--:--;      0.008
1930-07-06;--:--;      0.040
1930-07-07;--:--;      0.025
1930-07-08;--:--;      0.023
1930-07-09;--:--;      0.017
1930-07-10;--:--;      0.006
1930-07-11;--:--;      0.008
1930-07-12;--:--;      0.020
1930-07-13;--:--;      0.051
1930-07-14;--:--;      0.051
1930-07-15;--:--;      0.031
1930-07-16;--:--;      0.017
1930-07-17;--:--;      0.006
1930-07-18;--:--;      0.006
1930-07-19;--:--;      0.003
1930-07-20;--:--;      0.000
1930-07-21;--:--;      0.006
1930-07-22;--:--;      0.017
1930-07-23;--:--;      0.003
1930-07-24;--:--;      0.000
1930-07-25;--:--;      0.000
1930-07-26;--:--;      0.000
1930-07-27;--:--;      0.008
1930-07-28;--:--;      0.031
1930-07-29;--:--;      0.023
1930-07-30;--:--;      0.008
1930-07-31;--:--;      0.006
1930-08-01;--:--;      0.000
1930-08-02;--:--;      0.000
1930-08-03;--:--;      0.000
1930-08-04;--:--;      0.000
1930-08-05;--:--;      0.003
1930-08-06;--:--;      0.017
1930-08-07;--:--;      0.006
1930-08-08;--:--;      0.065
1930-08-09;--:--;      0.076
1930-08-10;--:--;      0.065
1930-08-11;--:--;      0.065
1930-08-12;--:--;      0.110
1930-08-13;--:--;      0.093
1930-08-14;--:--;      0.198
1930-08-15;--:--;      0.156
1930-08-16;--:--;      0.076
1930-08-17;--:--;      0.051
1930-08-18;--:--;      0.034
1930-08-19;--:--;      0.017
1930-08-20;--:--;      0.017
1930-08-21;--:--;      0.023
1930-08-22;--:--;      0.034
1930-08-23;--:--;      0.396
1930-08-24;--:--;      0.255
1930-08-25;--:--;      0.170
1930-08-26;--:--;      0.142
1930-08-27;--:--;      0.113
1930-08-28;--:--;      0.085
1930-08-29;--:--;      0.071
1930-08-30;--:--;      0.071
1930-08-31;--:--;      0.057
1930-09-01;--:--;      0.042
1930-09-02;--:--;      0.028
1930-09-03;--:--;      0.025
1930-09-04;--:--;      0.017
1930-09-05;--:--;      0.014
1930-09-06;--:--;      0.011
1930-09-07;--:--;      0.008
1930-09-08;--:--;      0.006
1930-09-09;--:--;      0.006
1930-09-10;--:--;      0.003
1930-09-11;--:--;      0.003
1930-09-12;--:--;      0.003
1930-09-13;--:--;      0.003
1930-09-14;--:--;      0.003
1930-09-15;--:--;      0.003
1930-09-16;--:--;      0.000
1930-09-17;--:--;      0.000
1930-09-18;--:--;      0.000
1930-09-19;--:--;      0.000
1930-09-20;--:--;      0.000
1930-09-21;--:--;      0.000
1930-09-22;--:--;      0.000
1930-09-23;--:--;      0.000
1930-09-24;--:--;      0.000
1930-09-25;--:--;      0.000
1930-09-26;--:--;      0.003
1930-09-27;--:--;      0.014
1930-09-28;--:--;      0.017
1930-09-29;--:--;      0.014
1930-09-30;--:--;      0.011
1930-10-01;--:--;      0.011
1930-10-02;--:--;      0.006
1930-10-03;--:--;      0.003
1930-10-04;--:--;      0.000
1930-10-05;--:--;      0.000
1930-10-06;--:--;      0.000
1930-10-07;--:--;      0.000
1930-10-08;--:--;      0.000
1930-10-09;--:--;      0.000
1930-10-10;--:--;      0.000
1930-10-11;--:--;      0.000
1930-10-12;--:--;      0.000
1930-10-13;--:--;      0.000
1930-10-14;--:--;      0.000
1930-10-15;--:--;      0.003
1930-10-16;--:--;      0.006
1930-10-17;--:--;      0.014
1930-10-18;--:--;      0.023
1930-10-19;--:--;      0.028
1930-10-20;--:--;      0.045
1930-10-21;--:--;      0.051
1930-10-22;--:--;      0.065
1930-10-23;--:--;      0.034
1930-10-24;--:--;      0.065
1930-10-25;--:--;      0.071
1930-10-26;--:--;      0.110
