# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4126750
# River:                 SALINE RIVER
# Station:               NEAR RYE, ARK
# Country:               US
# Latitude (DD):       33.7009
# Longitude (DD):      -92.026
# Catchment area (km²):      5444.2
# Altitude (m ASL):        29.58
# Next downstream station:      4126700
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1937-10 - 2016-10
# No. of years:          80
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 28886
# DATA
YYYY-MM-DD;hh:mm; Value
1937-10-01;--:--;      1.756
1937-10-02;--:--;      1.897
1937-10-03;--:--;      2.350
1937-10-04;--:--;      2.690
1937-10-05;--:--;      2.152
1937-10-06;--:--;      1.784
1937-10-07;--:--;      1.642
1937-10-08;--:--;      1.642
1937-10-09;--:--;      1.897
1937-10-10;--:--;      2.350
1937-10-11;--:--;      1.444
1937-10-12;--:--;      1.444
1937-10-13;--:--;      1.642
1937-10-14;--:--;      1.642
1937-10-15;--:--;      1.642
1937-10-16;--:--;      1.841
1937-10-17;--:--;      2.350
1937-10-18;--:--;      4.927
1937-10-19;--:--;      9.713
1937-10-20;--:--;     15.716
1937-10-21;--:--;     12.516
1937-10-22;--:--;     11.072
1937-10-23;--:--;     11.780
1937-10-24;--:--;     14.866
1937-10-25;--:--;     15.716
1937-10-26;--:--;     13.252
1937-10-27;--:--;     10.392
1937-10-28;--:--;      9.713
1937-10-29;--:--;      9.061
1937-10-30;--:--;      6.909
1937-10-31;--:--;      5.748
1937-11-01;--:--;      4.927
1937-11-02;--:--;      4.389
1937-11-03;--:--;      3.879
1937-11-04;--:--;      3.398
1937-11-05;--:--;      3.171
1937-11-06;--:--;      2.860
1937-11-07;--:--;      2.690
1937-11-08;--:--;      2.775
1937-11-09;--:--;      3.625
1937-11-10;--:--;     27.637
1937-11-11;--:--;     71.075
1937-11-12;--:--;     66.828
1937-11-13;--:--;     66.828
1937-11-14;--:--;     66.828
1937-11-15;--:--;     66.828
1937-11-16;--:--;    125.727
1937-11-17;--:--;    147.247
1937-11-18;--:--;    129.125
1937-11-19;--:--;    129.125
1937-11-20;--:--;    127.426
1937-11-21;--:--;    130.824
1937-11-22;--:--;    134.222
1937-11-23;--:--;    134.222
1937-11-24;--:--;    132.523
1937-11-25;--:--;    125.727
1937-11-26;--:--;     90.331
1937-11-27;--:--;     69.659
1937-11-28;--:--;     51.537
1937-11-29;--:--;     46.440
1937-11-30;--:--;     37.661
1937-12-01;--:--;     30.865
1937-12-02;--:--;     20.247
1937-12-03;--:--;     20.247
1937-12-04;--:--;     20.247
1937-12-05;--:--;     20.247
1937-12-06;--:--;     20.247
1937-12-07;--:--;     19.255
1937-12-08;--:--;     18.264
1937-12-09;--:--;     16.565
1937-12-10;--:--;     14.866
1937-12-11;--:--;     13.252
1937-12-12;--:--;     11.780
1937-12-13;--:--;     11.780
1937-12-14;--:--;     11.780
1937-12-15;--:--;     11.072
1937-12-16;--:--;     11.072
1937-12-17;--:--;     15.716
1937-12-18;--:--;     22.229
1937-12-19;--:--;     40.210
1937-12-20;--:--;     51.537
1937-12-21;--:--;     58.333
1937-12-22;--:--;     66.828
1937-12-23;--:--;     95.144
1937-12-24;--:--;    109.020
1937-12-25;--:--;    115.533
1937-12-26;--:--;    137.620
1937-12-27;--:--;    151.212
1937-12-28;--:--;    181.228
1937-12-29;--:--;    210.960
1937-12-30;--:--;    222.287
1937-12-31;--:--;    228.233
1938-01-01;--:--;    225.119
1938-01-02;--:--;    228.233
1938-01-03;--:--;    231.348
1938-01-04;--:--;    213.792
1938-01-05;--:--;    193.121
1938-01-06;--:--;    159.140
1938-01-07;--:--;    124.028
1938-01-08;--:--;    105.905
1938-01-09;--:--;     82.685
1938-01-10;--:--;     47.855
1938-01-11;--:--;     37.661
1938-01-12;--:--;     36.529
1938-01-13;--:--;     36.529
1938-01-14;--:--;     35.396
1938-01-15;--:--;     34.263
1938-01-16;--:--;     27.467
1938-01-17;--:--;     20.247
1938-01-18;--:--;     15.716
1938-01-19;--:--;     14.017
1938-01-20;--:--;     16.565
1938-01-21;--:--;     18.264
1938-01-22;--:--;     30.865
1938-01-23;--:--;    227.101
1938-01-24;--:--;    353.960
1938-01-25;--:--;    396.435
1938-01-26;--:--;    538.019
1938-01-27;--:--;   1129.840
1938-01-28;--:--;   1107.187
1938-01-29;--:--;    880.652
1938-01-30;--:--;    656.950
1938-01-31;--:--;    656.950
1938-02-01;--:--;    707.920
1938-02-02;--:--;    447.405
1938-02-03;--:--;    365.287
1938-02-04;--:--;    339.802
1938-02-05;--:--;    328.475
1938-02-06;--:--;    274.956
1938-02-07;--:--;    247.772
1938-02-08;--:--;    222.287
1938-02-09;--:--;    195.669
1938-02-10;--:--;    181.228
1938-02-11;--:--;    143.283
1938-02-12;--:--;    107.604
1938-02-13;--:--;     73.907
1938-02-14;--:--;     51.537
1938-02-15;--:--;     75.323
1938-02-16;--:--;    105.905
1938-02-17;--:--;    118.931
1938-02-18;--:--;    163.105
1938-02-19;--:--;    203.315
1938-02-20;--:--;    274.956
1938-02-21;--:--;    311.485
1938-02-22;--:--;    552.178
1938-02-23;--:--;   1084.533
1938-02-24;--:--;   1016.573
1938-02-25;--:--;    781.544
1938-02-26;--:--;    608.811
1938-02-27;--:--;    512.534
1938-02-28;--:--;    373.782
1938-03-01;--:--;    317.148
1938-03-02;--:--;    270.709
1938-03-03;--:--;    231.348
1938-03-04;--:--;    178.962
1938-03-05;--:--;    125.727
1938-03-06;--:--;     87.216
1938-03-07;--:--;     66.828
1938-03-08;--:--;     52.952
1938-03-09;--:--;     52.952
1938-03-10;--:--;    102.790
1938-03-11;--:--;    130.824
1938-03-12;--:--;    129.125
1938-03-13;--:--;    151.212
1938-03-14;--:--;    141.301
1938-03-15;--:--;    137.620
1938-03-16;--:--;    143.283
1938-03-17;--:--;    149.230
1938-03-18;--:--;    167.635
1938-03-19;--:--;    185.758
1938-03-20;--:--;    195.669
1938-03-21;--:--;    195.669
1938-03-22;--:--;    181.228
1938-03-23;--:--;    157.158
1938-03-24;--:--;    141.301
1938-03-25;--:--;    122.329
1938-03-26;--:--;    115.533
1938-03-27;--:--;     97.976
1938-03-28;--:--;     84.101
1938-03-29;--:--;     91.746
1938-03-30;--:--;    105.905
1938-03-31;--:--;    115.533
1938-04-01;--:--;    124.594
1938-04-02;--:--;    135.921
1938-04-03;--:--;    159.140
1938-04-04;--:--;    198.218
1938-04-05;--:--;    247.772
1938-04-06;--:--;    339.802
1938-04-07;--:--;    427.584
1938-04-08;--:--;    467.227
1938-04-09;--:--;    455.900
1938-04-10;--:--;    427.584
1938-04-11;--:--;    410.594
1938-04-12;--:--;    379.445
1938-04-13;--:--;    379.445
1938-04-14;--:--;    402.099
1938-04-15;--:--;    396.435
1938-04-16;--:--;    396.435
1938-04-17;--:--;    339.802
1938-04-18;--:--;    308.653
1938-04-19;--:--;    279.487
1938-04-20;--:--;    244.374
1938-04-21;--:--;    216.624
1938-04-22;--:--;    203.315
1938-04-23;--:--;    210.960
1938-04-24;--:--;    213.792
1938-04-25;--:--;    237.578
1938-04-26;--:--;    258.816
1938-04-27;--:--;    247.772
1938-04-28;--:--;    222.287
1938-04-29;--:--;    181.228
1938-04-30;--:--;    132.523
1938-05-01;--:--;     87.216
1938-05-02;--:--;     50.404
1938-05-03;--:--;     31.998
1938-05-04;--:--;     23.220
1938-05-05;--:--;     18.264
1938-05-06;--:--;     15.716
1938-05-07;--:--;     14.866
1938-05-08;--:--;     12.516
1938-05-09;--:--;     11.780
1938-05-10;--:--;     11.072
1938-05-11;--:--;     10.392
1938-05-12;--:--;     10.392
1938-05-13;--:--;      9.061
1938-05-14;--:--;      8.410
1938-05-15;--:--;      7.787
1938-05-16;--:--;      6.909
1938-05-17;--:--;      6.909
