# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4131031
# River:                 SAINT JOHN RIVER
# Station:               DICKEY, ME
# Country:               US
# Latitude (DD):       47.1123
# Longitude (DD):      -69.0898
# Catchment area (km²):      6941.2
# Altitude (m ASL):        179.95
# Next downstream station:      4147030
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1910-07 - 2019-03
# No. of years:          110
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 39704
# DATA
YYYY-MM-DD;hh:mm; Value
1910-07-05;--:--;     28.883
1910-07-06;--:--;     25.768
1910-07-07;--:--;     28.883
1910-07-08;--:--;     28.883
1910-07-09;--:--;     25.768
1910-07-10;--:--;     22.937
1910-07-11;--:--;     20.105
1910-07-12;--:--;     20.105
1910-07-13;--:--;     17.556
1910-07-14;--:--;     17.556
1910-07-15;--:--;     15.291
1910-07-16;--:--;     15.291
1910-07-17;--:--;     15.291
1910-07-18;--:--;     13.309
1910-07-19;--:--;     11.610
1910-07-20;--:--;      9.911
1910-07-21;--:--;      9.911
1910-07-22;--:--;     11.610
1910-07-23;--:--;     13.309
1910-07-24;--:--;     17.556
1910-07-25;--:--;     25.768
1910-07-26;--:--;     32.281
1910-07-27;--:--;     43.608
1910-07-28;--:--;     51.820
1910-07-29;--:--;     90.331
1910-07-30;--:--;     95.711
1910-07-31;--:--;     95.711
1910-08-01;--:--;     74.756
1910-08-02;--:--;     65.129
1910-08-03;--:--;     56.067
1910-08-04;--:--;     47.572
1910-08-05;--:--;     84.950
1910-08-06;--:--;     84.950
1910-08-07;--:--;     65.129
1910-08-08;--:--;     60.598
1910-08-09;--:--;     56.067
1910-08-10;--:--;     39.644
1910-08-11;--:--;     39.644
