# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4135215
# River:                 SANDUSKY RIVER
# Station:               NEAR MEXICO, OHIO
# Country:               US
# Latitude (DD):       41.0442
# Longitude (DD):      -83.1949
# Catchment area (km²):      2004.7
# Altitude (m ASL):        223.45
# Next downstream station:      4135210
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923-03 - 1982-10
# No. of years:          60
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21769
# DATA
YYYY-MM-DD;hh:mm; Value
1923-03-01;--:--;     31.148
1923-03-02;--:--;     16.990
1923-03-03;--:--;     14.017
1923-03-04;--:--;     15.008
1923-03-05;--:--;     36.246
1923-03-06;--:--;     27.750
1923-03-07;--:--;     23.220
1923-03-08;--:--;     15.008
1923-03-09;--:--;     10.081
1923-03-10;--:--;     15.999
1923-03-11;--:--;     64.562
1923-03-12;--:--;     87.499
1923-03-13;--:--;     78.154
1923-03-14;--:--;     53.236
1923-03-15;--:--;     30.016
1923-03-16;--:--;     61.164
1923-03-17;--:--;     89.481
1923-03-18;--:--;     57.766
1923-03-19;--:--;     32.281
1923-03-20;--:--;     18.972
1923-03-21;--:--;     14.017
1923-03-22;--:--;     31.148
1923-03-23;--:--;    101.374
1923-03-24;--:--;    112.135
1923-03-25;--:--;     81.552
1923-03-26;--:--;     31.148
1923-03-27;--:--;     19.963
1923-03-28;--:--;     14.017
1923-03-29;--:--;     11.553
1923-03-30;--:--;      8.212
1923-03-31;--:--;      6.683
1923-04-01;--:--;      4.814
1923-04-02;--:--;      4.531
1923-04-03;--:--;      5.097
1923-04-04;--:--;      7.051
1923-04-05;--:--;     81.552
1923-04-06;--:--;    112.135
1923-04-07;--:--;    101.374
1923-04-08;--:--;     44.741
1923-04-09;--:--;     24.352
1923-04-10;--:--;     16.990
1923-04-11;--:--;     11.553
1923-04-12;--:--;     10.081
1923-04-13;--:--;      7.815
1923-04-14;--:--;      7.051
1923-04-15;--:--;      6.683
1923-04-16;--:--;      6.343
1923-04-17;--:--;      5.692
1923-04-18;--:--;      5.380
1923-04-19;--:--;      4.531
1923-04-20;--:--;      4.248
1923-04-21;--:--;      3.964
1923-04-22;--:--;      3.426
1923-04-23;--:--;      3.087
1923-04-24;--:--;      3.087
1923-04-25;--:--;      2.690
