# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4146230
# River:                 NAVARRO RIVER
# Station:               NEAR NAVARRO, CA
# Country:               US
# Latitude (DD):       39.1721
# Longitude (DD):      -123.6694
# Catchment area (km²):      784.8
# Altitude (m ASL):        1.46
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-10 - 2019-06
# No. of years:          70
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 25092
# DATA
YYYY-MM-DD;hh:mm; Value
1950-10-01;--:--;      7.362
1950-10-02;--:--;      7.362
1950-10-03;--:--;      7.362
1950-10-04;--:--;      7.362
1950-10-05;--:--;      7.362
1950-10-06;--:--;      7.362
1950-10-07;--:--;      7.362
1950-10-08;--:--;      7.362
1950-10-09;--:--;      7.362
1950-10-10;--:--;      7.362
1950-10-11;--:--;      7.362
1950-10-12;--:--;      7.362
1950-10-13;--:--;      7.362
1950-10-14;--:--;      7.362
1950-10-15;--:--;      7.362
1950-10-16;--:--;      7.362
1950-10-17;--:--;      7.362
1950-10-18;--:--;      7.362
1950-10-19;--:--;      7.362
1950-10-20;--:--;      7.362
1950-10-21;--:--;      7.362
1950-10-22;--:--;      7.362
1950-10-23;--:--;      7.362
1950-10-24;--:--;      7.362
1950-10-25;--:--;      7.362
1950-10-26;--:--;      7.362
1950-10-27;--:--;      7.362
1950-10-28;--:--;      7.362
1950-10-29;--:--;      7.362
1950-10-30;--:--;      7.362
1950-10-31;--:--;      7.362
1950-11-01;--:--;      8.382
1950-11-02;--:--;      8.382
1950-11-03;--:--;      8.382
1950-11-04;--:--;      8.382
1950-11-05;--:--;      8.382
1950-11-06;--:--;      8.382
1950-11-07;--:--;      8.382
1950-11-08;--:--;      8.382
1950-11-09;--:--;      8.382
1950-11-10;--:--;      8.382
1950-11-11;--:--;      8.382
1950-11-12;--:--;      1.614
1950-11-13;--:--;      1.557
1950-11-14;--:--;      1.529
1950-11-15;--:--;      1.586
1950-11-16;--:--;     61.731
1950-11-17;--:--;     33.697
1950-11-18;--:--;     39.927
1950-11-19;--:--;     38.794
1950-11-20;--:--;     28.600
1950-11-21;--:--;     34.546
1950-11-22;--:--;     25.117
1950-11-23;--:--;     18.264
1950-11-24;--:--;     13.649
1950-11-25;--:--;     10.562
1950-11-26;--:--;      8.382
1950-11-27;--:--;      8.467
1950-11-28;--:--;      8.042
1950-11-29;--:--;      6.541
1950-11-30;--:--;      6.938
1950-12-01;--:--;      7.561
1950-12-02;--:--;      8.155
1950-12-03;--:--;    331.307
1950-12-04;--:--;    186.891
1950-12-05;--:--;     70.509
1950-12-06;--:--;     56.634
1950-12-07;--:--;     73.057
1950-12-08;--:--;     59.465
1950-12-09;--:--;     58.333
1950-12-10;--:--;     44.741
1950-12-11;--:--;     48.988
1950-12-12;--:--;     41.343
1950-12-13;--:--;     35.113
1950-12-14;--:--;     60.032
1950-12-15;--:--;     52.103
1950-12-16;--:--;     40.776
1950-12-17;--:--;     32.564
1950-12-18;--:--;     26.278
1950-12-19;--:--;     21.804
1950-12-20;--:--;     18.264
1950-12-21;--:--;     15.461
1950-12-22;--:--;     13.450
1950-12-23;--:--;     11.610
1950-12-24;--:--;     10.166
1950-12-25;--:--;      9.061
1950-12-26;--:--;      8.042
1950-12-27;--:--;      6.938
1950-12-28;--:--;      6.315
1950-12-29;--:--;      5.748
1950-12-30;--:--;      5.748
1950-12-31;--:--;      5.324
1951-01-01;--:--;      4.502
1951-01-02;--:--;      4.559
1951-01-03;--:--;     18.406
1951-01-04;--:--;     19.850
1951-01-05;--:--;     16.905
1951-01-06;--:--;     14.385
1951-01-07;--:--;     12.318
1951-01-08;--:--;     11.610
1951-01-09;--:--;     11.412
1951-01-10;--:--;     45.590
1951-01-11;--:--;     82.685
1951-01-12;--:--;     93.729
1951-01-13;--:--;     52.952
1951-01-14;--:--;     37.661
1951-01-15;--:--;     47.006
1951-01-16;--:--;     50.121
1951-01-17;--:--;     84.101
1951-01-18;--:--;    160.273
1951-01-19;--:--;    116.665
1951-01-20;--:--;     71.075
1951-01-21;--:--;    235.029
1951-01-22;--:--;    365.287
1951-01-23;--:--;    142.434
1951-01-24;--:--;     81.836
1951-01-25;--:--;     58.333
1951-01-26;--:--;     45.590
1951-01-27;--:--;     37.095
1951-01-28;--:--;     30.582
1951-01-29;--:--;     26.136
1951-01-30;--:--;     22.823
1951-01-31;--:--;     19.737
1951-02-01;--:--;     18.038
1951-02-02;--:--;     16.679
1951-02-03;--:--;     17.358
1951-02-04;--:--;     98.826
1951-02-05;--:--;    164.237
1951-02-06;--:--;     79.570
1951-02-07;--:--;     55.501
1951-02-08;--:--;     44.174
1951-02-09;--:--;     37.095
1951-02-10;--:--;     34.546
1951-02-11;--:--;     95.428
1951-02-12;--:--;     90.614
1951-02-13;--:--;     65.695
1951-02-14;--:--;     52.103
1951-02-15;--:--;     43.608
1951-02-16;--:--;     36.812
1951-02-17;--:--;     32.281
1951-02-18;--:--;     29.449
1951-02-19;--:--;     25.117
1951-02-20;--:--;     22.710
1951-02-21;--:--;     23.333
1951-02-22;--:--;     20.898
1951-02-23;--:--;     21.408
1951-02-24;--:--;     18.944
1951-02-25;--:--;     17.358
1951-02-26;--:--;     15.999
1951-02-27;--:--;     15.036
1951-02-28;--:--;     16.679
1951-03-01;--:--;     21.408
1951-03-02;--:--;     18.831
1951-03-03;--:--;     17.132
1951-03-04;--:--;     35.679
1951-03-05;--:--;     59.748
1951-03-06;--:--;     61.164
1951-03-07;--:--;     63.996
1951-03-08;--:--;     54.085
1951-03-09;--:--;     59.182
1951-03-10;--:--;     49.554
1951-03-11;--:--;     42.475
1951-03-12;--:--;     36.529
1951-03-13;--:--;     31.432
1951-03-14;--:--;     27.666
1951-03-15;--:--;     23.956
1951-03-16;--:--;     20.416
1951-03-17;--:--;     18.264
1951-03-18;--:--;     15.999
1951-03-19;--:--;     14.385
1951-03-20;--:--;     12.828
1951-03-21;--:--;     11.525
1951-03-22;--:--;     10.562
1951-03-23;--:--;      9.798
1951-03-24;--:--;      8.976
1951-03-25;--:--;      8.467
1951-03-26;--:--;      7.900
1951-03-27;--:--;      7.419
1951-03-28;--:--;      6.938
1951-03-29;--:--;      6.626
1951-03-30;--:--;      6.315
1951-03-31;--:--;      5.947
1951-04-01;--:--;      5.748
1951-04-02;--:--;      5.465
1951-04-03;--:--;      5.324
1951-04-04;--:--;      5.125
1951-04-05;--:--;      4.927
1951-04-06;--:--;      4.814
1951-04-07;--:--;      4.701
1951-04-08;--:--;      4.502
1951-04-09;--:--;      4.276
1951-04-10;--:--;      4.049
1951-04-11;--:--;      3.879
1951-04-12;--:--;      3.794
1951-04-13;--:--;      3.681
1951-04-14;--:--;      3.681
1951-04-15;--:--;      3.568
1951-04-16;--:--;      3.540
1951-04-17;--:--;      3.568
1951-04-18;--:--;      3.568
1951-04-19;--:--;      3.540
1951-04-20;--:--;      3.341
1951-04-21;--:--;      3.200
1951-04-22;--:--;      3.058
1951-04-23;--:--;      2.945
1951-04-24;--:--;      2.888
1951-04-25;--:--;      3.030
1951-04-26;--:--;      2.973
1951-04-27;--:--;      2.803
1951-04-28;--:--;      5.409
1951-04-29;--:--;      6.853
1951-04-30;--:--;      4.927
1951-05-01;--:--;      3.993
1951-05-02;--:--;      3.681
1951-05-03;--:--;      6.003
1951-05-04;--:--;     20.162
1951-05-05;--:--;     19.850
1951-05-06;--:--;     12.629
1951-05-07;--:--;      9.146
1951-05-08;--:--;      7.249
1951-05-09;--:--;      6.173
1951-05-10;--:--;      5.409
1951-05-11;--:--;      4.927
1951-05-12;--:--;      4.757
1951-05-13;--:--;      4.332
1951-05-14;--:--;      3.993
1951-05-15;--:--;      3.681
1951-05-16;--:--;      3.370
1951-05-17;--:--;      3.200
1951-05-18;--:--;      3.030
1951-05-19;--:--;      2.860
1951-05-20;--:--;      2.690
1951-05-21;--:--;      2.577
1951-05-22;--:--;      2.520
1951-05-23;--:--;      2.435
1951-05-24;--:--;      2.379
1951-05-25;--:--;      2.265
1951-05-26;--:--;      2.180
1951-05-27;--:--;      2.067
1951-05-28;--:--;      1.926
