# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4146910
# River:                 WEST FORK SAN LUIS REY RIVER
# Station:               NEAR WARNER SPRINGS, CA
# Country:               US
# Latitude (DD):       33.2967
# Longitude (DD):      -116.7597
# Catchment area (km²):      66.0
# Altitude (m ASL):        853.44
# Next downstream station:      4146900
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1913-04 - 1986-09
# No. of years:          74
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 26846
# DATA
YYYY-MM-DD;hh:mm; Value
1913-04-01;--:--;      0.340
1913-04-02;--:--;      0.340
1913-04-03;--:--;      0.340
1913-04-04;--:--;      0.212
1913-04-05;--:--;      0.212
1913-04-06;--:--;      0.212
1913-04-07;--:--;      0.212
1913-04-08;--:--;      0.212
1913-04-09;--:--;      0.142
1913-04-10;--:--;      0.142
1913-04-11;--:--;      0.142
1913-04-12;--:--;      0.142
1913-04-13;--:--;      0.142
1913-04-14;--:--;      0.142
1913-04-15;--:--;      0.142
1913-04-16;--:--;      0.142
1913-04-17;--:--;      0.142
1913-04-18;--:--;      0.142
1913-04-19;--:--;      0.142
1913-04-20;--:--;      0.142
1913-04-21;--:--;      0.142
1913-04-22;--:--;      0.142
1913-04-23;--:--;      0.198
1913-04-24;--:--;      0.184
1913-04-25;--:--;      0.170
1913-04-26;--:--;      0.156
1913-04-27;--:--;      0.142
1913-04-28;--:--;      0.127
1913-04-29;--:--;      0.113
1913-04-30;--:--;      0.099
1913-05-01;--:--;      0.085
1913-05-02;--:--;      0.085
1913-05-03;--:--;      0.085
1913-05-04;--:--;      0.085
1913-05-05;--:--;      0.071
1913-05-06;--:--;      0.071
1913-05-07;--:--;      0.071
1913-05-08;--:--;      0.071
1913-05-09;--:--;      0.071
1913-05-10;--:--;      0.071
1913-05-11;--:--;      0.071
1913-05-12;--:--;      0.071
1913-05-13;--:--;      0.057
1913-05-14;--:--;      0.057
1913-05-15;--:--;      0.057
1913-05-16;--:--;      0.057
1913-05-17;--:--;      0.042
1913-05-18;--:--;      0.042
1913-05-19;--:--;      0.042
1913-05-20;--:--;      0.042
