# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4147480
# River:                 FARMINGTON RIVER
# Station:               RAINBOW, CONN.
# Country:               US
# Latitude (DD):       41.9115
# Longitude (DD):      -72.6873
# Catchment area (km²):      1528.1
# Altitude (m ASL):        10.78
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1928-10 - 1988-02
# No. of years:          61
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21673
# DATA
YYYY-MM-DD;hh:mm; Value
1928-10-01;--:--;     12.176
1928-10-02;--:--;     16.933
1928-10-03;--:--;     17.613
1928-10-04;--:--;     17.443
1928-10-05;--:--;     17.273
1928-10-06;--:--;     17.273
1928-10-07;--:--;     15.065
1928-10-08;--:--;     11.129
1928-10-09;--:--;     13.875
1928-10-10;--:--;     15.234
1928-10-11;--:--;     14.555
1928-10-12;--:--;     14.555
1928-10-13;--:--;     13.196
1928-10-14;--:--;      9.883
1928-10-15;--:--;      8.552
1928-10-16;--:--;     12.743
1928-10-17;--:--;     13.705
1928-10-18;--:--;     14.725
1928-10-19;--:--;     15.234
1928-10-20;--:--;     13.819
1928-10-21;--:--;     11.723
1928-10-22;--:--;      9.061
1928-10-23;--:--;     13.875
1928-10-24;--:--;     14.045
1928-10-25;--:--;     13.875
1928-10-26;--:--;     13.564
1928-10-27;--:--;     12.969
1928-10-28;--:--;     10.845
1928-10-29;--:--;      8.240
1928-10-30;--:--;     13.875
1928-10-31;--:--;     13.875
1928-11-01;--:--;     13.649
1928-11-02;--:--;     12.799
1928-11-03;--:--;     13.366
1928-11-04;--:--;     11.213
1928-11-05;--:--;      7.646
1928-11-06;--:--;     13.875
1928-11-07;--:--;     13.705
1928-11-08;--:--;     14.215
1928-11-09;--:--;     14.696
1928-11-10;--:--;     13.592
1928-11-11;--:--;     11.100
1928-11-12;--:--;      6.485
1928-11-13;--:--;     11.723
1928-11-14;--:--;     12.629
1928-11-15;--:--;     12.176
1928-11-16;--:--;     11.865
1928-11-17;--:--;     12.629
1928-11-18;--:--;      8.722
1928-11-19;--:--;      7.108
1928-11-20;--:--;     14.725
1928-11-21;--:--;     14.385
1928-11-22;--:--;     13.196
1928-11-23;--:--;     11.723
1928-11-24;--:--;     11.582
1928-11-25;--:--;      9.146
1928-11-26;--:--;      6.909
1928-11-27;--:--;     11.836
1928-11-28;--:--;     10.704
1928-11-29;--:--;     10.024
1928-11-30;--:--;      6.739
1928-12-01;--:--;     14.555
1928-12-02;--:--;     14.385
1928-12-03;--:--;     16.933
1928-12-04;--:--;     17.103
1928-12-05;--:--;     16.877
1928-12-06;--:--;     16.084
1928-12-07;--:--;     14.215
1928-12-08;--:--;     11.865
1928-12-09;--:--;      9.798
1928-12-10;--:--;     10.364
