# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4149411
# River:                 TOMBIGBEE RIVER
# Station:               COLUMBUS, MS
# Country:               US
# Latitude (DD):       33.4903
# Longitude (DD):      -88.4242
# Catchment area (km²):      11559.2
# Altitude (m ASL):        39.29
# Next downstream station:      4149410
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1899-10 - 1993-09
# No. of years:          95
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 34333
# DATA
YYYY-MM-DD;hh:mm; Value
1899-10-01;--:--;      6.230
1899-10-02;--:--;      6.230
1899-10-03;--:--;      7.362
1899-10-04;--:--;      8.495
1899-10-05;--:--;      8.495
1899-10-06;--:--;      7.362
1899-10-07;--:--;      8.495
1899-10-08;--:--;      8.495
1899-10-09;--:--;      7.362
1899-10-10;--:--;      7.362
1899-10-11;--:--;      6.230
1899-10-12;--:--;      7.362
1899-10-13;--:--;      8.495
1899-10-14;--:--;      7.362
1899-10-15;--:--;      7.362
1899-10-16;--:--;      8.495
1899-10-17;--:--;      8.495
1899-10-18;--:--;      8.495
1899-10-19;--:--;      8.495
1899-10-20;--:--;      7.362
1899-10-21;--:--;      9.628
1899-10-22;--:--;      8.495
1899-10-23;--:--;      7.362
1899-10-24;--:--;      7.362
1899-10-25;--:--;      6.230
1899-10-26;--:--;      6.230
1899-10-27;--:--;      7.362
1899-10-28;--:--;      8.495
1899-10-29;--:--;      9.628
1899-10-30;--:--;      9.628
1899-10-31;--:--;      8.495
1899-11-01;--:--;      8.495
1899-11-02;--:--;      7.362
1899-11-03;--:--;      8.495
1899-11-04;--:--;      8.495
1899-11-05;--:--;      7.362
1899-11-06;--:--;      7.362
1899-11-07;--:--;      8.495
1899-11-08;--:--;      8.495
1899-11-09;--:--;      9.628
1899-11-10;--:--;      9.628
1899-11-11;--:--;      9.628
1899-11-12;--:--;     10.760
1899-11-13;--:--;     10.760
1899-11-14;--:--;      9.628
1899-11-15;--:--;      9.628
1899-11-16;--:--;      8.495
1899-11-17;--:--;      8.495
1899-11-18;--:--;      7.362
1899-11-19;--:--;      8.495
1899-11-20;--:--;      8.495
1899-11-21;--:--;      9.628
1899-11-22;--:--;     13.309
1899-11-23;--:--;     30.299
1899-11-24;--:--;     33.980
1899-11-25;--:--;     36.246
1899-11-26;--:--;     47.006
1899-11-27;--:--;     56.067
1899-11-28;--:--;     62.863
1899-11-29;--:--;     67.960
1899-11-30;--:--;     73.057
1899-12-01;--:--;     70.509
1899-12-02;--:--;     56.067
1899-12-03;--:--;     40.210
1899-12-04;--:--;     28.600
1899-12-05;--:--;     25.344
1899-12-06;--:--;     22.229
1899-12-07;--:--;     20.671
1899-12-08;--:--;     19.114
1899-12-09;--:--;     17.556
1899-12-10;--:--;     19.114
1899-12-11;--:--;    297.327
1899-12-12;--:--;    600.317
1899-12-13;--:--;    580.495
1899-12-14;--:--;    458.733
1899-12-15;--:--;    441.743
1899-12-16;--:--;    387.941
1899-12-17;--:--;    302.990
1899-12-18;--:--;    211.810
1899-12-19;--:--;    222.570
1899-12-20;--:--;    259.949
1899-12-21;--:--;    271.275
1899-12-22;--:--;    259.949
1899-12-23;--:--;    393.604
1899-12-24;--:--;    458.733
1899-12-25;--:--;    509.703
1899-12-26;--:--;    407.763
1899-12-27;--:--;    317.149
1899-12-28;--:--;    331.307
1899-12-29;--:--;    331.307
1899-12-30;--:--;    302.990
1899-12-31;--:--;    229.933
1900-01-01;--:--;    184.060
1900-01-02;--:--;    142.717
1900-01-03;--:--;    130.257
1900-01-04;--:--;    124.028
1900-01-05;--:--;    117.798
1900-01-06;--:--;    111.568
1900-01-07;--:--;    108.737
1900-01-08;--:--;    105.905
1900-01-09;--:--;    103.073
1900-01-10;--:--;    103.073
1900-01-11;--:--;    136.487
1900-01-12;--:--;    297.327
1900-01-13;--:--;    368.119
1900-01-14;--:--;    317.149
1900-01-15;--:--;    259.949
1900-01-16;--:--;    222.570
1900-01-17;--:--;    161.406
1900-01-18;--:--;    148.947
1900-01-19;--:--;    142.717
1900-01-20;--:--;    139.602
1900-01-21;--:--;    133.372
1900-01-22;--:--;    130.257
1900-01-23;--:--;    124.028
1900-01-24;--:--;    117.798
1900-01-25;--:--;    111.568
1900-01-26;--:--;    108.737
1900-01-27;--:--;    103.073
1900-01-28;--:--;     97.410
1900-01-29;--:--;     94.578
1900-01-30;--:--;     91.747
1900-01-31;--:--;     88.915
1900-02-01;--:--;     88.915
1900-02-02;--:--;     86.083
1900-02-03;--:--;     83.252
1900-02-04;--:--;     88.915
1900-02-05;--:--;    130.257
1900-02-06;--:--;    184.060
1900-02-07;--:--;    184.060
1900-02-08;--:--;    177.263
1900-02-09;--:--;    208.412
1900-02-10;--:--;    370.951
1900-02-11;--:--;    345.466
1900-02-12;--:--;    339.802
1900-02-13;--:--;    450.238
1900-02-14;--:--;    433.248
1900-02-15;--:--;    359.624
1900-02-16;--:--;    267.594
1900-02-17;--:--;    222.570
1900-02-18;--:--;    194.254
1900-02-19;--:--;    173.865
1900-02-20;--:--;    161.406
1900-02-21;--:--;    184.060
1900-02-22;--:--;    259.949
1900-02-23;--:--;    252.303
1900-02-24;--:--;    219.172
1900-02-25;--:--;    237.295
1900-02-26;--:--;    237.295
1900-02-27;--:--;    197.652
1900-02-28;--:--;    208.412
1900-03-01;--:--;    317.149
1900-03-02;--:--;    305.822
1900-03-03;--:--;    259.949
1900-03-04;--:--;    215.491
1900-03-05;--:--;    194.254
1900-03-06;--:--;    180.661
1900-03-07;--:--;    339.802
1900-03-08;--:--;    648.456
1900-03-09;--:--;    682.436
1900-03-10;--:--;    620.139
1900-03-11;--:--;    498.376
1900-03-12;--:--;    436.079
1900-03-13;--:--;    302.990
1900-03-14;--:--;    211.810
1900-03-15;--:--;    229.933
1900-03-16;--:--;    259.949
1900-03-17;--:--;    244.658
1900-03-18;--:--;    222.570
1900-03-19;--:--;    416.258
1900-03-20;--:--;    705.089
1900-03-21;--:--;    829.684
1900-03-22;--:--;    869.327
1900-03-23;--:--;    877.822
1900-03-24;--:--;    826.852
1900-03-25;--:--;    685.268
1900-03-26;--:--;    504.040
1900-03-27;--:--;    345.466
1900-03-28;--:--;    222.570
1900-03-29;--:--;    197.652
1900-03-30;--:--;    170.751
1900-03-31;--:--;    177.263
1900-04-01;--:--;    219.172
