# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4101450
# River:                 SAGAVANIRKTOK RIVER
# Station:               NEAR SAGWON, ALAS.
# Country:               US
# Latitude (DD):       69.0897
# Longitude (DD):      -148.7623
# Catchment area (km²):      5718.72
# Altitude (m ASL):        304.8
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1970-08 - 1978-09
# No. of years:          9
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2973
# DATA
YYYY-MM-DD;hh:mm; Value
1970-08-11;--:--;    103.356
1970-08-12;--:--;     88.065
1970-08-13;--:--;     78.721
1970-08-14;--:--;     74.190
1970-08-15;--:--;     70.226
1970-08-16;--:--;     67.111
1970-08-17;--:--;     70.509
1970-08-18;--:--;     72.774
1970-08-19;--:--;     74.756
1970-08-20;--:--;     81.552
1970-08-21;--:--;     74.756
1970-08-22;--:--;     99.109
1970-08-23;--:--;    122.895
1970-08-24;--:--;     99.109
1970-08-25;--:--;     99.958
1970-08-26;--:--;     98.542
1970-08-27;--:--;    127.992
1970-08-28;--:--;    107.604
1970-08-29;--:--;    117.798
1970-08-30;--:--;    110.152
1970-08-31;--:--;     88.065
1970-09-01;--:--;     75.889
1970-09-02;--:--;     67.394
1970-09-03;--:--;     60.881
1970-09-04;--:--;     53.802
1970-09-05;--:--;     48.422
1970-09-06;--:--;     43.325
1970-09-07;--:--;     39.360
1970-09-08;--:--;     35.962
1970-09-09;--:--;     33.414
1970-09-10;--:--;     31.148
1970-09-11;--:--;     33.980
1970-09-12;--:--;     36.246
1970-09-13;--:--;     48.139
1970-09-14;--:--;     66.828
1970-09-15;--:--;     53.236
1970-09-16;--:--;     42.475
1970-09-17;--:--;     36.812
1970-09-18;--:--;     31.148
1970-09-19;--:--;     28.317
1970-09-20;--:--;     25.485
1970-09-21;--:--;     22.653
1970-09-22;--:--;     20.388
1970-09-23;--:--;     19.255
1970-09-24;--:--;     18.123
1970-09-25;--:--;     16.990
1970-09-26;--:--;     15.857
1970-09-27;--:--;     14.725
1970-09-28;--:--;     14.158
1970-09-29;--:--;     13.309
1970-09-30;--:--;     13.026
1970-10-01;--:--;     12.743
1970-10-02;--:--;     12.459
1970-10-03;--:--;     12.459
1970-10-04;--:--;     12.176
1970-10-05;--:--;     12.176
1970-10-06;--:--;     11.893
1970-10-07;--:--;     11.893
1970-10-08;--:--;     11.610
1970-10-09;--:--;     11.327
1970-10-10;--:--;     11.327
1970-10-11;--:--;     11.044
1970-10-12;--:--;     10.760
1970-10-13;--:--;     10.760
1970-10-14;--:--;     10.477
1970-10-15;--:--;     10.477
1970-10-16;--:--;     10.477
1970-10-17;--:--;     10.194
1970-10-18;--:--;     10.194
1970-10-19;--:--;      9.911
1970-10-20;--:--;      9.911
1970-10-21;--:--;      9.628
1970-10-22;--:--;      9.628
1970-10-23;--:--;      9.345
1970-10-24;--:--;      9.345
1970-10-25;--:--;      9.061
1970-10-26;--:--;      9.061
1970-10-27;--:--;      9.061
1970-10-28;--:--;      8.778
1970-10-29;--:--;      8.778
1970-10-30;--:--;      8.495
1970-10-31;--:--;      8.495
1970-11-01;--:--;      8.495
1970-11-02;--:--;      8.212
1970-11-03;--:--;      8.212
1970-11-04;--:--;      7.929
1970-11-05;--:--;      7.929
1970-11-06;--:--;      7.929
1970-11-07;--:--;      7.646
1970-11-08;--:--;      7.646
1970-11-09;--:--;      7.646
1970-11-10;--:--;      7.362
1970-11-11;--:--;      7.362
1970-11-12;--:--;      7.079
1970-11-13;--:--;      7.079
1970-11-14;--:--;      7.079
1970-11-15;--:--;      7.079
