# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4102110
# River:                 KUSKOKWIM RIVER
# Station:               MCGRATH AK
# Country:               US
# Latitude (DD):       62.9522
# Longitude (DD):      -155.5887
# Catchment area (km²):      30303.0
# Altitude (m ASL):        91.44
# Next downstream station:      4102100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-07 - 1973-09
# No. of years:          11
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3745
# DATA
YYYY-MM-DD;hh:mm; Value
1963-07-01;--:--;   1189.306
1963-07-02;--:--;   1302.573
1963-07-03;--:--;   1330.890
1963-07-04;--:--;   1302.573
1963-07-05;--:--;   1274.256
1963-07-06;--:--;   1217.622
1963-07-07;--:--;   1160.989
1963-07-08;--:--;   1132.672
1963-07-09;--:--;   1132.672
1963-07-10;--:--;   1104.355
1963-07-11;--:--;   1104.355
1963-07-12;--:--;   1104.355
1963-07-13;--:--;   1081.702
1963-07-14;--:--;   1078.870
1963-07-15;--:--;   1067.543
1963-07-16;--:--;   1061.880
1963-07-17;--:--;   1149.662
1963-07-18;--:--;   1245.939
1963-07-19;--:--;   1248.771
1963-07-20;--:--;   1192.137
1963-07-21;--:--;   1104.355
1963-07-22;--:--;   1067.543
1963-07-23;--:--;   1093.028
1963-07-24;--:--;   1121.345
1963-07-25;--:--;   1127.009
1963-07-26;--:--;   1149.662
1963-07-27;--:--;   1127.009
1963-07-28;--:--;   1067.543
1963-07-29;--:--;   1008.078
1963-07-30;--:--;    962.771
1963-07-31;--:--;    920.296
1963-08-01;--:--;    894.811
1963-08-02;--:--;    928.791
1963-08-03;--:--;   1005.246
