# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4102450
# River:                 TALKEETNA RIVER
# Station:               NEAR TALKEETNA, ALAS.
# Country:               US
# Latitude (DD):       62.3464
# Longitude (DD):      -150.0192
# Catchment area (km²):      5169.64
# Altitude (m ASL):        121.92
# Next downstream station:      4102810
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-06 - 2019-06
# No. of years:          56
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 20099
# DATA
YYYY-MM-DD;hh:mm; Value
1964-06-01;--:--;    764.554
1964-06-02;--:--;    707.920
1964-06-03;--:--;    651.286
1964-06-04;--:--;    611.643
1964-06-05;--:--;    710.752
1964-06-06;--:--;    532.356
1964-06-07;--:--;    580.494
1964-06-08;--:--;    569.168
1964-06-09;--:--;    538.019
1964-06-10;--:--;    506.871
1964-06-11;--:--;    495.544
1964-06-12;--:--;    515.366
1964-06-13;--:--;    506.871
1964-06-14;--:--;    487.049
1964-06-15;--:--;    487.049
1964-06-16;--:--;    492.712
1964-06-17;--:--;    453.069
1964-06-18;--:--;    450.237
1964-06-19;--:--;    424.752
1964-06-20;--:--;    393.604
1964-06-21;--:--;    402.099
1964-06-22;--:--;    396.435
1964-06-23;--:--;    399.267
1964-06-24;--:--;    385.108
1964-06-25;--:--;    376.613
1964-06-26;--:--;    368.118
1964-06-27;--:--;    339.802
1964-06-28;--:--;    339.802
1964-06-29;--:--;    311.485
1964-06-30;--:--;    311.485
1964-07-01;--:--;    283.168
1964-07-02;--:--;    277.505
1964-07-03;--:--;    280.336
1964-07-04;--:--;    283.168
1964-07-05;--:--;    271.841
1964-07-06;--:--;    297.326
1964-07-07;--:--;    288.831
1964-07-08;--:--;    270.425
1964-07-09;--:--;    254.568
1964-07-10;--:--;    266.461
1964-07-11;--:--;    280.336
1964-07-12;--:--;    277.505
1964-07-13;--:--;    291.663
1964-07-14;--:--;    294.495
1964-07-15;--:--;    297.326
1964-07-16;--:--;    305.821
1964-07-17;--:--;    311.485
1964-07-18;--:--;    294.495
1964-07-19;--:--;    282.318
1964-07-20;--:--;    266.461
1964-07-21;--:--;    245.790
1964-07-22;--:--;    238.144
1964-07-23;--:--;    221.154
1964-07-24;--:--;    236.445
1964-07-25;--:--;    238.144
1964-07-26;--:--;    239.843
1964-07-27;--:--;    248.622
1964-07-28;--:--;    268.443
1964-07-29;--:--;    294.495
1964-07-30;--:--;    351.128
1964-07-31;--:--;    362.455
1964-08-01;--:--;    336.970
1964-08-02;--:--;    325.643
1964-08-03;--:--;    282.318
1964-08-04;--:--;    322.812
1964-08-05;--:--;    325.643
1964-08-06;--:--;    297.326
1964-08-07;--:--;    286.000
1964-08-08;--:--;    266.461
1964-08-09;--:--;    258.532
1964-08-10;--:--;    246.639
1964-08-11;--:--;    238.144
1964-08-12;--:--;    221.154
1964-08-13;--:--;    244.657
1964-08-14;--:--;    227.101
1964-08-15;--:--;    219.455
1964-08-16;--:--;    229.649
1964-08-17;--:--;    227.950
1964-08-18;--:--;    220.305
1964-08-19;--:--;    220.871
1964-08-20;--:--;    215.208
1964-08-21;--:--;    218.039
1964-08-22;--:--;    212.376
1964-08-23;--:--;    243.524
1964-08-24;--:--;    266.178
1964-08-25;--:--;    226.534
1964-08-26;--:--;    192.554
1964-08-27;--:--;    172.732
1964-08-28;--:--;    164.237
1964-08-29;--:--;    158.574
1964-08-30;--:--;    152.911
1964-08-31;--:--;    150.079
1964-09-01;--:--;    144.416
1964-09-02;--:--;    141.584
1964-09-03;--:--;    138.752
1964-09-04;--:--;    132.523
1964-09-05;--:--;    131.107
1964-09-06;--:--;    124.311
1964-09-07;--:--;    116.382
1964-09-08;--:--;    111.285
1964-09-09;--:--;    114.683
1964-09-10;--:--;    109.586
1964-09-11;--:--;    105.055
1964-09-12;--:--;    103.923
1964-09-13;--:--;     98.259
1964-09-14;--:--;     99.958
1964-09-15;--:--;    102.790
1964-09-16;--:--;    115.816
1964-09-17;--:--;    115.816
1964-09-18;--:--;    103.923
1964-09-19;--:--;     95.994
1964-09-20;--:--;     92.030
1964-09-21;--:--;     88.915
1964-09-22;--:--;     87.216
1964-09-23;--:--;     94.861
1964-09-24;--:--;     92.030
1964-09-25;--:--;     88.632
1964-09-26;--:--;     98.259
1964-09-27;--:--;    105.055
1964-09-28;--:--;     98.259
1964-09-29;--:--;     95.428
1964-09-30;--:--;     94.295
1964-10-01;--:--;    109.869
1964-10-02;--:--;    106.188
1964-10-03;--:--;    101.374
1964-10-04;--:--;    100.808
1964-10-05;--:--;     95.711
1964-10-06;--:--;     96.843
1964-10-07;--:--;    116.382
1964-10-08;--:--;    133.938
1964-10-09;--:--;    136.487
1964-10-10;--:--;    121.479
1964-10-11;--:--;    113.550
1964-10-12;--:--;    105.622
1964-10-13;--:--;    101.374
1964-10-14;--:--;     97.976
1964-10-15;--:--;     93.445
1964-10-16;--:--;     90.331
1964-10-17;--:--;     85.517
1964-10-18;--:--;     74.190
1964-10-19;--:--;     66.828
1964-10-20;--:--;     72.208
1964-10-21;--:--;     77.871
1964-10-22;--:--;     79.287
1964-10-23;--:--;     65.978
1964-10-24;--:--;     61.164
1964-10-25;--:--;     63.996
1964-10-26;--:--;     62.014
1964-10-27;--:--;     67.111
1964-10-28;--:--;     64.845
1964-10-29;--:--;     61.447
1964-10-30;--:--;     56.634
1964-10-31;--:--;     54.085
1964-11-01;--:--;     52.386
1964-11-02;--:--;     50.687
1964-11-03;--:--;     43.891
1964-11-04;--:--;     43.891
1964-11-05;--:--;     43.891
1964-11-06;--:--;     43.891
1964-11-07;--:--;     43.891
1964-11-08;--:--;     43.891
1964-11-09;--:--;     43.891
1964-11-10;--:--;     43.891
1964-11-11;--:--;     43.891
1964-11-12;--:--;     43.891
1964-11-13;--:--;     43.891
1964-11-14;--:--;     43.891
1964-11-15;--:--;     43.891
1964-11-16;--:--;     43.891
1964-11-17;--:--;     43.891
1964-11-18;--:--;     43.891
1964-11-19;--:--;     43.891
1964-11-20;--:--;     43.891
1964-11-21;--:--;     43.891
1964-11-22;--:--;     43.891
1964-11-23;--:--;     43.891
1964-11-24;--:--;     43.891
1964-11-25;--:--;     43.891
1964-11-26;--:--;     43.891
1964-11-27;--:--;     43.891
1964-11-28;--:--;     43.891
1964-11-29;--:--;     43.891
1964-11-30;--:--;     43.891
1964-12-01;--:--;     31.148
1964-12-02;--:--;     31.148
1964-12-03;--:--;     31.148
1964-12-04;--:--;     31.148
1964-12-05;--:--;     31.148
1964-12-06;--:--;     31.148
1964-12-07;--:--;     31.148
1964-12-08;--:--;     31.148
1964-12-09;--:--;     31.148
1964-12-10;--:--;     31.148
1964-12-11;--:--;     31.148
1964-12-12;--:--;     31.148
1964-12-13;--:--;     31.148
1964-12-14;--:--;     31.148
1964-12-15;--:--;     31.148
1964-12-16;--:--;     31.148
1964-12-17;--:--;     31.148
1964-12-18;--:--;     31.148
1964-12-19;--:--;     31.148
1964-12-20;--:--;     31.148
1964-12-21;--:--;     31.148
1964-12-22;--:--;     31.148
1964-12-23;--:--;     31.148
1964-12-24;--:--;     31.148
1964-12-25;--:--;     31.148
1964-12-26;--:--;     31.148
1964-12-27;--:--;     31.148
1964-12-28;--:--;     31.148
1964-12-29;--:--;     31.148
1964-12-30;--:--;     31.148
1964-12-31;--:--;     31.148
1965-01-01;--:--;     20.388
1965-01-02;--:--;     20.388
1965-01-03;--:--;     20.388
1965-01-04;--:--;     20.388
1965-01-05;--:--;     20.388
1965-01-06;--:--;     20.388
1965-01-07;--:--;     20.388
1965-01-08;--:--;     20.388
1965-01-09;--:--;     20.388
1965-01-10;--:--;     20.388
1965-01-11;--:--;     20.388
