# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103520
# River:                 YUKON RIVER
# Station:               RAMPART AK
# Country:               US
# Latitude (DD):       65.5065
# Longitude (DD):      -150.1734
# Catchment area (km²):      516446.0
# Altitude (m ASL):        91.44
# Next downstream station:      4103450
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1954-10 - 1967-09
# No. of years:          14
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4740
# DATA
YYYY-MM-DD;hh:mm; Value
1954-10-09;--:--;   2633.462
1954-10-10;--:--;   -999.000
1954-10-11;--:--;   -999.000
1954-10-12;--:--;   -999.000
1954-10-13;--:--;   -999.000
1954-10-14;--:--;   -999.000
1954-10-15;--:--;   -999.000
1954-10-16;--:--;   -999.000
1954-10-17;--:--;   -999.000
1954-10-18;--:--;   -999.000
1954-10-19;--:--;   -999.000
1954-10-20;--:--;   -999.000
1954-10-21;--:--;   -999.000
1954-10-22;--:--;   -999.000
1954-10-23;--:--;   -999.000
1954-10-24;--:--;   -999.000
1954-10-25;--:--;   -999.000
1954-10-26;--:--;   -999.000
1954-10-27;--:--;   -999.000
1954-10-28;--:--;   -999.000
1954-10-29;--:--;   -999.000
1954-10-30;--:--;   -999.000
1954-10-31;--:--;   -999.000
1954-11-01;--:--;   -999.000
1954-11-02;--:--;   -999.000
1954-11-03;--:--;   -999.000
1954-11-04;--:--;   -999.000
1954-11-05;--:--;   -999.000
1954-11-06;--:--;   -999.000
1954-11-07;--:--;   -999.000
1954-11-08;--:--;   -999.000
1954-11-09;--:--;   -999.000
1954-11-10;--:--;   -999.000
1954-11-11;--:--;   -999.000
1954-11-12;--:--;   -999.000
1954-11-13;--:--;   -999.000
1954-11-14;--:--;   -999.000
1954-11-15;--:--;   -999.000
1954-11-16;--:--;   -999.000
1954-11-17;--:--;   -999.000
1954-11-18;--:--;   -999.000
1954-11-19;--:--;   -999.000
1954-11-20;--:--;   -999.000
1954-11-21;--:--;   -999.000
1954-11-22;--:--;   -999.000
1954-11-23;--:--;   -999.000
1954-11-24;--:--;   -999.000
1954-11-25;--:--;   -999.000
1954-11-26;--:--;   -999.000
1954-11-27;--:--;   -999.000
1954-11-28;--:--;   -999.000
1954-11-29;--:--;   -999.000
1954-11-30;--:--;   -999.000
1954-12-01;--:--;   -999.000
1954-12-02;--:--;   -999.000
1954-12-03;--:--;   -999.000
1954-12-04;--:--;   -999.000
1954-12-05;--:--;   -999.000
1954-12-06;--:--;   -999.000
1954-12-07;--:--;   -999.000
1954-12-08;--:--;   -999.000
1954-12-09;--:--;   -999.000
1954-12-10;--:--;   -999.000
1954-12-11;--:--;   -999.000
1954-12-12;--:--;   -999.000
1954-12-13;--:--;   -999.000
1954-12-14;--:--;   -999.000
1954-12-15;--:--;   -999.000
1954-12-16;--:--;   -999.000
1954-12-17;--:--;   -999.000
1954-12-18;--:--;   -999.000
1954-12-19;--:--;   -999.000
1954-12-20;--:--;   -999.000
1954-12-21;--:--;   -999.000
1954-12-22;--:--;   -999.000
1954-12-23;--:--;   -999.000
1954-12-24;--:--;   -999.000
1954-12-25;--:--;   -999.000
1954-12-26;--:--;   -999.000
1954-12-27;--:--;   -999.000
1954-12-28;--:--;   -999.000
1954-12-29;--:--;   -999.000
1954-12-30;--:--;   -999.000
1954-12-31;--:--;    611.643
1955-01-01;--:--;   -999.000
1955-01-02;--:--;   -999.000
1955-01-03;--:--;   -999.000
