# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103570
# River:                 CHISANA RIVER
# Station:               NORTHWAY JUNCTION, ALAS.
# Country:               US
# Latitude (DD):       63.0061
# Longitude (DD):      -141.8069
# Catchment area (km²):      8495.2
# Altitude (m ASL):        512.93
# Next downstream station:      4103751
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1949-07 - 1971-09
# No. of years:          23
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 8127
# DATA
YYYY-MM-DD;hh:mm; Value
1949-07-01;--:--;    203.881
1949-07-02;--:--;    198.218
1949-07-03;--:--;    195.386
1949-07-04;--:--;    192.554
1949-07-05;--:--;    192.554
1949-07-06;--:--;    186.891
1949-07-07;--:--;    181.228
1949-07-08;--:--;    175.564
1949-07-09;--:--;    172.732
1949-07-10;--:--;    172.732
1949-07-11;--:--;    177.546
1949-07-12;--:--;    181.511
1949-07-13;--:--;    185.758
1949-07-14;--:--;    181.511
1949-07-15;--:--;    169.618
1949-07-16;--:--;    161.689
1949-07-17;--:--;    161.689
1949-07-18;--:--;    161.689
1949-07-19;--:--;    169.618
1949-07-20;--:--;    173.582
1949-07-21;--:--;    181.511
1949-07-22;--:--;    181.511
1949-07-23;--:--;    185.758
1949-07-24;--:--;    189.723
1949-07-25;--:--;    185.758
1949-07-26;--:--;    190.006
1949-07-27;--:--;    190.006
1949-07-28;--:--;    190.006
1949-07-29;--:--;    194.253
1949-07-30;--:--;    202.748
1949-07-31;--:--;    202.748
1949-08-01;--:--;    211.243
1949-08-02;--:--;    211.243
1949-08-03;--:--;    206.996
