# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4103820
# River:                 FORTYMILE RIVER
# Station:               NEAR STEELE CREEK, ALAS.
# Country:               US
# Latitude (DD):       64.3089
# Longitude (DD):      -141.4045
# Catchment area (km²):      15229.2
# Altitude (m ASL):        365.76
# Next downstream station:      4203820
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1975-10 - 2019-03
# No. of years:          45
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15887
# DATA
YYYY-MM-DD;hh:mm; Value
1975-10-01;--:--;     42.475
1975-10-02;--:--;     42.475
1975-10-03;--:--;     39.644
1975-10-04;--:--;     36.812
1975-10-05;--:--;     33.980
1975-10-06;--:--;     33.980
1975-10-07;--:--;     31.148
1975-10-08;--:--;     28.317
1975-10-09;--:--;     28.317
1975-10-10;--:--;     25.485
1975-10-11;--:--;     22.653
1975-10-12;--:--;     21.521
1975-10-13;--:--;     19.822
1975-10-14;--:--;     18.123
1975-10-15;--:--;     15.857
1975-10-16;--:--;     14.158
1975-10-17;--:--;     11.327
1975-10-18;--:--;      9.911
1975-10-19;--:--;      8.495
1975-10-20;--:--;      6.513
1975-10-21;--:--;      5.663
1975-10-22;--:--;      4.248
1975-10-23;--:--;      3.398
1975-10-24;--:--;      2.832
1975-10-25;--:--;      2.265
1975-10-26;--:--;      1.699
1975-10-27;--:--;      1.416
1975-10-28;--:--;      1.133
1975-10-29;--:--;      0.850
1975-10-30;--:--;      0.708
1975-10-31;--:--;      0.566
1975-11-01;--:--;      0.453
1975-11-02;--:--;      0.368
1975-11-03;--:--;      0.283
1975-11-04;--:--;      0.255
1975-11-05;--:--;      0.227
1975-11-06;--:--;      0.198
1975-11-07;--:--;      0.170
1975-11-08;--:--;      0.142
1975-11-09;--:--;      0.113
1975-11-10;--:--;      0.113
1975-11-11;--:--;      0.085
1975-11-12;--:--;      0.085
1975-11-13;--:--;      0.085
1975-11-14;--:--;      0.085
1975-11-15;--:--;      0.057
1975-11-16;--:--;      0.057
1975-11-17;--:--;      0.057
1975-11-18;--:--;      0.057
1975-11-19;--:--;      0.057
1975-11-20;--:--;      0.057
1975-11-21;--:--;      0.057
1975-11-22;--:--;      0.057
1975-11-23;--:--;      0.057
1975-11-24;--:--;      0.028
1975-11-25;--:--;      0.028
1975-11-26;--:--;      0.028
1975-11-27;--:--;      0.028
1975-11-28;--:--;      0.028
1975-11-29;--:--;      0.028
1975-11-30;--:--;      0.028
1975-12-01;--:--;      0.028
1975-12-02;--:--;      0.028
1975-12-03;--:--;      0.028
1975-12-04;--:--;      0.028
1975-12-05;--:--;      0.028
1975-12-06;--:--;      0.028
1975-12-07;--:--;      0.028
1975-12-08;--:--;      0.028
1975-12-09;--:--;      0.028
1975-12-10;--:--;      0.028
1975-12-11;--:--;      0.000
1975-12-12;--:--;      0.000
1975-12-13;--:--;      0.000
1975-12-14;--:--;      0.000
1975-12-15;--:--;      0.000
1975-12-16;--:--;      0.000
1975-12-17;--:--;      0.000
1975-12-18;--:--;      0.000
1975-12-19;--:--;      0.000
1975-12-20;--:--;      0.000
1975-12-21;--:--;      0.000
1975-12-22;--:--;      0.000
1975-12-23;--:--;      0.000
1975-12-24;--:--;      0.000
1975-12-25;--:--;      0.000
1975-12-26;--:--;      0.000
1975-12-27;--:--;      0.000
1975-12-28;--:--;      0.000
1975-12-29;--:--;      0.000
1975-12-30;--:--;      0.000
1975-12-31;--:--;      0.000
1976-01-01;--:--;      0.000
1976-01-02;--:--;      0.000
1976-01-03;--:--;      0.000
1976-01-04;--:--;      0.000
1976-01-05;--:--;      0.000
1976-01-06;--:--;      0.000
1976-01-07;--:--;      0.000
