# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4115225
# River:                 CROOKED RIVER
# Station:               NEAR PRINEVILLE, OR
# Country:               US
# Latitude (DD):       44.1132
# Longitude (DD):      -120.7956
# Catchment area (km²):      6993.0
# Altitude (m ASL):        935.99
# Next downstream station:      4115226
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1941-10 - 1991-09
# No. of years:          51
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 18262
# DATA
YYYY-MM-DD;hh:mm; Value
1941-10-01;--:--;      1.133
1941-10-02;--:--;      1.104
1941-10-03;--:--;      1.104
1941-10-04;--:--;      1.076
1941-10-05;--:--;      1.076
1941-10-06;--:--;      1.161
1941-10-07;--:--;      1.246
1941-10-08;--:--;      1.331
1941-10-09;--:--;      1.331
1941-10-10;--:--;      1.331
1941-10-11;--:--;      1.388
1941-10-12;--:--;      1.388
1941-10-13;--:--;      1.388
1941-10-14;--:--;      1.388
1941-10-15;--:--;      1.331
1941-10-16;--:--;      1.303
1941-10-17;--:--;      1.189
1941-10-18;--:--;      1.189
1941-10-19;--:--;      1.388
1941-10-20;--:--;      1.388
1941-10-21;--:--;      1.218
1941-10-22;--:--;      1.218
1941-10-23;--:--;      1.218
1941-10-24;--:--;      1.218
1941-10-25;--:--;      1.246
1941-10-26;--:--;      1.218
1941-10-27;--:--;      1.331
1941-10-28;--:--;      1.416
1941-10-29;--:--;      1.444
1941-10-30;--:--;      1.586
1941-10-31;--:--;      1.869
1941-11-01;--:--;      2.039
1941-11-02;--:--;      2.095
1941-11-03;--:--;      2.379
1941-11-04;--:--;      2.945
1941-11-05;--:--;      3.823
1941-11-06;--:--;      3.823
1941-11-07;--:--;      3.370
1941-11-08;--:--;      3.030
1941-11-09;--:--;      2.747
1941-11-10;--:--;      2.633
1941-11-11;--:--;      2.577
1941-11-12;--:--;      2.690
1941-11-13;--:--;      2.520
1941-11-14;--:--;      2.747
1941-11-15;--:--;      4.276
1941-11-16;--:--;     13.394
1941-11-17;--:--;     12.828
1941-11-18;--:--;      9.514
1941-11-19;--:--;      7.164
1941-11-20;--:--;      5.663
1941-11-21;--:--;      4.389
1941-11-22;--:--;      3.653
1941-11-23;--:--;      3.540
1941-11-24;--:--;      3.596
1941-11-25;--:--;      3.738
1941-11-26;--:--;      3.426
1941-11-27;--:--;      3.285
1941-11-28;--:--;      3.653
1941-11-29;--:--;      3.426
1941-11-30;--:--;      3.511
1941-12-01;--:--;      3.653
1941-12-02;--:--;      4.049
1941-12-03;--:--;      6.428
1941-12-04;--:--;      9.996
1941-12-05;--:--;      7.844
1941-12-06;--:--;      6.796
1941-12-07;--:--;      6.428
1941-12-08;--:--;      5.748
1941-12-09;--:--;      4.955
1941-12-10;--:--;      4.502
1941-12-11;--:--;      3.964
1941-12-12;--:--;      4.106
1941-12-13;--:--;      4.134
1941-12-14;--:--;      3.908
1941-12-15;--:--;      4.389
1941-12-16;--:--;      5.663
1941-12-17;--:--;      9.033
1941-12-18;--:--;      9.033
1941-12-19;--:--;      8.722
1941-12-20;--:--;     21.606
1941-12-21;--:--;     26.448
1941-12-22;--:--;     14.753
1941-12-23;--:--;     11.553
1941-12-24;--:--;      9.684
1941-12-25;--:--;      9.175
1941-12-26;--:--;      7.844
1941-12-27;--:--;      5.324
1941-12-28;--:--;      3.738
1941-12-29;--:--;      5.324
1941-12-30;--:--;      7.306
1941-12-31;--:--;      7.844
1942-01-01;--:--;      3.115
1942-01-02;--:--;      2.549
1942-01-03;--:--;      2.322
1942-01-04;--:--;      2.633
1942-01-05;--:--;      3.511
1942-01-06;--:--;      2.803
1942-01-07;--:--;      2.747
1942-01-08;--:--;      3.653
1942-01-09;--:--;      5.437
1942-01-10;--:--;      6.796
1942-01-11;--:--;      7.306
1942-01-12;--:--;      6.683
1942-01-13;--:--;      6.060
1942-01-14;--:--;      5.550
1942-01-15;--:--;      5.239
1942-01-16;--:--;      4.955
1942-01-17;--:--;      4.672
1942-01-18;--:--;      4.587
1942-01-19;--:--;      4.842
1942-01-20;--:--;      4.842
1942-01-21;--:--;      4.587
1942-01-22;--:--;      4.587
1942-01-23;--:--;      4.672
1942-01-24;--:--;      4.842
1942-01-25;--:--;      5.550
1942-01-26;--:--;      6.428
1942-01-27;--:--;     14.357
1942-01-28;--:--;     14.357
1942-01-29;--:--;     24.352
1942-01-30;--:--;     17.330
1942-01-31;--:--;     14.158
1942-02-01;--:--;     13.592
1942-02-02;--:--;     16.339
1942-02-03;--:--;     31.998
1942-02-04;--:--;     33.414
1942-02-05;--:--;     29.166
1942-02-06;--:--;     20.247
1942-02-07;--:--;     15.942
1942-02-08;--:--;     14.158
1942-02-09;--:--;     12.828
1942-02-10;--:--;     13.026
1942-02-11;--:--;     15.149
1942-02-12;--:--;     13.960
1942-02-13;--:--;     11.553
1942-02-14;--:--;     10.166
1942-02-15;--:--;      9.514
1942-02-16;--:--;      9.345
1942-02-17;--:--;      8.863
1942-02-18;--:--;      8.297
1942-02-19;--:--;      7.362
1942-02-20;--:--;      6.428
1942-02-21;--:--;      6.796
1942-02-22;--:--;      7.079
1942-02-23;--:--;      7.419
1942-02-24;--:--;      7.164
1942-02-25;--:--;      6.683
1942-02-26;--:--;      6.173
1942-02-27;--:--;      5.975
1942-02-28;--:--;      5.975
1942-03-01;--:--;      6.060
1942-03-02;--:--;      6.796
1942-03-03;--:--;      7.306
1942-03-04;--:--;      7.051
1942-03-05;--:--;      7.561
1942-03-06;--:--;      9.175
1942-03-07;--:--;      9.175
1942-03-08;--:--;     10.647
1942-03-09;--:--;     14.555
1942-03-10;--:--;     30.016
1942-03-11;--:--;     49.838
1942-03-12;--:--;     65.695
1942-03-13;--:--;     54.085
1942-03-14;--:--;     35.396
1942-03-15;--:--;     25.683
1942-03-16;--:--;     22.059
1942-03-17;--:--;     20.700
1942-03-18;--:--;     19.595
1942-03-19;--:--;     18.123
1942-03-20;--:--;     17.330
1942-03-21;--:--;     19.199
1942-03-22;--:--;     23.956
1942-03-23;--:--;     26.703
1942-03-24;--:--;     24.183
1942-03-25;--:--;     20.048
1942-03-26;--:--;     17.528
1942-03-27;--:--;     16.537
1942-03-28;--:--;     17.925
1942-03-29;--:--;     23.475
1942-03-30;--:--;     34.546
1942-03-31;--:--;     56.067
