# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4115320
# River:                 KOOTENAY RIVER
# Station:               LIBBY, MT
# Country:               US
# Latitude (DD):       48.4008
# Longitude (DD):      -115.5532
# Catchment area (km²):      26521.6
# Altitude (m ASL):        622.26
# Next downstream station:      4115321
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1910-10 - 1991-09
# No. of years:          82
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 29585
# DATA
YYYY-MM-DD;hh:mm; Value
1910-10-01;--:--;    203.881
1910-10-02;--:--;    203.881
1910-10-03;--:--;    203.881
1910-10-04;--:--;    203.881
1910-10-05;--:--;    209.261
1910-10-06;--:--;    297.326
1910-10-07;--:--;    297.326
1910-10-08;--:--;    297.326
1910-10-09;--:--;    297.326
1910-10-10;--:--;    297.326
1910-10-11;--:--;    311.485
1910-10-12;--:--;    308.653
1910-10-13;--:--;    305.821
1910-10-14;--:--;    294.495
1910-10-15;--:--;    283.168
1910-10-16;--:--;    262.780
1910-10-17;--:--;    262.780
1910-10-18;--:--;    273.257
1910-10-19;--:--;    273.257
1910-10-20;--:--;    262.780
1910-10-21;--:--;    252.586
1910-10-22;--:--;    242.675
1910-10-23;--:--;    273.257
1910-10-24;--:--;    223.420
1910-10-25;--:--;    223.420
1910-10-26;--:--;    252.586
1910-10-27;--:--;    262.780
1910-10-28;--:--;    252.586
1910-10-29;--:--;    252.586
1910-10-30;--:--;    223.420
1910-10-31;--:--;    214.075
1910-11-01;--:--;    214.075
1910-11-02;--:--;    204.730
1910-11-03;--:--;    195.669
1910-11-04;--:--;    195.669
1910-11-05;--:--;    186.608
1910-11-06;--:--;    186.608
1910-11-07;--:--;    177.830
1910-11-08;--:--;    204.730
1910-11-09;--:--;    233.047
1910-11-10;--:--;    233.047
1910-11-11;--:--;    294.495
1910-11-12;--:--;    283.168
1910-11-13;--:--;    283.168
1910-11-14;--:--;    294.495
1910-11-15;--:--;    294.495
1910-11-16;--:--;    233.047
1910-11-17;--:--;    204.730
1910-11-18;--:--;    204.730
1910-11-19;--:--;    223.420
1910-11-20;--:--;    233.047
