# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4115321
# River:                 KOOTENAY RIVER
# Station:               NEAR COPELAND, ID
# Country:               US
# Latitude (DD):       48.9119
# Longitude (DD):      -116.4174
# Catchment area (km²):      34706.0
# Altitude (m ASL):        518.16
# Next downstream station:      4115322
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1929-05 - 1992-09
# No. of years:          64
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23164
# DATA
YYYY-MM-DD;hh:mm; Value
1929-05-01;--:--;    453.069
1929-05-02;--:--;    438.910
1929-05-03;--:--;    441.742
1929-05-04;--:--;    464.396
1929-05-05;--:--;    472.891
1929-05-06;--:--;    453.069
1929-05-07;--:--;    427.584
1929-05-08;--:--;    396.435
1929-05-09;--:--;    390.772
1929-05-10;--:--;    385.108
1929-05-11;--:--;    402.099
1929-05-12;--:--;    441.742
1929-05-13;--:--;    540.851
1929-05-14;--:--;    654.118
1929-05-15;--:--;    798.534
1929-05-16;--:--;    874.989
1929-05-17;--:--;    843.841
1929-05-18;--:--;    804.197
1929-05-19;--:--;    795.702
1929-05-20;--:--;    835.346
1929-05-21;--:--;    942.949
1929-05-22;--:--;   1098.692
1929-05-23;--:--;   1285.583
1929-05-24;--:--;   1483.800
1929-05-25;--:--;   1619.721
1929-05-26;--:--;   1645.206
1929-05-27;--:--;   1500.790
1929-05-28;--:--;   1265.761
1929-05-29;--:--;   1076.038
1929-05-30;--:--;    982.593
1929-05-31;--:--;    954.276
1929-06-01;--:--;    999.583
1929-06-02;--:--;   1158.157
1929-06-03;--:--;   1461.147
1929-06-04;--:--;   1645.206
1929-06-05;--:--;   1653.701
1929-06-06;--:--;   1571.582
1929-06-07;--:--;   1512.117
1929-06-08;--:--;   1506.454
1929-06-09;--:--;   1548.929
1929-06-10;--:--;   1580.077
1929-06-11;--:--;   1563.087
1929-06-12;--:--;   1531.939
1929-06-13;--:--;   1497.959
1929-06-14;--:--;   1500.790
1929-06-15;--:--;   1509.285
1929-06-16;--:--;   1506.454
1929-06-17;--:--;   1449.820
1929-06-18;--:--;   1359.206
1929-06-19;--:--;   1277.088
1929-06-20;--:--;   1166.652
1929-06-21;--:--;   1039.227
1929-06-22;--:--;    945.781
1929-06-23;--:--;    860.831
1929-06-24;--:--;    795.702
1929-06-25;--:--;    741.900
1929-06-26;--:--;    719.247
1929-06-27;--:--;    727.742
1929-06-28;--:--;    770.217
1929-06-29;--:--;    761.722
1929-06-30;--:--;    730.573
1929-07-01;--:--;    707.920
1929-07-02;--:--;    673.940
1929-07-03;--:--;    651.286
1929-07-04;--:--;    639.960
1929-07-05;--:--;    634.296
1929-07-06;--:--;    597.484
1929-07-07;--:--;    580.494
1929-07-08;--:--;    552.178
1929-07-09;--:--;    526.692
1929-07-10;--:--;    492.712
1929-07-11;--:--;    475.722
1929-07-12;--:--;    464.396
1929-07-13;--:--;    458.732
1929-07-14;--:--;    433.247
1929-07-15;--:--;    410.594
1929-07-16;--:--;    399.267
1929-07-17;--:--;    402.099
1929-07-18;--:--;    407.762
1929-07-19;--:--;    404.930
1929-07-20;--:--;    393.604
1929-07-21;--:--;    382.277
1929-07-22;--:--;    390.772
1929-07-23;--:--;    376.613
1929-07-24;--:--;    356.792
1929-07-25;--:--;    339.802
1929-07-26;--:--;    331.307
1929-07-27;--:--;    322.812
1929-07-28;--:--;    322.812
1929-07-29;--:--;    317.148
1929-07-30;--:--;    302.990
1929-07-31;--:--;    294.495
1929-08-01;--:--;    294.495
1929-08-02;--:--;    286.000
1929-08-03;--:--;    297.326
1929-08-04;--:--;    288.831
1929-08-05;--:--;    288.831
1929-08-06;--:--;    273.540
1929-08-07;--:--;    261.647
1929-08-08;--:--;    260.515
1929-08-09;--:--;    259.665
1929-08-10;--:--;    254.568
1929-08-11;--:--;    244.657
1929-08-12;--:--;    241.259
1929-08-13;--:--;    235.029
1929-08-14;--:--;    232.198
1929-08-15;--:--;    229.366
1929-08-16;--:--;    229.366
1929-08-17;--:--;    227.950
1929-08-18;--:--;    217.756
1929-08-19;--:--;    210.960
1929-08-20;--:--;    205.014
1929-08-21;--:--;    203.881
1929-08-22;--:--;    201.616
1929-08-23;--:--;    198.218
1929-08-24;--:--;    188.873
1929-08-25;--:--;    190.855
1929-08-26;--:--;    189.156
1929-08-27;--:--;    181.228
1929-08-28;--:--;    182.927
1929-08-29;--:--;    182.927
1929-08-30;--:--;    176.697
1929-08-31;--:--;    174.998
1929-09-01;--:--;    178.396
1929-09-02;--:--;    184.059
1929-09-03;--:--;    181.511
1929-09-04;--:--;    181.511
1929-09-05;--:--;    181.228
1929-09-06;--:--;    175.564
1929-09-07;--:--;    163.388
1929-09-08;--:--;    158.574
1929-09-09;--:--;    155.742
1929-09-10;--:--;    156.026
1929-09-11;--:--;    151.778
