# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4119080
# River:                 SAINT CROIX RIVER
# Station:               ST. CROIX FALLS, WI
# Country:               US
# Latitude (DD):       45.4069
# Longitude (DD):      -92.6472
# Catchment area (km²):      16161.6
# Altitude (m ASL):        210.29
# Next downstream station:      4119650
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1902-01 - 2018-10
# No. of years:          117
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 42652
# DATA
YYYY-MM-DD;hh:mm; Value
1902-01-01;--:--;     56.634
1902-01-02;--:--;     56.634
1902-01-03;--:--;     56.634
1902-01-04;--:--;     56.634
1902-01-05;--:--;     56.634
1902-01-06;--:--;     56.634
1902-01-07;--:--;     56.634
1902-01-08;--:--;     56.634
1902-01-09;--:--;     56.634
1902-01-10;--:--;     53.519
1902-01-11;--:--;     54.085
1902-01-12;--:--;     52.669
1902-01-13;--:--;     52.386
1902-01-14;--:--;     47.572
1902-01-15;--:--;     49.838
1902-01-16;--:--;     50.404
1902-01-17;--:--;     50.970
1902-01-18;--:--;     53.236
1902-01-19;--:--;     52.669
1902-01-20;--:--;     54.368
1902-01-21;--:--;     53.236
1902-01-22;--:--;     54.651
1902-01-23;--:--;     52.669
1902-01-24;--:--;     55.218
1902-01-25;--:--;     56.067
1902-01-26;--:--;     56.067
1902-01-27;--:--;     55.218
1902-01-28;--:--;     54.651
1902-01-29;--:--;     54.368
1902-01-30;--:--;     53.802
1902-01-31;--:--;     53.519
1902-02-01;--:--;     51.537
1902-02-02;--:--;     53.236
1902-02-03;--:--;     54.651
1902-02-04;--:--;     48.139
1902-02-05;--:--;     49.838
1902-02-06;--:--;     49.838
1902-02-07;--:--;     49.554
1902-02-08;--:--;     50.121
1902-02-09;--:--;     49.838
1902-02-10;--:--;     49.838
1902-02-11;--:--;     49.554
1902-02-12;--:--;     49.554
1902-02-13;--:--;     51.537
1902-02-14;--:--;     52.952
1902-02-15;--:--;     56.350
1902-02-16;--:--;     56.350
1902-02-17;--:--;     56.350
1902-02-18;--:--;     56.350
1902-02-19;--:--;     56.350
1902-02-20;--:--;     56.350
1902-02-21;--:--;     56.350
1902-02-22;--:--;     56.350
1902-02-23;--:--;     57.483
1902-02-24;--:--;     58.333
1902-02-25;--:--;     59.748
1902-02-26;--:--;     61.731
1902-02-27;--:--;     63.996
1902-02-28;--:--;     70.226
1902-03-01;--:--;     68.527
1902-03-02;--:--;     69.093
1902-03-03;--:--;     69.659
1902-03-04;--:--;     65.129
1902-03-05;--:--;     67.111
1902-03-06;--:--;     68.527
1902-03-07;--:--;     64.279
1902-03-08;--:--;     69.659
1902-03-09;--:--;     75.323
1902-03-10;--:--;     80.986
1902-03-11;--:--;     86.649
1902-03-12;--:--;     92.313
1902-03-13;--:--;     97.693
1902-03-14;--:--;    103.356
1902-03-15;--:--;    109.020
1902-03-16;--:--;    114.683
1902-03-17;--:--;    120.346
1902-03-18;--:--;    126.010
1902-03-19;--:--;    131.673
1902-03-20;--:--;    141.584
1902-03-21;--:--;    131.673
1902-03-22;--:--;    130.257
1902-03-23;--:--;    114.400
1902-03-24;--:--;     98.259
1902-03-25;--:--;     88.065
1902-03-26;--:--;     88.348
1902-03-27;--:--;     88.348
1902-03-28;--:--;     88.348
1902-03-29;--:--;     88.348
1902-03-30;--:--;     86.083
1902-03-31;--:--;     83.535
1902-04-01;--:--;     82.402
1902-04-02;--:--;     80.420
1902-04-03;--:--;      8.495
1902-04-04;--:--;     11.327
1902-04-05;--:--;     77.871
1902-04-06;--:--;     71.358
1902-04-07;--:--;     64.562
1902-04-08;--:--;     64.562
1902-04-09;--:--;     62.014
1902-04-10;--:--;     59.748
1902-04-11;--:--;     56.350
1902-04-12;--:--;     52.952
1902-04-13;--:--;     41.626
1902-04-14;--:--;     58.333
1902-04-15;--:--;     57.200
1902-04-16;--:--;     61.447
1902-04-17;--:--;     58.616
1902-04-18;--:--;    146.964
1902-04-19;--:--;     42.758
1902-04-20;--:--;     28.317
1902-04-21;--:--;     14.158
1902-04-22;--:--;    156.875
1902-04-23;--:--;     15.291
1902-04-24;--:--;     14.442
1902-04-25;--:--;     29.733
1902-04-26;--:--;     78.154
1902-04-27;--:--;     85.517
1902-04-28;--:--;     93.162
1902-04-29;--:--;     98.542
1902-04-30;--:--;    106.188
1902-05-01;--:--;    111.285
1902-05-02;--:--;    115.816
1902-05-03;--:--;    110.719
1902-05-04;--:--;    111.002
1902-05-05;--:--;    111.568
1902-05-06;--:--;    138.752
1902-05-07;--:--;    112.701
1902-05-08;--:--;    138.186
1902-05-09;--:--;    129.125
1902-05-10;--:--;    129.974
1902-05-11;--:--;    126.010
1902-05-12;--:--;    165.653
1902-05-13;--:--;    174.148
1902-05-14;--:--;    148.663
1902-05-15;--:--;    135.354
1902-05-16;--:--;    138.186
1902-05-17;--:--;    136.487
1902-05-18;--:--;    139.885
1902-05-19;--:--;    143.283
1902-05-20;--:--;    150.079
1902-05-21;--:--;    166.220
1902-05-22;--:--;    200.483
1902-05-23;--:--;    271.841
1902-05-24;--:--;    205.297
1902-05-25;--:--;    181.794
1902-05-26;--:--;    158.008
1902-05-27;--:--;    163.105
1902-05-28;--:--;    144.133
1902-05-29;--:--;    171.883
1902-05-30;--:--;    139.602
1902-05-31;--:--;    149.796
1902-06-01;--:--;    145.832
1902-06-02;--:--;    141.867
1902-06-03;--:--;    126.859
1902-06-04;--:--;    277.505
1902-06-05;--:--;    336.970
1902-06-06;--:--;    311.485
1902-06-07;--:--;    300.158
1902-06-08;--:--;    280.336
1902-06-09;--:--;    262.214
1902-06-10;--:--;    297.326
1902-06-11;--:--;    192.837
1902-06-12;--:--;    215.208
1902-06-13;--:--;    234.746
1902-06-14;--:--;    135.354
1902-06-15;--:--;    179.812
1902-06-16;--:--;    119.497
1902-06-17;--:--;     96.843
1902-06-18;--:--;    101.374
1902-06-19;--:--;    179.812
1902-06-20;--:--;    107.038
1902-06-21;--:--;     27.184
1902-06-22;--:--;     93.445
1902-06-23;--:--;     96.277
1902-06-24;--:--;    169.901
1902-06-25;--:--;    100.808
1902-06-26;--:--;    117.232
1902-06-27;--:--;    124.028
1902-06-28;--:--;    118.931
1902-06-29;--:--;     72.208
1902-06-30;--:--;    132.806
1902-07-01;--:--;    189.439
1902-07-02;--:--;    127.142
1902-07-03;--:--;    136.770
1902-07-04;--:--;    133.089
1902-07-05;--:--;    208.128
1902-07-06;--:--;    147.247
1902-07-07;--:--;    342.633
1902-07-08;--:--;    331.307
1902-07-09;--:--;    314.316
1902-07-10;--:--;    365.287
1902-07-11;--:--;    254.285
1902-07-12;--:--;    225.968
1902-07-13;--:--;    189.723
1902-07-14;--:--;    171.600
1902-07-15;--:--;    163.671
1902-07-16;--:--;    137.620
1902-07-17;--:--;    124.028
1902-07-18;--:--;    107.604
1902-07-19;--:--;    147.531
1902-07-20;--:--;     80.703
1902-07-21;--:--;     96.277
1902-07-22;--:--;     99.958
1902-07-23;--:--;    101.940
1902-07-24;--:--;     90.047
1902-07-25;--:--;     72.491
1902-07-26;--:--;    205.297
1902-07-27;--:--;     24.069
1902-07-28;--:--;     21.238
1902-07-29;--:--;     71.358
