# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4121301
# River:                 JAMES RIVER
# Station:               NEAR FORESTBURG, SD
# Country:               US
# Latitude (DD):       43.9739
# Longitude (DD):      -98.0709
# Catchment area (km²):      45558.1
# Altitude (m ASL):        368.3
# Next downstream station:      4121300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-03 - 2018-10
# No. of years:          69
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 25066
# DATA
YYYY-MM-DD;hh:mm; Value
1950-03-01;--:--;      0.000
1950-03-02;--:--;      0.000
1950-03-03;--:--;      0.000
1950-03-04;--:--;      0.000
1950-03-05;--:--;      0.000
1950-03-06;--:--;      0.142
1950-03-07;--:--;      0.283
1950-03-08;--:--;      0.425
1950-03-09;--:--;      0.425
1950-03-10;--:--;      0.566
1950-03-11;--:--;      0.566
1950-03-12;--:--;      0.566
1950-03-13;--:--;      0.566
1950-03-14;--:--;      0.850
1950-03-15;--:--;      0.991
1950-03-16;--:--;      0.991
1950-03-17;--:--;      1.133
1950-03-18;--:--;      1.133
1950-03-19;--:--;      0.850
1950-03-20;--:--;      0.425
1950-03-21;--:--;      0.283
1950-03-22;--:--;      0.142
1950-03-23;--:--;      0.708
1950-03-24;--:--;      3.115
1950-03-25;--:--;      9.061
1950-03-26;--:--;     15.574
1950-03-27;--:--;     24.636
1950-03-28;--:--;     26.901
1950-03-29;--:--;     34.546
1950-03-30;--:--;     41.909
1950-03-31;--:--;     53.802
1950-04-01;--:--;     62.863
1950-04-02;--:--;     64.279
1950-04-03;--:--;     67.960
1950-04-04;--:--;     74.756
1950-04-05;--:--;     79.004
1950-04-06;--:--;     79.004
1950-04-07;--:--;     83.251
1950-04-08;--:--;     84.950
1950-04-09;--:--;     84.950
1950-04-10;--:--;     86.649
1950-04-11;--:--;     74.756
1950-04-12;--:--;     81.836
1950-04-13;--:--;     74.756
1950-04-14;--:--;     61.731
1950-04-15;--:--;     49.554
1950-04-16;--:--;     40.776
1950-04-17;--:--;     36.529
1950-04-18;--:--;     31.148
1950-04-19;--:--;     27.552
1950-04-20;--:--;     25.570
1950-04-21;--:--;     21.662
1950-04-22;--:--;     19.708
1950-04-23;--:--;     18.406
1950-04-24;--:--;     17.755
1950-04-25;--:--;     17.755
1950-04-26;--:--;     18.406
1950-04-27;--:--;     18.406
1950-04-28;--:--;     17.755
1950-04-29;--:--;     16.452
1950-04-30;--:--;     16.452
1950-05-01;--:--;     16.452
1950-05-02;--:--;     16.452
1950-05-03;--:--;     16.452
1950-05-04;--:--;     16.452
1950-05-05;--:--;     16.452
1950-05-06;--:--;     20.360
1950-05-07;--:--;     22.965
1950-05-08;--:--;     22.965
1950-05-09;--:--;     22.965
1950-05-10;--:--;     22.965
1950-05-11;--:--;     22.965
1950-05-12;--:--;     22.965
1950-05-13;--:--;     27.552
1950-05-14;--:--;     29.733
1950-05-15;--:--;     34.830
1950-05-16;--:--;     44.457
1950-05-17;--:--;     54.935
1950-05-18;--:--;     62.863
1950-05-19;--:--;     70.792
1950-05-20;--:--;     77.588
1950-05-21;--:--;     86.649
1950-05-22;--:--;     98.259
1950-05-23;--:--;    113.834
1950-05-24;--:--;    129.974
1950-05-25;--:--;    140.734
1950-05-26;--:--;    140.734
1950-05-27;--:--;    140.734
1950-05-28;--:--;    140.734
1950-05-29;--:--;    140.734
1950-05-30;--:--;    146.681
