# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4121801
# River:                 MISSOURI RIVER
# Station:               OMAHA, NE
# Country:               US
# Latitude (DD):       41.2589
# Longitude (DD):      -95.9225
# Catchment area (km²):      846305.8
# Altitude (m ASL):        289.02
# Next downstream station:      4122650
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1928-09 - 2019-07
# No. of years:          92
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 33197
# DATA
YYYY-MM-DD;hh:mm; Value
1928-09-01;--:--;    792.870
1928-09-02;--:--;    821.187
1928-09-03;--:--;    770.217
1928-09-04;--:--;    741.900
1928-09-05;--:--;    707.920
1928-09-06;--:--;    693.762
1928-09-07;--:--;    693.762
1928-09-08;--:--;    679.603
1928-09-09;--:--;    662.613
1928-09-10;--:--;    634.296
1928-09-11;--:--;    634.296
1928-09-12;--:--;    753.227
1928-09-13;--:--;    724.910
1928-09-14;--:--;    699.425
1928-09-15;--:--;    753.227
1928-09-16;--:--;    801.365
1928-09-17;--:--;    716.415
1928-09-18;--:--;    685.267
1928-09-19;--:--;    671.108
1928-09-20;--:--;    648.455
1928-09-21;--:--;    642.791
1928-09-22;--:--;    625.801
1928-09-23;--:--;    620.138
1928-09-24;--:--;    991.088
1928-09-25;--:--;   1061.880
1928-09-26;--:--;    872.157
1928-09-27;--:--;    724.910
1928-09-28;--:--;    648.455
1928-09-29;--:--;    625.801
1928-09-30;--:--;    597.484
1928-10-01;--:--;    574.831
1928-10-02;--:--;    560.673
1928-10-03;--:--;    555.009
1928-10-04;--:--;    546.514
1928-10-05;--:--;    538.019
1928-10-06;--:--;    509.702
1928-10-07;--:--;    504.039
1928-10-08;--:--;    509.702
1928-10-09;--:--;    504.039
1928-10-10;--:--;    489.881
1928-10-11;--:--;    470.059
1928-10-12;--:--;    741.900
1928-10-13;--:--;    605.980
1928-10-14;--:--;    526.692
1928-10-15;--:--;    518.197
1928-10-16;--:--;    538.019
1928-10-17;--:--;    625.801
1928-10-18;--:--;    716.415
1928-10-19;--:--;    671.108
1928-10-20;--:--;    648.455
1928-10-21;--:--;    608.811
1928-10-22;--:--;    594.653
1928-10-23;--:--;    566.336
1928-10-24;--:--;    549.346
1928-10-25;--:--;    538.019
1928-10-26;--:--;    529.524
1928-10-27;--:--;    501.207
