# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122101
# River:                 ELKHORN RIVER
# Station:               NELIGH, NE
# Country:               US
# Latitude (DD):       42.1222
# Longitude (DD):      -98.0281
# Catchment area (km²):      5698.0
# Altitude (m ASL):        522.43
# Next downstream station:      4122100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930-10 - 1993-09
# No. of years:          64
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23011
# DATA
YYYY-MM-DD;hh:mm; Value
1930-10-01;--:--;      5.097
1930-10-02;--:--;      5.097
1930-10-03;--:--;      5.097
1930-10-04;--:--;      5.097
1930-10-05;--:--;      5.097
1930-10-06;--:--;      5.097
1930-10-07;--:--;      5.097
1930-10-08;--:--;      5.097
1930-10-09;--:--;      5.097
1930-10-10;--:--;      5.097
1930-10-11;--:--;      5.097
1930-10-12;--:--;      5.097
1930-10-13;--:--;      5.097
1930-10-14;--:--;      5.097
1930-10-15;--:--;      5.097
1930-10-16;--:--;      5.097
1930-10-17;--:--;      5.097
1930-10-18;--:--;      5.097
1930-10-19;--:--;      5.097
1930-10-20;--:--;      5.097
1930-10-21;--:--;      5.097
1930-10-22;--:--;      5.097
1930-10-23;--:--;      5.097
1930-10-24;--:--;      5.097
1930-10-25;--:--;      5.097
1930-10-26;--:--;      5.097
1930-10-27;--:--;      5.097
1930-10-28;--:--;      5.097
1930-10-29;--:--;      5.097
1930-10-30;--:--;      5.097
1930-10-31;--:--;      5.097
1930-11-01;--:--;      6.796
1930-11-02;--:--;      6.796
1930-11-03;--:--;      6.796
1930-11-04;--:--;      6.796
1930-11-05;--:--;      6.796
1930-11-06;--:--;      6.796
1930-11-07;--:--;      6.796
1930-11-08;--:--;      6.796
1930-11-09;--:--;      6.796
1930-11-10;--:--;      6.796
1930-11-11;--:--;      6.796
1930-11-12;--:--;      6.796
1930-11-13;--:--;      6.796
1930-11-14;--:--;      6.796
1930-11-15;--:--;      6.796
1930-11-16;--:--;      6.796
1930-11-17;--:--;      6.796
1930-11-18;--:--;      6.796
1930-11-19;--:--;      6.796
1930-11-20;--:--;      6.796
1930-11-21;--:--;      6.796
1930-11-22;--:--;      6.796
1930-11-23;--:--;      6.796
1930-11-24;--:--;      6.796
1930-11-25;--:--;      6.796
1930-11-26;--:--;      6.796
1930-11-27;--:--;      6.796
1930-11-28;--:--;      6.796
1930-11-29;--:--;      6.796
1930-11-30;--:--;      6.796
1930-12-01;--:--;      5.663
1930-12-02;--:--;      5.663
1930-12-03;--:--;      5.663
1930-12-04;--:--;      5.663
1930-12-05;--:--;      5.663
1930-12-06;--:--;      5.663
1930-12-07;--:--;      5.663
1930-12-08;--:--;      5.663
1930-12-09;--:--;      5.663
1930-12-10;--:--;      5.663
1930-12-11;--:--;      5.663
1930-12-12;--:--;      5.663
1930-12-13;--:--;      5.663
1930-12-14;--:--;      5.663
1930-12-15;--:--;      5.663
1930-12-16;--:--;      5.663
1930-12-17;--:--;      5.663
1930-12-18;--:--;      5.663
1930-12-19;--:--;      5.663
1930-12-20;--:--;      5.663
1930-12-21;--:--;      5.663
1930-12-22;--:--;      5.663
1930-12-23;--:--;      5.663
1930-12-24;--:--;      5.663
1930-12-25;--:--;      5.663
1930-12-26;--:--;      5.663
1930-12-27;--:--;      5.663
1930-12-28;--:--;      5.663
1930-12-29;--:--;      5.663
1930-12-30;--:--;      5.663
1930-12-31;--:--;      5.663
1931-01-01;--:--;      5.380
1931-01-02;--:--;      5.380
1931-01-03;--:--;      5.380
1931-01-04;--:--;      5.380
1931-01-05;--:--;      5.380
1931-01-06;--:--;      5.380
1931-01-07;--:--;      5.380
1931-01-08;--:--;      5.380
1931-01-09;--:--;      5.380
1931-01-10;--:--;      5.380
1931-01-11;--:--;      5.380
1931-01-12;--:--;      5.380
1931-01-13;--:--;      5.380
1931-01-14;--:--;      5.380
1931-01-15;--:--;      5.380
1931-01-16;--:--;      5.380
1931-01-17;--:--;      5.380
1931-01-18;--:--;      5.380
1931-01-19;--:--;      5.380
1931-01-20;--:--;      5.380
1931-01-21;--:--;      5.380
1931-01-22;--:--;      5.380
1931-01-23;--:--;      5.380
1931-01-24;--:--;      5.380
1931-01-25;--:--;      5.380
1931-01-26;--:--;      5.380
1931-01-27;--:--;      5.380
1931-01-28;--:--;      5.380
1931-01-29;--:--;      5.380
1931-01-30;--:--;      5.380
1931-01-31;--:--;      5.380
1931-02-01;--:--;      7.079
1931-02-02;--:--;      7.079
1931-02-03;--:--;      7.079
1931-02-04;--:--;      7.079
1931-02-05;--:--;      7.079
1931-02-06;--:--;      7.079
1931-02-07;--:--;      7.079
1931-02-08;--:--;      7.079
1931-02-09;--:--;      7.079
1931-02-10;--:--;      7.079
1931-02-11;--:--;      7.079
1931-02-12;--:--;      7.079
1931-02-13;--:--;      7.079
1931-02-14;--:--;      7.079
1931-02-15;--:--;      7.079
1931-02-16;--:--;      7.079
1931-02-17;--:--;      7.079
1931-02-18;--:--;      7.079
