# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122200
# River:                 BIG BLUE RIVER
# Station:               RANDOLPH, KS
# Country:               US
# Latitude (DD):       39.45
# Longitude (DD):      -96.717
# Catchment area (km²):      23569.0
# Altitude (m ASL):        315.44
# Next downstream station:      4122201
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1918-04 - 1960-09
# No. of years:          43
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15508
# DATA
YYYY-MM-DD;hh:mm; Value
1918-04-17;--:--;     12.743
1918-04-18;--:--;     13.875
1918-04-19;--:--;     13.309
1918-04-20;--:--;     15.857
1918-04-21;--:--;     15.857
1918-04-22;--:--;     15.149
1918-04-23;--:--;     15.149
1918-04-24;--:--;     17.273
1918-04-25;--:--;     17.273
1918-04-26;--:--;     17.273
1918-04-27;--:--;     16.565
1918-04-28;--:--;     15.857
1918-04-29;--:--;     17.273
1918-04-30;--:--;     15.857
1918-05-01;--:--;     15.149
1918-05-02;--:--;     15.149
1918-05-03;--:--;     13.309
1918-05-04;--:--;     13.875
1918-05-05;--:--;     12.743
1918-05-06;--:--;     12.743
1918-05-07;--:--;     13.309
1918-05-08;--:--;     13.309
1918-05-09;--:--;     12.743
1918-05-10;--:--;     13.309
1918-05-11;--:--;     10.930
1918-05-12;--:--;     10.930
1918-05-13;--:--;     11.327
1918-05-14;--:--;     10.930
1918-05-15;--:--;      8.722
1918-05-16;--:--;     11.327
1918-05-17;--:--;     11.327
1918-05-18;--:--;     11.327
1918-05-19;--:--;     10.930
1918-05-20;--:--;     10.562
1918-05-21;--:--;     10.251
1918-05-22;--:--;    191.422
1918-05-23;--:--;    342.633
1918-05-24;--:--;    288.831
1918-05-25;--:--;    119.497
1918-05-26;--:--;     60.881
1918-05-27;--:--;     44.174
1918-05-28;--:--;    430.415
1918-05-29;--:--;    359.623
1918-05-30;--:--;    160.273
1918-05-31;--:--;    124.877
1918-06-01;--:--;     96.843
1918-06-02;--:--;     63.996
1918-06-03;--:--;     76.455
1918-06-04;--:--;    171.033
1918-06-05;--:--;    119.497
1918-06-06;--:--;     76.455
1918-06-07;--:--;     58.049
1918-06-08;--:--;     46.723
1918-06-09;--:--;     41.626
1918-06-10;--:--;     43.042
1918-06-11;--:--;     36.812
1918-06-12;--:--;     29.166
1918-06-13;--:--;     26.193
1918-06-14;--:--;     22.229
1918-06-15;--:--;     15.857
1918-06-16;--:--;     18.689
1918-06-17;--:--;     20.388
1918-06-18;--:--;     18.689
1918-06-19;--:--;     16.565
1918-06-20;--:--;     14.442
1918-06-21;--:--;     13.309
1918-06-22;--:--;     13.309
1918-06-23;--:--;     12.176
1918-06-24;--:--;     12.743
1918-06-25;--:--;     11.751
1918-06-26;--:--;     12.176
1918-06-27;--:--;     12.176
1918-06-28;--:--;     11.327
1918-06-29;--:--;     12.176
1918-06-30;--:--;     10.930
1918-07-01;--:--;     11.327
1918-07-02;--:--;     12.743
1918-07-03;--:--;     11.327
1918-07-04;--:--;     10.930
1918-07-05;--:--;     10.251
1918-07-06;--:--;     11.751
1918-07-07;--:--;     10.251
1918-07-08;--:--;      9.005
1918-07-09;--:--;     10.562
1918-07-10;--:--;      9.656
1918-07-11;--:--;      9.005
1918-07-12;--:--;      9.203
1918-07-13;--:--;      9.203
1918-07-14;--:--;      9.203
1918-07-15;--:--;      9.203
1918-07-16;--:--;      9.203
1918-07-17;--:--;      9.401
1918-07-18;--:--;      9.401
1918-07-19;--:--;      9.656
1918-07-20;--:--;     10.562
1918-07-21;--:--;     10.930
1918-07-22;--:--;     10.251
1918-07-23;--:--;      9.656
1918-07-24;--:--;     16.565
1918-07-25;--:--;    167.635
1918-07-26;--:--;     53.802
1918-07-27;--:--;     37.945
1918-07-28;--:--;     24.211
1918-07-29;--:--;     18.689
1918-07-30;--:--;     27.184
1918-07-31;--:--;     17.273
1918-08-01;--:--;     13.309
1918-08-02;--:--;     14.442
1918-08-03;--:--;     12.176
1918-08-04;--:--;     10.251
1918-08-05;--:--;      9.203
1918-08-06;--:--;      9.203
1918-08-07;--:--;      9.203
1918-08-08;--:--;      9.005
1918-08-09;--:--;      9.005
1918-08-10;--:--;      8.863
1918-08-11;--:--;      9.005
1918-08-12;--:--;      9.911
1918-08-13;--:--;     16.565
1918-08-14;--:--;     25.202
1918-08-15;--:--;     52.386
1918-08-16;--:--;     28.175
1918-08-17;--:--;     20.388
1918-08-18;--:--;     17.273
1918-08-19;--:--;     19.539
1918-08-20;--:--;     20.388
1918-08-21;--:--;     12.176
1918-08-22;--:--;     10.562
1918-08-23;--:--;     10.251
1918-08-24;--:--;     13.875
1918-08-25;--:--;     11.751
1918-08-26;--:--;      9.911
1918-08-27;--:--;      9.911
1918-08-28;--:--;      8.863
1918-08-29;--:--;      8.608
1918-08-30;--:--;      9.203
