# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4122281
# River:                 GASCONADE RIVER
# Station:               NEAR RICH FOUNTAIN, MO
# Country:               US
# Latitude (DD):       38.3889
# Longitude (DD):      -91.821
# Catchment area (km²):      8236.2
# Altitude (m ASL):        168.77
# Next downstream station:      4122900
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1921-11 - 2019-06
# No. of years:          99
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35645
# DATA
YYYY-MM-DD;hh:mm; Value
1921-11-01;--:--;     31.715
1921-11-02;--:--;     28.883
1921-11-03;--:--;     27.609
1921-11-04;--:--;     26.335
1921-11-05;--:--;     23.786
1921-11-06;--:--;     23.786
1921-11-07;--:--;     23.786
1921-11-08;--:--;     22.512
1921-11-09;--:--;     23.786
1921-11-10;--:--;     25.060
1921-11-11;--:--;     23.786
1921-11-12;--:--;     23.786
1921-11-13;--:--;     22.512
1921-11-14;--:--;     22.512
1921-11-15;--:--;     21.238
1921-11-16;--:--;     21.238
1921-11-17;--:--;     21.238
1921-11-18;--:--;     21.238
1921-11-19;--:--;    181.228
1921-11-20;--:--;    206.713
1921-11-21;--:--;    172.732
1921-11-22;--:--;    134.788
1921-11-23;--:--;    102.507
1921-11-24;--:--;     78.721
1921-11-25;--:--;     75.323
1921-11-26;--:--;     92.313
1921-11-27;--:--;     88.915
1921-11-28;--:--;     82.119
1921-11-29;--:--;     78.721
1921-11-30;--:--;     75.323
1921-12-01;--:--;     72.208
1921-12-02;--:--;     92.313
1921-12-03;--:--;    112.701
1921-12-04;--:--;    120.063
1921-12-05;--:--;    123.744
1921-12-06;--:--;    131.107
1921-12-07;--:--;    109.303
1921-12-08;--:--;    102.507
1921-12-09;--:--;     92.313
1921-12-10;--:--;     78.721
1921-12-11;--:--;     72.208
1921-12-12;--:--;     65.978
1921-12-13;--:--;     59.748
1921-12-14;--:--;     56.634
1921-12-15;--:--;     53.519
1921-12-16;--:--;     50.404
1921-12-17;--:--;     50.404
1921-12-18;--:--;     53.519
1921-12-19;--:--;     50.404
1921-12-20;--:--;     47.289
1921-12-21;--:--;     44.174
1921-12-22;--:--;     44.174
1921-12-23;--:--;    127.426
1921-12-24;--:--;    145.832
1921-12-25;--:--;    109.303
1921-12-26;--:--;    102.507
1921-12-27;--:--;    102.507
1921-12-28;--:--;     95.711
1921-12-29;--:--;     85.517
1921-12-30;--:--;     78.721
1921-12-31;--:--;     69.093
1922-01-01;--:--;     62.863
1922-01-02;--:--;     59.748
1922-01-03;--:--;     56.634
1922-01-04;--:--;     53.519
1922-01-05;--:--;     59.748
1922-01-06;--:--;     56.634
1922-01-07;--:--;     53.519
1922-01-08;--:--;     53.519
1922-01-09;--:--;     53.519
1922-01-10;--:--;     50.404
1922-01-11;--:--;     50.404
1922-01-12;--:--;     47.289
1922-01-13;--:--;     47.289
1922-01-14;--:--;     42.475
1922-01-15;--:--;     41.059
1922-01-16;--:--;     39.644
1922-01-17;--:--;     39.644
1922-01-18;--:--;     37.945
1922-01-19;--:--;     37.945
1922-01-20;--:--;     37.945
1922-01-21;--:--;     34.830
1922-01-22;--:--;     36.246
1922-01-23;--:--;     34.830
1922-01-24;--:--;     33.414
1922-01-25;--:--;     30.299
1922-01-26;--:--;     27.609
1922-01-27;--:--;     30.299
1922-01-28;--:--;     33.414
1922-01-29;--:--;     31.715
1922-01-30;--:--;     27.609
1922-01-31;--:--;     31.715
1922-02-01;--:--;     59.748
1922-02-02;--:--;     69.093
1922-02-03;--:--;     62.863
1922-02-04;--:--;     69.093
1922-02-05;--:--;     62.863
1922-02-06;--:--;     59.748
1922-02-07;--:--;     53.519
1922-02-08;--:--;     50.404
1922-02-09;--:--;     47.289
1922-02-10;--:--;     42.475
1922-02-11;--:--;     41.059
1922-02-12;--:--;     41.059
1922-02-13;--:--;     39.644
1922-02-14;--:--;     34.830
1922-02-15;--:--;     33.414
1922-02-16;--:--;     31.715
1922-02-17;--:--;     30.299
1922-02-18;--:--;     30.299
1922-02-19;--:--;     30.299
1922-02-20;--:--;     28.883
1922-02-21;--:--;     27.609
1922-02-22;--:--;     27.609
1922-02-23;--:--;     44.174
1922-02-24;--:--;     59.748
1922-02-25;--:--;    134.788
1922-02-26;--:--;    127.426
1922-02-27;--:--;    109.303
1922-02-28;--:--;    102.507
1922-03-01;--:--;     92.313
1922-03-02;--:--;     85.517
1922-03-03;--:--;     72.208
1922-03-04;--:--;     69.093
1922-03-05;--:--;     72.208
1922-03-06;--:--;     72.208
1922-03-07;--:--;     72.208
1922-03-08;--:--;     78.721
1922-03-09;--:--;     85.517
1922-03-10;--:--;     92.313
1922-03-11;--:--;    105.905
1922-03-12;--:--;    134.788
1922-03-13;--:--;    153.194
1922-03-14;--:--;    294.495
1922-03-15;--:--;    237.861
1922-03-16;--:--;    262.780
1922-03-17;--:--;    224.269
1922-03-18;--:--;    193.970
1922-03-19;--:--;    172.732
1922-03-20;--:--;    153.194
1922-03-21;--:--;    181.228
1922-03-22;--:--;    164.237
1922-03-23;--:--;    153.194
1922-03-24;--:--;    193.970
1922-03-25;--:--;    242.392
1922-03-26;--:--;    413.425
1922-03-27;--:--;    368.118
1922-03-28;--:--;    390.772
1922-03-29;--:--;    373.782
1922-03-30;--:--;    402.099
1922-03-31;--:--;    605.980
1922-04-01;--:--;    730.573
1922-04-02;--:--;    767.385
1922-04-03;--:--;    594.653
1922-04-04;--:--;    373.782
1922-04-05;--:--;    278.071
1922-04-06;--:--;    272.974
1922-04-07;--:--;    328.475
1922-04-08;--:--;    368.118
1922-04-09;--:--;    278.071
1922-04-10;--:--;    322.812
1922-04-11;--:--;    334.138
1922-04-12;--:--;    334.138
1922-04-13;--:--;    322.812
1922-04-14;--:--;    272.974
1922-04-15;--:--;    237.861
1922-04-16;--:--;    224.269
