# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4123100
# River:                 SKILLET FORK
# Station:               NEAR IUKA, ILL.
# Country:               US
# Latitude (DD):       38.5195
# Longitude (DD):      -88.7276
# Catchment area (km²):      538.7
# Altitude (m ASL):        121.92
# Next downstream station:      4123090
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965-10 - 1982-10
# No. of years:          18
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6216
# DATA
YYYY-MM-DD;hh:mm; Value
1965-10-01;--:--;      1.982
1965-10-02;--:--;      1.416
1965-10-03;--:--;      0.566
1965-10-04;--:--;      0.283
1965-10-05;--:--;      0.164
1965-10-06;--:--;      0.283
1965-10-07;--:--;      0.425
1965-10-08;--:--;      0.566
1965-10-09;--:--;      0.425
1965-10-10;--:--;      0.283
1965-10-11;--:--;      0.142
1965-10-12;--:--;      0.142
1965-10-13;--:--;      0.142
1965-10-14;--:--;      0.113
1965-10-15;--:--;      0.085
1965-10-16;--:--;      0.042
1965-10-17;--:--;      0.028
1965-10-18;--:--;      0.025
1965-10-19;--:--;      0.025
1965-10-20;--:--;      0.071
1965-10-21;--:--;      0.085
1965-10-22;--:--;      0.085
1965-10-23;--:--;      0.071
1965-10-24;--:--;      0.057
1965-10-25;--:--;      0.042
1965-10-26;--:--;      0.059
1965-10-27;--:--;      0.059
1965-10-28;--:--;      0.048
1965-10-29;--:--;      0.042
1965-10-30;--:--;      0.042
1965-10-31;--:--;      0.042
1965-11-01;--:--;      0.042
1965-11-02;--:--;      0.042
1965-11-03;--:--;      0.042
1965-11-04;--:--;      0.042
1965-11-05;--:--;      0.048
1965-11-06;--:--;      0.048
1965-11-07;--:--;      0.042
1965-11-08;--:--;      0.042
1965-11-09;--:--;      0.028
1965-11-10;--:--;      0.028
1965-11-11;--:--;      0.028
1965-11-12;--:--;      0.028
1965-11-13;--:--;      0.042
1965-11-14;--:--;      0.042
1965-11-15;--:--;      0.042
1965-11-16;--:--;      0.028
1965-11-17;--:--;      0.028
1965-11-18;--:--;      0.028
1965-11-19;--:--;      0.028
1965-11-20;--:--;      0.057
1965-11-21;--:--;      0.057
1965-11-22;--:--;      0.057
1965-11-23;--:--;      0.042
1965-11-24;--:--;      0.042
1965-11-25;--:--;      0.042
1965-11-26;--:--;      0.057
1965-11-27;--:--;      0.088
1965-11-28;--:--;      0.116
1965-11-29;--:--;      0.170
1965-11-30;--:--;      0.156
1965-12-01;--:--;      0.116
1965-12-02;--:--;      0.088
1965-12-03;--:--;      0.071
1965-12-04;--:--;      0.057
1965-12-05;--:--;      0.042
1965-12-06;--:--;      0.042
1965-12-07;--:--;      0.042
1965-12-08;--:--;      0.042
1965-12-09;--:--;      0.042
1965-12-10;--:--;      0.057
1965-12-11;--:--;      0.082
1965-12-12;--:--;      0.368
1965-12-13;--:--;      0.623
1965-12-14;--:--;      0.510
1965-12-15;--:--;      0.249
1965-12-16;--:--;      0.181
1965-12-17;--:--;      0.110
1965-12-18;--:--;      0.099
1965-12-19;--:--;      0.085
1965-12-20;--:--;      0.071
1965-12-21;--:--;      0.071
1965-12-22;--:--;      0.057
1965-12-23;--:--;      0.057
1965-12-24;--:--;      0.181
1965-12-25;--:--;      0.680
1965-12-26;--:--;      1.642
1965-12-27;--:--;      1.331
1965-12-28;--:--;      0.538
1965-12-29;--:--;      0.269
1965-12-30;--:--;      0.176
1965-12-31;--:--;      0.227
1966-01-01;--:--;      8.495
1966-01-02;--:--;     24.494
1966-01-03;--:--;     10.760
1966-01-04;--:--;      5.748
1966-01-05;--:--;      3.228
1966-01-06;--:--;      2.039
1966-01-07;--:--;      1.586
1966-01-08;--:--;      1.133
1966-01-09;--:--;      0.850
1966-01-10;--:--;      0.566
1966-01-11;--:--;      0.453
1966-01-12;--:--;      0.425
1966-01-13;--:--;      0.425
1966-01-14;--:--;      0.283
1966-01-15;--:--;      0.227
1966-01-16;--:--;      0.198
1966-01-17;--:--;      0.170
1966-01-18;--:--;      0.142
1966-01-19;--:--;      0.127
1966-01-20;--:--;      0.113
1966-01-21;--:--;      0.099
1966-01-22;--:--;      0.085
1966-01-23;--:--;      0.071
1966-01-24;--:--;      0.071
1966-01-25;--:--;      0.071
1966-01-26;--:--;      0.057
1966-01-27;--:--;      0.057
1966-01-28;--:--;      0.042
1966-01-29;--:--;      0.042
