# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4123811
# River:                 TUG FORK
# Station:               NEAR KERMIT, WV
# Country:               US
# Latitude (DD):       37.8176
# Longitude (DD):      -82.3888
# Catchment area (km²):      3076.9
# Altitude (m ASL):        177.34
# Next downstream station:      4123300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1934-08 - 1985-09
# No. of years:          52
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 18689
# DATA
YYYY-MM-DD;hh:mm; Value
1934-08-01;--:--;     12.516
1934-08-02;--:--;     23.729
1934-08-03;--:--;     67.677
1934-08-04;--:--;     80.703
1934-08-05;--:--;     44.457
1934-08-06;--:--;     25.655
1934-08-07;--:--;     16.112
1934-08-08;--:--;     11.044
1934-08-09;--:--;      8.495
1934-08-10;--:--;     28.883
1934-08-11;--:--;     84.950
1934-08-12;--:--;     82.402
1934-08-13;--:--;     37.661
1934-08-14;--:--;     49.838
1934-08-15;--:--;     43.042
1934-08-16;--:--;     60.032
1934-08-17;--:--;    113.267
1934-08-18;--:--;     73.907
1934-08-19;--:--;     36.812
1934-08-20;--:--;     24.975
1934-08-21;--:--;     16.480
1934-08-22;--:--;     11.950
1934-08-23;--:--;      8.693
1934-08-24;--:--;     10.817
1934-08-25;--:--;     15.263
1934-08-26;--:--;     40.493
1934-08-27;--:--;    101.940
1934-08-28;--:--;     56.067
1934-08-29;--:--;     30.016
1934-08-30;--:--;     19.652
1934-08-31;--:--;     13.847
1934-09-01;--:--;     10.477
1934-09-02;--:--;      8.155
1934-09-03;--:--;      6.796
1934-09-04;--:--;      6.088
1934-09-05;--:--;      5.409
1934-09-06;--:--;      4.927
1934-09-07;--:--;      4.842
1934-09-08;--:--;      4.927
1934-09-09;--:--;      4.417
1934-09-10;--:--;      4.304
1934-09-11;--:--;      3.738
1934-09-12;--:--;      3.483
1934-09-13;--:--;      4.672
1934-09-14;--:--;      8.269
1934-09-15;--:--;      7.532
1934-09-16;--:--;      6.994
1934-09-17;--:--;      6.683
1934-09-18;--:--;      5.324
1934-09-19;--:--;      6.173
1934-09-20;--:--;      6.088
1934-09-21;--:--;      4.927
1934-09-22;--:--;      4.304
1934-09-23;--:--;      3.568
1934-09-24;--:--;      3.171
1934-09-25;--:--;      2.888
1934-09-26;--:--;      2.662
1934-09-27;--:--;      2.945
1934-09-28;--:--;      2.747
1934-09-29;--:--;      4.616
1934-09-30;--:--;     19.652
1934-10-01;--:--;     27.043
1934-10-02;--:--;     24.296
1934-10-03;--:--;     16.735
1934-10-04;--:--;     11.723
1934-10-05;--:--;      8.693
1934-10-06;--:--;      8.495
1934-10-07;--:--;      9.033
1934-10-08;--:--;     23.786
1934-10-09;--:--;     19.001
1934-10-10;--:--;     13.592
1934-10-11;--:--;     10.817
1934-10-12;--:--;      9.260
1934-10-13;--:--;      7.844
1934-10-14;--:--;      6.994
1934-10-15;--:--;      5.975
1934-10-16;--:--;      5.210
1934-10-17;--:--;      4.672
1934-10-18;--:--;      4.502
1934-10-19;--:--;      4.587
1934-10-20;--:--;      4.587
1934-10-21;--:--;      4.672
1934-10-22;--:--;      4.417
1934-10-23;--:--;      4.049
1934-10-24;--:--;      3.794
1934-10-25;--:--;      3.483
1934-10-26;--:--;      3.341
1934-10-27;--:--;      3.483
1934-10-28;--:--;      3.256
1934-10-29;--:--;      3.030
1934-10-30;--:--;      2.945
1934-10-31;--:--;      2.945
1934-11-01;--:--;     10.959
1934-11-02;--:--;     26.335
1934-11-03;--:--;     27.750
1934-11-04;--:--;     20.303
1934-11-05;--:--;     17.726
1934-11-06;--:--;     15.857
1934-11-07;--:--;     15.631
1934-11-08;--:--;     13.960
1934-11-09;--:--;     13.111
1934-11-10;--:--;     11.610
1934-11-11;--:--;     10.024
1934-11-12;--:--;      8.693
1934-11-13;--:--;      7.108
1934-11-14;--:--;      7.532
1934-11-15;--:--;      6.994
