# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4125555
# River:                 NORTH CANADIAN RIVER
# Station:               NEAR WETUMKA, OK
# Country:               US
# Latitude (DD):       35.2656
# Longitude (DD):      -96.2061
# Catchment area (km²):      37011.1
# Altitude (m ASL):        206.74
# Next downstream station:      4125550
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1937-10 - 2019-08
# No. of years:          83
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 29907
# DATA
YYYY-MM-DD;hh:mm; Value
1937-10-01;--:--;      5.663
1937-10-02;--:--;      5.663
1937-10-03;--:--;      5.663
1937-10-04;--:--;      5.663
1937-10-05;--:--;      5.663
1937-10-06;--:--;      5.663
1937-10-07;--:--;      5.663
1937-10-08;--:--;      5.663
1937-10-09;--:--;      5.663
1937-10-10;--:--;      5.663
1937-10-11;--:--;      5.663
1937-10-12;--:--;      5.663
1937-10-13;--:--;      5.663
1937-10-14;--:--;      5.663
1937-10-15;--:--;      5.663
1937-10-16;--:--;      5.663
1937-10-17;--:--;      5.663
1937-10-18;--:--;      5.663
1937-10-19;--:--;      5.663
1937-10-20;--:--;      5.663
1937-10-21;--:--;      5.663
1937-10-22;--:--;      5.663
1937-10-23;--:--;      5.663
1937-10-24;--:--;      5.663
1937-10-25;--:--;      5.663
1937-10-26;--:--;      5.663
1937-10-27;--:--;      5.663
1937-10-28;--:--;      5.663
1937-10-29;--:--;      5.663
1937-10-30;--:--;      5.663
1937-10-31;--:--;      5.663
1937-11-01;--:--;      4.248
1937-11-02;--:--;      4.248
1937-11-03;--:--;      4.248
1937-11-04;--:--;      4.248
1937-11-05;--:--;      4.248
1937-11-06;--:--;      4.248
1937-11-07;--:--;      4.248
1937-11-08;--:--;      4.248
1937-11-09;--:--;      4.248
1937-11-10;--:--;      4.248
1937-11-11;--:--;      4.248
1937-11-12;--:--;      4.248
1937-11-13;--:--;      4.248
1937-11-14;--:--;      4.248
1937-11-15;--:--;      4.248
1937-11-16;--:--;      4.248
1937-11-17;--:--;      4.248
1937-11-18;--:--;      4.248
1937-11-19;--:--;      4.248
1937-11-20;--:--;      4.248
1937-11-21;--:--;      4.248
1937-11-22;--:--;      4.248
1937-11-23;--:--;      4.248
1937-11-24;--:--;      4.248
1937-11-25;--:--;      4.248
1937-11-26;--:--;      4.248
1937-11-27;--:--;      4.248
1937-11-28;--:--;      4.248
1937-11-29;--:--;      4.248
1937-11-30;--:--;      4.248
1937-12-01;--:--;      2.832
1937-12-02;--:--;      2.832
1937-12-03;--:--;      2.832
1937-12-04;--:--;      2.832
1937-12-05;--:--;      2.832
1937-12-06;--:--;      2.832
1937-12-07;--:--;      2.832
1937-12-08;--:--;      2.832
1937-12-09;--:--;      2.832
1937-12-10;--:--;      2.832
1937-12-11;--:--;      2.832
1937-12-12;--:--;      2.832
1937-12-13;--:--;      2.832
1937-12-14;--:--;      2.832
1937-12-15;--:--;      2.832
1937-12-16;--:--;      2.832
1937-12-17;--:--;      2.832
1937-12-18;--:--;      2.832
1937-12-19;--:--;      2.832
1937-12-20;--:--;      2.832
1937-12-21;--:--;      2.832
1937-12-22;--:--;      2.832
1937-12-23;--:--;      2.832
1937-12-24;--:--;      2.832
1937-12-25;--:--;      2.832
1937-12-26;--:--;      2.832
1937-12-27;--:--;      2.832
1937-12-28;--:--;      2.832
1937-12-29;--:--;      2.832
1937-12-30;--:--;      2.832
1937-12-31;--:--;      2.832
1938-01-01;--:--;      2.265
1938-01-02;--:--;      2.265
1938-01-03;--:--;      2.265
1938-01-04;--:--;      2.265
1938-01-05;--:--;      2.265
1938-01-06;--:--;      2.265
1938-01-07;--:--;      2.265
1938-01-08;--:--;      1.557
1938-01-09;--:--;      1.557
1938-01-10;--:--;      1.557
1938-01-11;--:--;      1.557
1938-01-12;--:--;      1.557
1938-01-13;--:--;      1.557
1938-01-14;--:--;      1.557
1938-01-15;--:--;      1.557
1938-01-16;--:--;      1.557
1938-01-17;--:--;      1.557
1938-01-18;--:--;      1.557
1938-01-19;--:--;      1.557
1938-01-20;--:--;      1.557
1938-01-21;--:--;      1.557
1938-01-22;--:--;      7.646
1938-01-23;--:--;      7.646
1938-01-24;--:--;      7.646
1938-01-25;--:--;      7.646
1938-01-26;--:--;      7.646
1938-01-27;--:--;      7.646
1938-01-28;--:--;      7.646
1938-01-29;--:--;      7.646
1938-01-30;--:--;      7.646
1938-01-31;--:--;      7.646
1938-02-01;--:--;     36.812
1938-02-02;--:--;     36.812
1938-02-03;--:--;     36.812
1938-02-04;--:--;     36.812
1938-02-05;--:--;     36.812
1938-02-06;--:--;     36.812
1938-02-07;--:--;     36.812
1938-02-08;--:--;     36.812
1938-02-09;--:--;     36.812
1938-02-10;--:--;     36.812
1938-02-11;--:--;     36.812
1938-02-12;--:--;     36.812
1938-02-13;--:--;     36.812
1938-02-14;--:--;     36.812
1938-02-15;--:--;     36.812
1938-02-16;--:--;     36.812
1938-02-17;--:--;     36.812
1938-02-18;--:--;     36.812
1938-02-19;--:--;     36.812
1938-02-20;--:--;     36.812
1938-02-21;--:--;     36.812
1938-02-22;--:--;     36.812
1938-02-23;--:--;     36.812
1938-02-24;--:--;     36.812
1938-02-25;--:--;     36.812
1938-02-26;--:--;     36.812
1938-02-27;--:--;     36.812
1938-02-28;--:--;     36.812
1938-03-01;--:--;      7.079
1938-03-02;--:--;      7.079
1938-03-03;--:--;      7.079
1938-03-04;--:--;      7.079
1938-03-05;--:--;      7.079
1938-03-06;--:--;      7.079
1938-03-07;--:--;      7.079
1938-03-08;--:--;      7.079
1938-03-09;--:--;      7.079
1938-03-10;--:--;      7.079
1938-03-11;--:--;      7.079
1938-03-12;--:--;      7.079
1938-03-13;--:--;      7.079
1938-03-14;--:--;      7.079
1938-03-15;--:--;      7.079
1938-03-16;--:--;      7.079
1938-03-17;--:--;      7.079
1938-03-18;--:--;      7.079
1938-03-19;--:--;      7.079
1938-03-20;--:--;      7.079
1938-03-21;--:--;      7.079
1938-03-22;--:--;      7.079
1938-03-23;--:--;      7.079
1938-03-24;--:--;      7.079
1938-03-25;--:--;      7.079
1938-03-26;--:--;     28.317
1938-03-27;--:--;     95.144
1938-03-28;--:--;     92.596
1938-03-29;--:--;    200.483
1938-03-30;--:--;    197.934
1938-03-31;--:--;    154.893
