# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4132900
# River:                 TAHQUAMENON RIVER
# Station:               NEAR PARADISE, MICH.
# Country:               US
# Latitude (DD):       46.575
# Longitude (DD):      -85.2696
# Catchment area (km²):      2046.1
# Altitude (m ASL):        212.76
# Next downstream station:      4234010
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-08 - 2019-06
# No. of years:          67
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 24058
# DATA
YYYY-MM-DD;hh:mm; Value
1953-08-07;--:--;     24.296
1953-08-08;--:--;     25.060
1953-08-09;--:--;     24.296
1953-08-10;--:--;     22.710
1953-08-11;--:--;     20.530
1953-08-12;--:--;     18.463
1953-08-13;--:--;     17.840
1953-08-14;--:--;     17.217
1953-08-15;--:--;     17.217
1953-08-16;--:--;     15.971
1953-08-17;--:--;     14.838
1953-08-18;--:--;     13.762
1953-08-19;--:--;     12.601
1953-08-20;--:--;     11.440
1953-08-21;--:--;     10.590
1953-08-22;--:--;      9.684
1953-08-23;--:--;      8.948
1953-08-24;--:--;      8.353
1953-08-25;--:--;      8.155
1953-08-26;--:--;      7.844
1953-08-27;--:--;      7.759
1953-08-28;--:--;      7.362
1953-08-29;--:--;      7.249
1953-08-30;--:--;      6.853
1953-08-31;--:--;      7.051
1953-09-01;--:--;      6.853
1953-09-02;--:--;      6.853
1953-09-03;--:--;      6.853
1953-09-04;--:--;      6.654
1953-09-05;--:--;      6.966
1953-09-06;--:--;      6.853
1953-09-07;--:--;      6.853
1953-09-08;--:--;      6.966
1953-09-09;--:--;      7.051
1953-09-10;--:--;      7.051
1953-09-11;--:--;      7.051
1953-09-12;--:--;      6.966
1953-09-13;--:--;      8.948
1953-09-14;--:--;     10.506
1953-09-15;--:--;     11.440
1953-09-16;--:--;     11.865
1953-09-17;--:--;     12.176
1953-09-18;--:--;     11.865
1953-09-19;--:--;     11.327
1953-09-20;--:--;     11.015
1953-09-21;--:--;     11.751
1953-09-22;--:--;     13.026
1953-09-23;--:--;     13.762
1953-09-24;--:--;     13.224
1953-09-25;--:--;     12.912
1953-09-26;--:--;     13.111
1953-09-27;--:--;     14.272
1953-09-28;--:--;     14.838
1953-09-29;--:--;     15.376
1953-09-30;--:--;     14.838
1953-10-01;--:--;     14.272
1953-10-02;--:--;     13.224
1953-10-03;--:--;     12.488
1953-10-04;--:--;     12.289
1953-10-05;--:--;     12.601
1953-10-06;--:--;     12.912
1953-10-07;--:--;     13.762
1953-10-08;--:--;     13.762
1953-10-09;--:--;     13.224
1953-10-10;--:--;     13.026
1953-10-11;--:--;     12.374
1953-10-12;--:--;     12.176
1953-10-13;--:--;     11.978
1953-10-14;--:--;     11.667
1953-10-15;--:--;     11.129
1953-10-16;--:--;     11.129
1953-10-17;--:--;     10.930
1953-10-18;--:--;     10.704
1953-10-19;--:--;     10.081
1953-10-20;--:--;     10.194
1953-10-21;--:--;     10.081
1953-10-22;--:--;      9.883
1953-10-23;--:--;      9.571
1953-10-24;--:--;      9.458
1953-10-25;--:--;      9.883
1953-10-26;--:--;      9.571
1953-10-27;--:--;      9.458
1953-10-28;--:--;      9.175
1953-10-29;--:--;      9.571
1953-10-30;--:--;      9.458
1953-10-31;--:--;      8.948
1953-11-01;--:--;      9.260
1953-11-02;--:--;      9.175
1953-11-03;--:--;      8.948
1953-11-04;--:--;      8.948
1953-11-05;--:--;      9.175
1953-11-06;--:--;      9.175
1953-11-07;--:--;      8.665
1953-11-08;--:--;      8.863
1953-11-09;--:--;      9.175
1953-11-10;--:--;      9.571
1953-11-11;--:--;     10.279
