# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4136411
# River:                 ONEIDA RIVER
# Station:               COUGHDENOY, NY
# Country:               US
# Latitude (DD):       43.247
# Longitude (DD):      -76.1696
# Catchment area (km²):      3579.4
# Altitude (m ASL):        110.03
# Next downstream station:      4136410
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1902-09 - 1998-09
# No. of years:          97
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35094
# DATA
YYYY-MM-DD;hh:mm; Value
1902-09-01;--:--;     58.616
1902-09-02;--:--;     58.616
1902-09-03;--:--;     58.616
1902-09-04;--:--;     54.368
1902-09-05;--:--;     50.404
1902-09-06;--:--;     54.368
1902-09-07;--:--;     54.368
1902-09-08;--:--;     54.368
1902-09-09;--:--;     54.368
1902-09-10;--:--;     52.386
1902-09-11;--:--;     50.404
1902-09-12;--:--;     50.404
1902-09-13;--:--;     50.404
1902-09-14;--:--;     46.440
1902-09-15;--:--;     46.440
1902-09-16;--:--;     46.440
1902-09-17;--:--;     46.440
1902-09-18;--:--;     46.440
1902-09-19;--:--;     46.440
1902-09-20;--:--;     46.440
1902-09-21;--:--;     42.475
1902-09-22;--:--;     41.059
1902-09-23;--:--;     39.644
1902-09-24;--:--;     42.475
1902-09-25;--:--;     42.475
1902-09-26;--:--;     42.475
1902-09-27;--:--;     42.475
1902-09-28;--:--;     39.644
1902-09-29;--:--;     39.644
1902-09-30;--:--;     39.644
1902-10-01;--:--;     42.475
1902-10-02;--:--;     42.475
1902-10-03;--:--;     42.475
1902-10-04;--:--;     42.475
1902-10-05;--:--;     44.457
1902-10-06;--:--;     41.059
1902-10-07;--:--;     42.475
1902-10-08;--:--;     42.475
1902-10-09;--:--;     46.440
1902-10-10;--:--;     46.440
1902-10-11;--:--;     46.440
1902-10-12;--:--;     46.440
1902-10-13;--:--;     44.457
1902-10-14;--:--;     41.059
1902-10-15;--:--;     42.475
1902-10-16;--:--;     42.475
1902-10-17;--:--;     42.475
1902-10-18;--:--;     42.475
1902-10-19;--:--;     44.457
1902-10-20;--:--;     46.440
1902-10-21;--:--;     46.440
1902-10-22;--:--;     46.440
1902-10-23;--:--;     50.404
1902-10-24;--:--;     50.404
1902-10-25;--:--;     46.440
1902-10-26;--:--;     54.368
1902-10-27;--:--;     48.422
1902-10-28;--:--;     50.404
1902-10-29;--:--;     50.404
1902-10-30;--:--;     58.616
1902-10-31;--:--;     58.616
1902-11-01;--:--;     60.598
1902-11-02;--:--;     62.580
1902-11-03;--:--;     60.598
1902-11-04;--:--;     60.598
1902-11-05;--:--;     60.598
