# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4146280
# River:                 SACRAMENTO RIVER
# Station:               SACRAMENTO, CA
# Country:               US
# Latitude (DD):       38.5866
# Longitude (DD):      -121.5055
# Catchment area (km²):      60885.7
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948-10 - 1979-09
# No. of years:          32
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11322
# DATA
YYYY-MM-DD;hh:mm; Value
1948-10-01;--:--;    294.495
1948-10-02;--:--;    291.663
1948-10-03;--:--;    291.663
1948-10-04;--:--;    288.831
1948-10-05;--:--;    280.336
1948-10-06;--:--;    286.000
1948-10-07;--:--;    291.663
1948-10-08;--:--;    291.663
1948-10-09;--:--;    291.663
1948-10-10;--:--;    283.168
1948-10-11;--:--;    286.000
1948-10-12;--:--;    282.602
1948-10-13;--:--;    286.000
1948-10-14;--:--;    294.495
1948-10-15;--:--;    288.831
1948-10-16;--:--;    286.000
1948-10-17;--:--;    288.831
1948-10-18;--:--;    288.831
1948-10-19;--:--;    288.831
1948-10-20;--:--;    282.318
1948-10-21;--:--;    275.522
1948-10-22;--:--;    273.540
1948-10-23;--:--;    267.311
1948-10-24;--:--;    267.877
1948-10-25;--:--;    271.558
1948-10-26;--:--;    274.956
1948-10-27;--:--;    270.992
1948-10-28;--:--;    277.505
1948-10-29;--:--;    276.372
1948-10-30;--:--;    279.770
1948-10-31;--:--;    291.663
1948-11-01;--:--;    297.326
1948-11-02;--:--;    294.495
1948-11-03;--:--;    351.128
1948-11-04;--:--;    402.099
1948-11-05;--:--;    399.267
1948-11-06;--:--;    356.792
1948-11-07;--:--;    328.475
1948-11-08;--:--;    331.307
1948-11-09;--:--;    314.316
1948-11-10;--:--;    311.485
1948-11-11;--:--;    305.821
1948-11-12;--:--;    311.485
1948-11-13;--:--;    302.990
1948-11-14;--:--;    300.158
1948-11-15;--:--;    288.831
1948-11-16;--:--;    286.000
1948-11-17;--:--;    302.990
1948-11-18;--:--;    322.812
1948-11-19;--:--;    328.475
1948-11-20;--:--;    317.148
1948-11-21;--:--;    314.316
1948-11-22;--:--;    300.158
1948-11-23;--:--;    294.495
