# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4149400
# River:                 ALABAMA RIVER
# Station:               CLAIBORNE, ALA.
# Country:               US
# Latitude (DD):       31.5468
# Longitude (DD):      -87.5125
# Catchment area (km²):      56894.5
# Altitude (m ASL):        0.12
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930-04 - 1975-09
# No. of years:          46
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16619
# DATA
YYYY-MM-DD;hh:mm; Value
1930-04-01;--:--;    962.771
1930-04-02;--:--;    821.187
1930-04-03;--:--;    764.554
1930-04-04;--:--;    906.138
1930-04-05;--:--;   1274.256
1930-04-06;--:--;   1500.790
1930-04-07;--:--;   1755.642
1930-04-08;--:--;   1925.542
1930-04-09;--:--;   1557.424
1930-04-10;--:--;   1359.206
1930-04-11;--:--;   1217.622
1930-04-12;--:--;   1104.355
1930-04-13;--:--;   1019.405
1930-04-14;--:--;    934.454
1930-04-15;--:--;    821.187
1930-04-16;--:--;    651.286
1930-04-17;--:--;    566.336
1930-04-18;--:--;    594.653
1930-04-19;--:--;    594.653
1930-04-20;--:--;    622.970
1930-04-21;--:--;    622.970
1930-04-22;--:--;    566.336
1930-04-23;--:--;    481.386
1930-04-24;--:--;    481.386
1930-04-25;--:--;    467.227
1930-04-26;--:--;    484.217
1930-04-27;--:--;    484.217
1930-04-28;--:--;    484.217
1930-04-29;--:--;    467.227
1930-04-30;--:--;    436.079
1930-05-01;--:--;    416.257
1930-05-02;--:--;    424.752
1930-05-03;--:--;    436.079
1930-05-04;--:--;    416.257
1930-05-05;--:--;    396.435
1930-05-06;--:--;    402.099
1930-05-07;--:--;    390.772
1930-05-08;--:--;    359.623
1930-05-09;--:--;    328.475
1930-05-10;--:--;    328.475
1930-05-11;--:--;    345.465
1930-05-12;--:--;    353.960
1930-05-13;--:--;    365.287
1930-05-14;--:--;    351.128
1930-05-15;--:--;    345.465
1930-05-16;--:--;    373.782
1930-05-17;--:--;    421.920
1930-05-18;--:--;    436.079
1930-05-19;--:--;    436.079
1930-05-20;--:--;    472.891
1930-05-21;--:--;    583.326
1930-05-22;--:--;    798.534
1930-05-23;--:--;   1025.068
1930-05-24;--:--;   1158.157
1930-05-25;--:--;   1158.157
1930-05-26;--:--;   1087.365
1930-05-27;--:--;    993.920
1930-05-28;--:--;    894.811
1930-05-29;--:--;    804.197
1930-05-30;--:--;    710.752
1930-05-31;--:--;    617.306
1930-06-01;--:--;    549.346
1930-06-02;--:--;    504.039
1930-06-03;--:--;    467.227
1930-06-04;--:--;    436.079
1930-06-05;--:--;    410.594
1930-06-06;--:--;    402.099
1930-06-07;--:--;    385.108
1930-06-08;--:--;    373.782
1930-06-09;--:--;    410.594
1930-06-10;--:--;    436.079
1930-06-11;--:--;    404.930
1930-06-12;--:--;    359.623
1930-06-13;--:--;    339.802
1930-06-14;--:--;    373.782
1930-06-15;--:--;    424.752
1930-06-16;--:--;    455.900
1930-06-17;--:--;    424.752
1930-06-18;--:--;    365.287
1930-06-19;--:--;    319.980
1930-06-20;--:--;    300.158
1930-06-21;--:--;    294.495
1930-06-22;--:--;    294.495
1930-06-23;--:--;    300.158
1930-06-24;--:--;    322.812
1930-06-25;--:--;    339.802
1930-06-26;--:--;    328.475
1930-06-27;--:--;    314.316
1930-06-28;--:--;    308.653
1930-06-29;--:--;    314.316
1930-06-30;--:--;    314.316
1930-07-01;--:--;    314.316
1930-07-02;--:--;    314.316
1930-07-03;--:--;    300.158
1930-07-04;--:--;    294.495
1930-07-05;--:--;    322.812
1930-07-06;--:--;    359.623
1930-07-07;--:--;    373.782
1930-07-08;--:--;    351.128
1930-07-09;--:--;    308.653
1930-07-10;--:--;    294.495
1930-07-11;--:--;    308.653
1930-07-12;--:--;    328.475
1930-07-13;--:--;    339.802
1930-07-14;--:--;    339.802
1930-07-15;--:--;    339.802
1930-07-16;--:--;    319.980
1930-07-17;--:--;    308.653
1930-07-18;--:--;    328.475
1930-07-19;--:--;    353.960
1930-07-20;--:--;    370.950
1930-07-21;--:--;    373.782
1930-07-22;--:--;    373.782
1930-07-23;--:--;    345.465
1930-07-24;--:--;    308.653
1930-07-25;--:--;    294.495
1930-07-26;--:--;    300.158
1930-07-27;--:--;    351.128
1930-07-28;--:--;    444.574
1930-07-29;--:--;    373.782
1930-07-30;--:--;    314.316
1930-07-31;--:--;    302.990
1930-08-01;--:--;    325.643
1930-08-02;--:--;    314.316
1930-08-03;--:--;    322.812
1930-08-04;--:--;    339.802
1930-08-05;--:--;    359.623
1930-08-06;--:--;    339.802
1930-08-07;--:--;    294.495
1930-08-08;--:--;    276.089
1930-08-09;--:--;    300.158
1930-08-10;--:--;    334.138
1930-08-11;--:--;    322.812
1930-08-12;--:--;    319.980
1930-08-13;--:--;    359.623
1930-08-14;--:--;    359.623
1930-08-15;--:--;    351.128
1930-08-16;--:--;    365.287
1930-08-17;--:--;    373.782
1930-08-18;--:--;    402.099
1930-08-19;--:--;    441.742
1930-08-20;--:--;    455.900
1930-08-21;--:--;    455.900
1930-08-22;--:--;    453.069
1930-08-23;--:--;    441.742
1930-08-24;--:--;    416.257
1930-08-25;--:--;    385.108
1930-08-26;--:--;    365.287
