# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4149412
# River:                 TOMBIGBEE RIVER
# Station:               NEAR AMORY, MS
# Country:               US
# Latitude (DD):       33.9853
# Longitude (DD):      -88.5517
# Catchment area (km²):      4998.7
# Altitude (m ASL):        54.36
# Next downstream station:      4149411
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1937-10 - 2010-08
# No. of years:          74
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 26626
# DATA
YYYY-MM-DD;hh:mm; Value
1937-10-01;--:--;     11.893
1937-10-02;--:--;     11.893
1937-10-03;--:--;     11.893
1937-10-04;--:--;     11.893
1937-10-05;--:--;     11.893
1937-10-06;--:--;     11.893
1937-10-07;--:--;     11.893
1937-10-08;--:--;     11.893
1937-10-09;--:--;     11.893
1937-10-10;--:--;     11.893
1937-10-11;--:--;     11.893
1937-10-12;--:--;     11.893
1937-10-13;--:--;     11.893
1937-10-14;--:--;     11.893
1937-10-15;--:--;     11.893
1937-10-16;--:--;     11.893
1937-10-17;--:--;     11.893
1937-10-18;--:--;     11.893
1937-10-19;--:--;     11.893
1937-10-20;--:--;     11.893
1937-10-21;--:--;     11.893
1937-10-22;--:--;     11.893
1937-10-23;--:--;     11.893
1937-10-24;--:--;     11.893
1937-10-25;--:--;     11.893
1937-10-26;--:--;     11.893
1937-10-27;--:--;     11.893
1937-10-28;--:--;     11.893
1937-10-29;--:--;     11.893
1937-10-30;--:--;     11.893
1937-10-31;--:--;     11.893
1937-11-01;--:--;     11.893
1937-11-02;--:--;     11.893
1937-11-03;--:--;     11.893
1937-11-04;--:--;     11.893
1937-11-05;--:--;     11.893
1937-11-06;--:--;     11.893
1937-11-07;--:--;     11.893
1937-11-08;--:--;     11.893
1937-11-09;--:--;     11.893
1937-11-10;--:--;     11.893
1937-11-11;--:--;     11.893
1937-11-12;--:--;     11.893
1937-11-13;--:--;     11.893
1937-11-14;--:--;     11.893
1937-11-15;--:--;     11.893
1937-11-16;--:--;     11.893
1937-11-17;--:--;     11.893
1937-11-18;--:--;     11.893
1937-11-19;--:--;     11.893
1937-11-20;--:--;     11.893
1937-11-21;--:--;     11.893
1937-11-22;--:--;     11.893
1937-11-23;--:--;     11.893
1937-11-24;--:--;     11.893
1937-11-25;--:--;     11.893
1937-11-26;--:--;     11.893
1937-11-27;--:--;     11.893
1937-11-28;--:--;     11.893
1937-11-29;--:--;     11.893
1937-11-30;--:--;     11.893
1937-12-01;--:--;     19.539
1937-12-02;--:--;     18.406
1937-12-03;--:--;     15.574
1937-12-04;--:--;     13.309
1937-12-05;--:--;     11.893
1937-12-06;--:--;     11.893
1937-12-07;--:--;     11.893
1937-12-08;--:--;     13.309
1937-12-09;--:--;     13.309
1937-12-10;--:--;     11.893
1937-12-11;--:--;     11.893
1937-12-12;--:--;     10.477
1937-12-13;--:--;     10.477
1937-12-14;--:--;     11.893
1937-12-15;--:--;     11.893
1937-12-16;--:--;     11.893
1937-12-17;--:--;     11.893
1937-12-18;--:--;     16.141
1937-12-19;--:--;     19.539
1937-12-20;--:--;     24.636
1937-12-21;--:--;     19.539
1937-12-22;--:--;     16.141
1937-12-23;--:--;     36.529
1937-12-24;--:--;     56.067
1937-12-25;--:--;     46.156
1937-12-26;--:--;     44.174
1937-12-27;--:--;    102.790
1937-12-28;--:--;    177.263
1937-12-29;--:--;    112.135
1937-12-30;--:--;     84.384
1937-12-31;--:--;     82.685
1938-01-01;--:--;     90.048
1938-01-02;--:--;    106.471
1938-01-03;--:--;     75.323
1938-01-04;--:--;     67.960
1938-01-05;--:--;     63.996
1938-01-06;--:--;     60.032
