# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4149680
# River:                 FLINT RIVER
# Station:               BAINBRIDGE, GA
# Country:               US
# Latitude (DD):       30.9116
# Longitude (DD):      -84.5799
# Catchment area (km²):      19606.3
# Altitude (m ASL):        17.7
# Next downstream station:      4149630
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1907-10 - 2019-07
# No. of years:          113
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 40845
# DATA
YYYY-MM-DD;hh:mm; Value
1907-10-01;--:--;    404.930
1907-10-02;--:--;    509.702
1907-10-03;--:--;    521.029
1907-10-04;--:--;    475.722
1907-10-05;--:--;    362.455
1907-10-06;--:--;    308.653
1907-10-07;--:--;    267.594
1907-10-08;--:--;    249.188
1907-10-09;--:--;    230.782
1907-10-10;--:--;    217.190
1907-10-11;--:--;    206.996
1907-10-12;--:--;    203.598
1907-10-13;--:--;    193.687
1907-10-14;--:--;    187.457
1907-10-15;--:--;    181.228
1907-10-16;--:--;    178.396
1907-10-17;--:--;    164.521
1907-10-18;--:--;    159.424
1907-10-19;--:--;    154.327
1907-10-20;--:--;    152.061
1907-10-21;--:--;    149.796
1907-10-22;--:--;    147.531
1907-10-23;--:--;    145.265
1907-10-24;--:--;    143.000
1907-10-25;--:--;    140.734
1907-10-26;--:--;    138.469
1907-10-27;--:--;    136.204
1907-10-28;--:--;    133.938
1907-10-29;--:--;    133.938
1907-10-30;--:--;    133.938
1907-10-31;--:--;    133.938
1907-11-01;--:--;    133.938
1907-11-02;--:--;    133.938
1907-11-03;--:--;    133.938
1907-11-04;--:--;    133.938
1907-11-05;--:--;    138.469
1907-11-06;--:--;    138.469
