# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4149780
# River:                 SUWANNEE RIVER
# Station:               BRANFORD, FLA.
# Country:               US
# Latitude (DD):       29.9558
# Longitude (DD):      -82.9276
# Catchment area (km²):      20409.2
# Altitude (m ASL):        1.47
# Next downstream station:      4149781
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1931-07 - 2019-06
# No. of years:          89
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32130
# DATA
YYYY-MM-DD;hh:mm; Value
1931-07-01;--:--;     87.782
1931-07-02;--:--;     87.782
1931-07-03;--:--;     87.782
1931-07-04;--:--;     87.782
1931-07-05;--:--;     87.782
1931-07-06;--:--;     87.782
1931-07-07;--:--;     87.782
1931-07-08;--:--;     87.782
1931-07-09;--:--;     83.818
1931-07-10;--:--;     83.818
1931-07-11;--:--;     83.818
1931-07-12;--:--;     83.818
1931-07-13;--:--;     83.818
1931-07-14;--:--;     83.818
1931-07-15;--:--;     82.119
1931-07-16;--:--;     82.119
1931-07-17;--:--;     82.119
1931-07-18;--:--;     82.119
1931-07-19;--:--;     82.119
1931-07-20;--:--;     83.818
1931-07-21;--:--;     83.818
1931-07-22;--:--;     83.818
1931-07-23;--:--;     83.818
1931-07-24;--:--;     85.517
1931-07-25;--:--;     83.818
1931-07-26;--:--;     83.818
1931-07-27;--:--;     82.119
1931-07-28;--:--;     82.119
1931-07-29;--:--;     80.420
1931-07-30;--:--;     80.420
1931-07-31;--:--;     80.420
1931-08-01;--:--;     78.721
1931-08-02;--:--;     78.721
1931-08-03;--:--;     78.721
1931-08-04;--:--;     78.721
1931-08-05;--:--;     78.721
1931-08-06;--:--;     78.721
1931-08-07;--:--;     78.721
1931-08-08;--:--;     78.721
1931-08-09;--:--;     78.721
1931-08-10;--:--;     78.721
1931-08-11;--:--;     78.721
1931-08-12;--:--;     80.420
1931-08-13;--:--;     80.420
1931-08-14;--:--;     83.818
1931-08-15;--:--;     83.818
1931-08-16;--:--;     85.517
1931-08-17;--:--;     92.313
1931-08-18;--:--;     99.109
1931-08-19;--:--;    102.507
1931-08-20;--:--;    105.905
1931-08-21;--:--;    109.303
1931-08-22;--:--;    116.099
1931-08-23;--:--;    121.196
1931-08-24;--:--;    126.293
1931-08-25;--:--;    127.992
1931-08-26;--:--;    127.992
1931-08-27;--:--;    122.895
1931-08-28;--:--;    112.701
1931-08-29;--:--;    112.701
1931-08-30;--:--;    105.905
1931-08-31;--:--;    102.507
1931-09-01;--:--;    100.808
1931-09-02;--:--;     95.711
1931-09-03;--:--;     95.711
1931-09-04;--:--;     92.313
1931-09-05;--:--;     90.614
1931-09-06;--:--;     88.915
1931-09-07;--:--;     87.216
1931-09-08;--:--;     85.517
1931-09-09;--:--;     83.818
1931-09-10;--:--;     82.119
1931-09-11;--:--;     82.119
1931-09-12;--:--;     80.420
1931-09-13;--:--;     78.721
1931-09-14;--:--;     78.721
1931-09-15;--:--;     78.721
1931-09-16;--:--;     77.022
1931-09-17;--:--;     75.323
1931-09-18;--:--;     75.323
1931-09-19;--:--;     75.323
1931-09-20;--:--;     73.624
1931-09-21;--:--;     71.925
1931-09-22;--:--;     71.925
1931-09-23;--:--;     71.925
1931-09-24;--:--;     70.226
1931-09-25;--:--;     70.226
1931-09-26;--:--;     70.226
1931-09-27;--:--;     70.226
1931-09-28;--:--;     68.527
1931-09-29;--:--;     68.527
1931-09-30;--:--;     68.527
1931-10-01;--:--;     66.828
1931-10-02;--:--;     66.828
1931-10-03;--:--;     66.828
1931-10-04;--:--;     66.828
1931-10-05;--:--;     66.828
1931-10-06;--:--;     66.828
1931-10-07;--:--;     66.828
1931-10-08;--:--;     66.828
1931-10-09;--:--;     66.828
1931-10-10;--:--;     66.828
1931-10-11;--:--;     65.129
1931-10-12;--:--;     65.129
1931-10-13;--:--;     65.129
1931-10-14;--:--;     65.129
1931-10-15;--:--;     63.430
1931-10-16;--:--;     63.430
1931-10-17;--:--;     61.731
1931-10-18;--:--;     61.731
1931-10-19;--:--;     61.731
1931-10-20;--:--;     60.032
1931-10-21;--:--;     60.032
1931-10-22;--:--;     60.032
1931-10-23;--:--;     60.032
1931-10-24;--:--;     60.032
1931-10-25;--:--;     60.032
1931-10-26;--:--;     60.032
1931-10-27;--:--;     60.032
1931-10-28;--:--;     60.032
1931-10-29;--:--;     60.032
1931-10-30;--:--;     60.032
1931-10-31;--:--;     58.333
1931-11-01;--:--;     58.333
1931-11-02;--:--;     56.634
1931-11-03;--:--;     56.634
1931-11-04;--:--;     56.634
1931-11-05;--:--;     56.634
1931-11-06;--:--;     56.634
1931-11-07;--:--;     56.634
1931-11-08;--:--;     56.634
1931-11-09;--:--;     56.634
1931-11-10;--:--;     56.634
1931-11-11;--:--;     56.634
1931-11-12;--:--;     56.634
1931-11-13;--:--;     56.634
1931-11-14;--:--;     54.935
1931-11-15;--:--;     56.634
1931-11-16;--:--;     54.935
1931-11-17;--:--;     54.935
1931-11-18;--:--;     54.935
1931-11-19;--:--;     54.935
1931-11-20;--:--;     54.935
1931-11-21;--:--;     53.236
1931-11-22;--:--;     54.935
1931-11-23;--:--;     53.236
1931-11-24;--:--;     53.236
1931-11-25;--:--;     53.236
1931-11-26;--:--;     53.236
1931-11-27;--:--;     53.236
1931-11-28;--:--;     53.236
1931-11-29;--:--;     53.236
1931-11-30;--:--;     53.236
1931-12-01;--:--;     51.537
1931-12-02;--:--;     51.537
1931-12-03;--:--;     51.537
1931-12-04;--:--;     51.537
1931-12-05;--:--;     51.537
1931-12-06;--:--;     51.537
1931-12-07;--:--;     49.838
1931-12-08;--:--;     49.838
1931-12-09;--:--;     53.236
1931-12-10;--:--;     51.537
1931-12-11;--:--;     53.236
1931-12-12;--:--;     51.537
1931-12-13;--:--;     53.236
1931-12-14;--:--;     53.236
1931-12-15;--:--;     53.236
1931-12-16;--:--;     51.537
1931-12-17;--:--;     51.537
1931-12-18;--:--;     51.537
1931-12-19;--:--;     51.537
1931-12-20;--:--;     51.537
1931-12-21;--:--;     51.537
1931-12-22;--:--;     51.537
1931-12-23;--:--;     51.537
1931-12-24;--:--;     51.537
1931-12-25;--:--;     51.537
1931-12-26;--:--;     49.838
1931-12-27;--:--;     49.838
1931-12-28;--:--;     51.537
1931-12-29;--:--;     49.838
1931-12-30;--:--;     49.838
