# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-09-07
#
# GRDC-No.:              4152301
# River:                 SALT RIVER
# Station:               NEAR CHRYSOTILE, AZ
# Country:               US
# Latitude (DD):       38.7981
# Longitude (DD):      -110.4998
# Catchment area (km²):      7378.9
# Altitude (m ASL):        1022.47
# Next downstream station:      4152300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924-09 - 2019-05
# No. of years:          96
# Last update:           2019-11-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 34567
# DATA
YYYY-MM-DD;hh:mm; Value
1924-09-18;--:--;      5.040
1924-09-19;--:--;      5.040
1924-09-20;--:--;      5.040
1924-09-21;--:--;      4.955
1924-09-22;--:--;      4.842
1924-09-23;--:--;      4.842
1924-09-24;--:--;      4.757
1924-09-25;--:--;      4.757
1924-09-26;--:--;      4.757
1924-09-27;--:--;      4.842
1924-09-28;--:--;      4.757
1924-09-29;--:--;      4.955
1924-09-30;--:--;      4.955
1924-10-01;--:--;      5.040
1924-10-02;--:--;      5.040
1924-10-03;--:--;      4.955
1924-10-04;--:--;      4.955
1924-10-05;--:--;      4.842
1924-10-06;--:--;      4.842
1924-10-07;--:--;      5.154
1924-10-08;--:--;      7.957
1924-10-09;--:--;      6.428
1924-10-10;--:--;      5.862
1924-10-11;--:--;      5.607
1924-10-12;--:--;      5.380
1924-10-13;--:--;      5.267
1924-10-14;--:--;      5.267
1924-10-15;--:--;      5.267
1924-10-16;--:--;      5.267
1924-10-17;--:--;      5.267
1924-10-18;--:--;      5.267
1924-10-19;--:--;      5.267
1924-10-20;--:--;      5.380
1924-10-21;--:--;      5.493
1924-10-22;--:--;      5.493
1924-10-23;--:--;      5.493
1924-10-24;--:--;      5.493
1924-10-25;--:--;      5.493
1924-10-26;--:--;      5.493
1924-10-27;--:--;      5.607
1924-10-28;--:--;      5.720
1924-10-29;--:--;      5.862
1924-10-30;--:--;      5.862
1924-10-31;--:--;      5.862
1924-11-01;--:--;      5.862
1924-11-02;--:--;      5.862
1924-11-03;--:--;      5.862
1924-11-04;--:--;      5.862
1924-11-05;--:--;      5.862
